ResourceID,card,mmb_id,order,source_field,External Relation URL Prefix,External Relation URL,External Relation,External Relation URL Type,Language,ResourceID_mat,mmb_id_mat,Material Records,source_date,Copyright Type,Copyright Revision Date,Object Identifier,Object Number Type,Object Number,Other Identifier Type,Other Identifier,Description Type,Description Language,Description,Record Type
f71cc2a5-e844-5014-9b79-700052479af6,AA,,0,,,,,,,,,,,,,https://data.museummayervandenbergh.be/ark:/59511/f71cc2a5-e844-5014-9b79-700052479af6,object identifier,tg:mmbbr:1080,record identifiers,MMB.A.1080,descriptive note,Nederlands,"inlichtingen over een persoon op een schilderij, namelijk Willem van der Does en over het familiewapen op het schilderij [Jan Mijtens, Willem van der Does met zijn echtgenote Wilhelmina van den Honert en hun zeven kinderen]. Bevat ook een aankoopbewijs van 4 loten op de veiling van de collectie Heeswijck/Baron van den Bogaerde [Christiaen van Couwenbergh, Hoornblazende bakker; 2 landschappen, miniaturen; anoniem, Dubbelportret van jongen en meisje, Lucas van Valckenborch, Portretbuste van een jongeling, miniatuur]",Brieven
f71cc2a5-e844-5014-9b79-700052479af6,e73_Copyrights,tg:mmbbr:1080,,begindatum,,,,,,,,,1900,No Known Copyright,2015,,,,,,,,,
f71cc2a5-e844-5014-9b79-700052479af6,e73_ExternalRelations,tg:mmbbr:1080,2,externe relaties 2 [gerelateerde objecten],https://dams.antwerpen.be,/asset/l2UnEnbiJAXL9dTZmbppZbzQ,gerelateerd object,DAMS Archief,,,,,,,,,,,,,,,,
f71cc2a5-e844-5014-9b79-700052479af6,e73_ExternalRelations,tg:mmbbr:1080,3,externe relaties 3 [gerelateerde objecten],https://dams.antwerpen.be,/asset/Be8iVPCbXpaHlbNsTF37M3o4,gerelateerd object,DAMS Archief,,,,,,,,,,,,,,,,
f71cc2a5-e844-5014-9b79-700052479af6,e73_ExternalRelations,tg:mmbbr:1080,4,externe relaties 4 [gerelateerde objecten],https://dams.antwerpen.be,/asset/P2SdileYLTjdbL8lbPHf4Ccr,gerelateerd object,DAMS Archief,,,,,,,,,,,,,,,,
f71cc2a5-e844-5014-9b79-700052479af6,e73_ExternalRelations,tg:mmbbr:1080,5,externe relaties 5 [gerelateerde objecten],https://dams.antwerpen.be,/asset/K2PabUdTWEiIXOwSZ8w4Seih,gerelateerd object,DAMS Archief,,,,,,,,,,,,,,,,
f71cc2a5-e844-5014-9b79-700052479af6,e73_ExternalRelations,tg:mmbbr:1080,6,externe relaties 6 [gerelateerde objecten],https://dams.antwerpen.be,/asset/krYCXeGFfVJYtYIkhQHJYKJK,gerelateerd object,DAMS Archief,,,,,,,,,,,,,,,,
f71cc2a5-e844-5014-9b79-700052479af6,e73_ExternalRelations,tg:mmbbr:1080,7,externe relaties 7 [gerelateerde objecten],https://dams.antwerpen.be,/asset/M2CYYYbiBOFIhQ3sYtqBOh6b,gerelateerd object,DAMS Archief,,,,,,,,,,,,,,,,
f71cc2a5-e844-5014-9b79-700052479af6,e73_ExternalRelations,tg:mmbbr:1080,g_o_1,gerelateerde objecten,http://adlib.internetserver.mmbonline.webservice,/api/wwwopac.ashx?database=collect.inf&command=selectrecord&object_number=MMB.0135,gerelateerd object,uniform resource locators,,,,,,,,,,,,,,,,
f71cc2a5-e844-5014-9b79-700052479af6,e73_ExternalRelations,tg:mmbbr:1080,g_o_2,gerelateerde objecten,http://adlib.internetserver.mmbonline.webservice,/api/wwwopac.ashx?database=collect.inf&command=selectrecord&object_number=MMB.1596,gerelateerd object,uniform resource locators,,,,,,,,,,,,,,,,
f71cc2a5-e844-5014-9b79-700052479af6,e73_ExternalRelations,tg:mmbbr:1080,g_o_3,gerelateerde objecten,http://adlib.internetserver.mmbonline.webservice,/api/wwwopac.ashx?database=collect.inf&command=selectrecord&object_number=MMB.0612.1,gerelateerd object,uniform resource locators,,,,,,,,,,,,,,,,
f71cc2a5-e844-5014-9b79-700052479af6,e73_ExternalRelations,tg:mmbbr:1080,g_o_4,gerelateerde objecten,http://adlib.internetserver.mmbonline.webservice,/api/wwwopac.ashx?database=collect.inf&command=selectrecord&object_number=MMB.0612.2,gerelateerd object,uniform resource locators,,,,,,,,,,,,,,,,
f71cc2a5-e844-5014-9b79-700052479af6,e73_ExternalRelations,tg:mmbbr:1080,g_o_5,gerelateerde objecten,http://adlib.internetserver.mmbonline.webservice,/api/wwwopac.ashx?database=collect.inf&command=selectrecord&object_number=MMB.0110,gerelateerd object,uniform resource locators,,,,,,,,,,,,,,,,
f71cc2a5-e844-5014-9b79-700052479af6,e73_ExternalRelations,tg:mmbbr:1080,g_o_6,gerelateerde objecten,http://adlib.internetserver.mmbonline.webservice,/api/wwwopac.ashx?database=collect.inf&command=selectrecord&object_number=MMB.0120,gerelateerd object,uniform resource locators,,,,,,,,,,,,,,,,
f71cc2a5-e844-5014-9b79-700052479af6,e73_Languages,,,taal 1,,,,,Dutch (language),,,,,,,,,,,,,,,
f71cc2a5-e844-5014-9b79-700052479af6,e73_MaterialRecords,tg:mmbbr:1080,1,,,,,,,7a8f2f87-bae5-5056-93c2-b8a5576f5a2e,tg:mmbbr:1080_#1,"[{""resourceId"": ""7a8f2f87-bae5-5056-93c2-b8a5576f5a2e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""e8b4459e-4612-4a04-819d-f80204d11f82"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
