ResourceID,card,mmb_id,order,source_field,External Relation URL Prefix,External Relation URL,External Relation,External Relation URL Type,Language,ResourceID_mat,mmb_id_mat,Material Records,source_date,Copyright Type,Copyright Revision Date,Object Identifier,Object Number Type,Object Number,Other Identifier Type,Other Identifier,Description Type,Description Language,Description,Record Type
ca5a7dc8-8926-5ea9-80e5-a2523b3b4c80,AA,,0,,,,,,,,,,,,,https://data.museummayervandenbergh.be/ark:/59511/ca5a7dc8-8926-5ea9-80e5-a2523b3b4c80,object identifier,tg:mmbbr:457,record identifiers,MMB.A.0457,descriptive note,Nederlands,"Factuur voor de aankopen op de veiling van Van Langenhove-Biebuyck: een Madonna met Kind en druiventros, verlichting, vijf glasramen en lepels",Brieven
ca5a7dc8-8926-5ea9-80e5-a2523b3b4c80,e73_Copyrights,tg:mmbbr:457,,begindatum,,,,,,,,,1894,No Known Copyright,2009,,,,,,,,,
ca5a7dc8-8926-5ea9-80e5-a2523b3b4c80,e73_ExternalRelations,tg:mmbbr:457,2,externe relaties 2 [gerelateerde objecten],https://dams.antwerpen.be,/asset/a2nfFYFAb2ak9lJYrMQ1nVw4,gerelateerd object,DAMS Archief,,,,,,,,,,,,,,,,
ca5a7dc8-8926-5ea9-80e5-a2523b3b4c80,e73_ExternalRelations,tg:mmbbr:457,3,externe relaties 3 [gerelateerde objecten],https://dams.antwerpen.be,/asset/P1UyWZXn7LbTRBED8fzKCKdN,gerelateerd object,DAMS Archief,,,,,,,,,,,,,,,,
ca5a7dc8-8926-5ea9-80e5-a2523b3b4c80,e73_ExternalRelations,tg:mmbbr:457,4,externe relaties 4 [gerelateerde objecten],https://dams.antwerpen.be,/asset/E1ShDTadJVQJHSJH47LPXn9N,gerelateerd object,DAMS Archief,,,,,,,,,,,,,,,,
ca5a7dc8-8926-5ea9-80e5-a2523b3b4c80,e73_ExternalRelations,tg:mmbbr:457,5,externe relaties 5 [gerelateerde objecten],https://dams.antwerpen.be,/asset/j1hIddtNQ5H7WMmsaezU0Wta,gerelateerd object,DAMS Archief,,,,,,,,,,,,,,,,
ca5a7dc8-8926-5ea9-80e5-a2523b3b4c80,e73_ExternalRelations,tg:mmbbr:457,6,externe relaties 6 [gerelateerde objecten],https://dams.antwerpen.be,/asset/I1fLYIsgKQEgmihGGJSVgQ2e,gerelateerd object,DAMS Archief,,,,,,,,,,,,,,,,
ca5a7dc8-8926-5ea9-80e5-a2523b3b4c80,e73_ExternalRelations,tg:mmbbr:457,7,externe relaties 7 [gerelateerde objecten],https://dams.antwerpen.be,/asset/EAZqhaIOhIEOUQYONE2hDSyB,gerelateerd object,DAMS Archief,,,,,,,,,,,,,,,,
ca5a7dc8-8926-5ea9-80e5-a2523b3b4c80,e73_ExternalRelations,tg:mmbbr:457,8,externe relaties 8 [gerelateerde objecten],https://dams.antwerpen.be,/asset/v1PjYJEYMeTHWkMcsBS8u7nh,gerelateerd object,DAMS Archief,,,,,,,,,,,,,,,,
ca5a7dc8-8926-5ea9-80e5-a2523b3b4c80,e73_ExternalRelations,tg:mmbbr:457,9,externe relaties 9 [gerelateerde objecten],https://dams.antwerpen.be,/asset/S1acSid3dsYJMZdWCGekD2zo,gerelateerd object,DAMS Archief,,,,,,,,,,,,,,,,
ca5a7dc8-8926-5ea9-80e5-a2523b3b4c80,e73_ExternalRelations,tg:mmbbr:457,g_o_1,gerelateerde objecten,http://adlib.internetserver.mmbonline.webservice,/api/wwwopac.ashx?database=collect.inf&command=selectrecord&object_number=MMB.0221,gerelateerd object,uniform resource locators,,,,,,,,,,,,,,,,
