ResourceID,card,mmb_id,order,source_field,External Relation URL Prefix,External Relation URL,External Relation,External Relation URL Type,Language,ResourceID_mat,mmb_id_mat,Material Records,source_date,Copyright Type,Copyright Revision Date,Object Identifier,Object Number Type,Object Number,Other Identifier Type,Other Identifier,Description Type,Description Language,Description,Record Type
525d2bb6-c3d8-5f41-82e7-a2bfacec8b23,AA,,0,,,,,,,,,,,,,https://data.museummayervandenbergh.be/ark:/59511/525d2bb6-c3d8-5f41-82e7-a2bfacec8b23,object identifier,tg:mmbbr:1152,record identifiers,MMB.A.1152,descriptive note,Nederlands,"de vraag naar een foto van een schilderij door Broederlam uit Fritz' collectie [anoniem, Geboorte van Jezus, Verrijzenis, Hl. Christoffel])",Brieven
525d2bb6-c3d8-5f41-82e7-a2bfacec8b23,e73_Copyrights,tg:mmbbr:1152,,begindatum,,,,,,,,,1901,No Known Copyright,2016,,,,,,,,,
525d2bb6-c3d8-5f41-82e7-a2bfacec8b23,e73_ExternalRelations,tg:mmbbr:1152,2,externe relaties 2 [gerelateerde objecten],https://dams.antwerpen.be,/asset/J1LibcgabsBDPOWXfPNk2zfY,gerelateerd object,DAMS Archief,,,,,,,,,,,,,,,,
525d2bb6-c3d8-5f41-82e7-a2bfacec8b23,e73_ExternalRelations,tg:mmbbr:1152,3,externe relaties 3 [gerelateerde objecten],https://dams.antwerpen.be,/asset/fSNbT9xJkRYQUZQQXp1gThs2,gerelateerd object,DAMS Archief,,,,,,,,,,,,,,,,
525d2bb6-c3d8-5f41-82e7-a2bfacec8b23,e73_ExternalRelations,tg:mmbbr:1152,4,externe relaties 4 [gerelateerde objecten],https://dams.antwerpen.be,/asset/VEOaZNJ7UVjVBvpD6OS4n1Er,gerelateerd object,DAMS Archief,,,,,,,,,,,,,,,,
525d2bb6-c3d8-5f41-82e7-a2bfacec8b23,e73_ExternalRelations,tg:mmbbr:1152,g_o_1,gerelateerde objecten,http://adlib.internetserver.mmbonline.webservice,/api/wwwopac.ashx?database=collect.inf&command=selectrecord&object_number=MMB.0001.1-2,gerelateerd object,uniform resource locators,,,,,,,,,,,,,,,,
525d2bb6-c3d8-5f41-82e7-a2bfacec8b23,e73_ExternalRelations,tg:mmbbr:1152,g_o_2,gerelateerde objecten,http://adlib.internetserver.mmbonline.webservice,/api/wwwopac.ashx?database=collect.inf&command=selectrecord&object_number=MMB.0001.2-2.A,gerelateerd object,uniform resource locators,,,,,,,,,,,,,,,,
525d2bb6-c3d8-5f41-82e7-a2bfacec8b23,e73_ExternalRelations,tg:mmbbr:1152,g_o_3,gerelateerde objecten,http://adlib.internetserver.mmbonline.webservice,/api/wwwopac.ashx?database=collect.inf&command=selectrecord&object_number=MMB.0001.2-2.B,gerelateerd object,uniform resource locators,,,,,,,,,,,,,,,,
525d2bb6-c3d8-5f41-82e7-a2bfacec8b23,e73_Languages,,,taal 1,,,,,French (language),,,,,,,,,,,,,,,
525d2bb6-c3d8-5f41-82e7-a2bfacec8b23,e73_MaterialRecords,tg:mmbbr:1152,1,,,,,,,102a08a0-4998-54c9-8912-45c5557445a1,tg:mmbbr:1152_#1,"[{""resourceId"": ""102a08a0-4998-54c9-8912-45c5557445a1"", ""ontologyProperty"": """", ""resourceXresourceId"": ""ad807571-7a4d-4a47-99e2-2d60ee2c83fb"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
