ResourceID,card,mmb_id,order,source_field,External Relation URL Prefix,External Relation URL,External Relation,External Relation URL Type,Language,ResourceID_mat,mmb_id_mat,Material Records,source_date,Copyright Type,Copyright Revision Date,Object Identifier,Object Number Type,Object Number,Other Identifier Type,Other Identifier,Description Type,Description Language,Description,Record Type
fa553ce8-81cd-55cb-aa91-9592a084aea0,AA,,0,,,,,,,,,,,,,https://data.museummayervandenbergh.be/ark:/59511/fa553ce8-81cd-55cb-aa91-9592a084aea0,object identifier,tg:mmbbr:769,record identifiers,MMB.A.0769,descriptive note,Nederlands,"de aankoop en de afmetingen van verschillende schilderijen waaronder een mansportret door Van Ravesteyn [Rotius, Meyndert Sonck] en één werk toegeschreven aan Bol, inlichtingen over de authenticiteit van een portret van een lid van de familie Beresteyn en het aanbod van zeegezichten ",Brieven
fa553ce8-81cd-55cb-aa91-9592a084aea0,e73_Copyrights,tg:mmbbr:769,,begindatum,,,,,,,,,1897,No Known Copyright,2012,,,,,,,,,
fa553ce8-81cd-55cb-aa91-9592a084aea0,e73_ExternalRelations,tg:mmbbr:769,2,externe relaties 2 [gerelateerde objecten],https://dams.antwerpen.be,/asset/m1T7hYsXh7WcY3rggXjm5Ujm,gerelateerd object,DAMS Archief,,,,,,,,,,,,,,,,
fa553ce8-81cd-55cb-aa91-9592a084aea0,e73_ExternalRelations,tg:mmbbr:769,3,externe relaties 3 [gerelateerde objecten],https://dams.antwerpen.be,/asset/j1WooRfRWYdCW6SEqbdUUauQ,gerelateerd object,DAMS Archief,,,,,,,,,,,,,,,,
fa553ce8-81cd-55cb-aa91-9592a084aea0,e73_ExternalRelations,tg:mmbbr:769,4,externe relaties 4 [gerelateerde objecten],https://dams.antwerpen.be,/asset/u1ITHVUZcw9mbR8UidT9nEI7,gerelateerd object,DAMS Archief,,,,,,,,,,,,,,,,
fa553ce8-81cd-55cb-aa91-9592a084aea0,e73_ExternalRelations,tg:mmbbr:769,5,externe relaties 5 [gerelateerde objecten],https://dams.antwerpen.be,/asset/CXrUQ9j9GZfN7VkTuUplkmXU,gerelateerd object,DAMS Archief,,,,,,,,,,,,,,,,
fa553ce8-81cd-55cb-aa91-9592a084aea0,e73_ExternalRelations,tg:mmbbr:769,6,externe relaties 6 [gerelateerde objecten],https://dams.antwerpen.be,/asset/Q2LXnTLdZDKOr6YeqNCjeaRo,gerelateerd object,DAMS Archief,,,,,,,,,,,,,,,,
fa553ce8-81cd-55cb-aa91-9592a084aea0,e73_ExternalRelations,tg:mmbbr:769,7,externe relaties 7 [gerelateerde objecten],https://dams.antwerpen.be,/asset/Q2LXnTLdZDKOr6YeqNCjeaRo,gerelateerd object,DAMS Archief,,,,,,,,,,,,,,,,
fa553ce8-81cd-55cb-aa91-9592a084aea0,e73_ExternalRelations,tg:mmbbr:769,8,externe relaties 8 [gerelateerde objecten],https://dams.antwerpen.be,/asset/F1fWRRMfMTxZZGCGYXWKWEnf,gerelateerd object,DAMS Archief,,,,,,,,,,,,,,,,
fa553ce8-81cd-55cb-aa91-9592a084aea0,e73_ExternalRelations,tg:mmbbr:769,g_o_1,gerelateerde objecten,http://adlib.internetserver.mmbonline.webservice,/api/wwwopac.ashx?database=collect.inf&command=selectrecord&object_number=MMB.0111,gerelateerd object,uniform resource locators,,,,,,,,,,,,,,,,
fa553ce8-81cd-55cb-aa91-9592a084aea0,e73_ExternalRelations,tg:mmbbr:769,g_o_2,gerelateerde objecten,http://adlib.internetserver.mmbonline.webservice,/api/wwwopac.ashx?database=collect.inf&command=selectrecord&object_number=MMB.0134,gerelateerd object,uniform resource locators,,,,,,,,,,,,,,,,
fa553ce8-81cd-55cb-aa91-9592a084aea0,e73_ExternalRelations,tg:mmbbr:769,g_o_3,gerelateerde objecten,http://adlib.internetserver.mmbonline.webservice,/api/wwwopac.ashx?database=collect.inf&command=selectrecord&object_number=MMB.0137,gerelateerd object,uniform resource locators,,,,,,,,,,,,,,,,
fa553ce8-81cd-55cb-aa91-9592a084aea0,e73_ExternalRelations,tg:mmbbr:769,g_o_4,gerelateerde objecten,http://adlib.internetserver.mmbonline.webservice,/api/wwwopac.ashx?database=collect.inf&command=selectrecord&object_number=MMB.0138,gerelateerd object,uniform resource locators,,,,,,,,,,,,,,,,
fa553ce8-81cd-55cb-aa91-9592a084aea0,e73_ExternalRelations,tg:mmbbr:769,g_o_5,gerelateerde objecten,http://adlib.internetserver.mmbonline.webservice,/api/wwwopac.ashx?database=collect.inf&command=selectrecord&object_number=MMB.0159,gerelateerd object,uniform resource locators,,,,,,,,,,,,,,,,
