ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,kenmerken.rubobjnrgr,isaad,Associated Archive,dataset,Associated Record Relation,Associated Brocade ID,Associated Record URL Type,Associated Record Note,related_uuid,Associated Record,Start Date,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation URL Prefix,External Relation URL,External Relation,External Relation URL Type,External Relation Note,External Relation Note Language,External Relation Note Type,Keyword,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,museum,resource_model,ire.isaar.uuid,source_ire_type,Original Entity Type,au_code,g_code,Original Entity Note,Original Entity Widget,Original Entity Identifier,matched on,Other Identifier,Other Identifier Type,Title,Title Type,Title Language,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,source_date,Copyright Revision Date,Copyright Type,Transactions
37f80899-baf5-5b1e-80d3-2f2bf8342061,tg:rubgr:3344,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rubenianum,tg:rubgr:3344,record identifiers,https://data.rubenianum.be//ark:/86530/37f80899-baf5-5b1e-80d3-2f2bf8342061,object identifier,Foto's,,,,
37f80899-baf5-5b1e-80d3-2f2bf8342061,tg:rubgr:3344,e73_AssociatedRecords,1,,,,,,,,,rubgr_foto,relatie naar geheel,tg:rubgr:3338,Verwijzing naar Grossmann object,,909a2567-7565-51a1-a51e-6d5c7af27196,"[{""resourceId"": ""909a2567-7565-51a1-a51e-6d5c7af27196"", ""ontologyProperty"": """", ""resourceXresourceId"": ""927cf923-a243-4985-bab0-47c5fed2f2e3"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37f80899-baf5-5b1e-80d3-2f2bf8342061,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""835a1387-1ea8-42a2-be1f-c6e2027ab93e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""bfa8226b-b1e9-4c05-9c71-e3d501fc6099"", ""inverseOntologyProperty"": """"}]"
37f80899-baf5-5b1e-80d3-2f2bf8342061,tg:rubgr:3344,e73_CreationTimeSpans,,default_copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Copyright Undetermined,
37f80899-baf5-5b1e-80d3-2f2bf8342061,tg:rubgr:3344,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,"<p>[Notitie in onbekend handschrift]: 'Alb.Am. J.G. v. G. (Grossmann) Bruegel after Bosch, Fig. 1, [Stempel Wien, Kunsthistorisches Museum]; Fig. 2 Pieter Coeck, The Temptation of St. Anthony, [Stempel Courtauld]; Fig.3 P. Coeck; Fig.4 P. Coeck; Fig.5 B. van Orley; Fig. 6 Nicolaus Hogenberg; Fig. 7 Andrea del Sarto, The Preaching og the Baptist; Fig.8 After Franciabigio, by courtesy of Mr. Manfred Selig, Seattle.</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37f80899-baf5-5b1e-80d3-2f2bf8342061,tg:rubgr:3344,e73_Keywords,1,kenmerken.rubkeyword,,,,,,,,,,,,,,,,,,,,,,,,,,,Franciabigio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37f80899-baf5-5b1e-80d3-2f2bf8342061,tg:rubgr:3344,e73_Keywords,2,kenmerken.rubkeyword,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hogenberg, Nikolaus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37f80899-baf5-5b1e-80d3-2f2bf8342061,tg:rubgr:3344,e73_Keywords,3,kenmerken.rubkeyword,,,,,,,,,,,,,,,,,,,,,,,,,,,"Selig, Manfred",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37f80899-baf5-5b1e-80d3-2f2bf8342061,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN14/gr/000003344,referentienummer,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
37f80899-baf5-5b1e-80d3-2f2bf8342061,,e73_LegacyInformation,1,if.rawcontent,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<record>
			<priref>5597</priref>
			<number>AFG_093_007</number>
			<part_of_reference>AFG_093_001</part_of_reference>
			<content>[Notitie in onbekend handschrift]: 'Alb.Am. J.G. v. G. (Grossmann) Bruegel after Bosch, Fig. 1, [Stempel Wien, Kunsthistorisches Museum]; Fig. 2 Pieter Coeck, The Temptation of St. Anthony, [Stempel Courtauld]; Fig.3 P. Coeck; Fig.4 P. Coeck; Fig.5 B. van Orley; Fig. 6 Nicolaus Hogenberg; Fig. 7 Andrea del Sarto, The Preaching og the Baptist; Fig.8 After Franciabigio, by courtesy of Mr. Manfred Selig, Seattle.</content>
			<object.object_number>AFG_093</object.object_number>
			<object.object_name>Dossier</object.object_name>
			<part_of.title>Flemish Painting around and later than Bruegel. Also: Comparative Material.</part_of.title>
			<class>AFG</class>
			<editorial_form>foto</editorial_form>
			<object.title>Comparative Material. Including Mechelen</object.title>
			<keyword>Coecke van Aelst, Pieter I</keyword>
			<keyword>Franciabigio</keyword>
			<keyword>Hogenberg, Nikolaus</keyword>
			<keyword>Orley, Barend van</keyword>
			<keyword>Selig, Manfred</keyword>
			<keyword>Gelder, Jan Gerrit van</keyword>
			<keyword>Londen, Courtauld Institute Galleries</keyword>
			<keyword>Wenen, Kunsthistorisches Museum</keyword>
			<object.creator/>
			<input.date>2014-06-18</input.date>
			<edit.date>2014-06-19</edit.date>
			<edit.date>2014-06-18</edit.date>
			<edit.date>2014-06-18</edit.date>
			<edit.date>2014-06-18</edit.date>
			<edit.date>2014-06-18</edit.date>
			<edit.date>2014-06-18</edit.date>
			<input.name>Centrum</input.name>
			<edit.name>Centrum</edit.name>
			<edit.name>Centrum</edit.name>
			<edit.name>Centrum</edit.name>
			<edit.name>Centrum</edit.name>
			<edit.name>Centrum</edit.name>
			<edit.name>Centrum</edit.name>
			<edit.time>14:18:44</edit.time>
			<edit.time>09:27:30</edit.time>
			<edit.time>09:26:59</edit.time>
			<edit.time>09:25:46</edit.time>
			<edit.time>09:25:07</edit.time>
			<edit.time>09:07:37</edit.time>
			<input.time>09:06:26</input.time>
			<input.source>archive</input.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
		</record>
		
",commentaar gebruiker,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
