ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,kenmerken.rubobjnrgr,isaad,Associated Archive,dataset,Associated Record Relation,Associated Brocade ID,Associated Record URL Type,Associated Record Note,related_uuid,Associated Record,Start Date,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation URL Prefix,External Relation URL,External Relation,External Relation URL Type,External Relation Note,External Relation Note Language,External Relation Note Type,Keyword,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,museum,resource_model,ire.isaar.uuid,source_ire_type,Original Entity Type,au_code,g_code,Original Entity Note,Original Entity Widget,Original Entity Identifier,matched on,Other Identifier,Other Identifier Type,Title,Title Type,Title Language,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,source_date,Copyright Revision Date,Copyright Type,Transactions
13ab5829-c40a-5ec3-8ed3-86320ba5f147,tg:rubgr:2513,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rubenianum,tg:rubgr:2513,record identifiers,https://data.rubenianum.be//ark:/86530/13ab5829-c40a-5ec3-8ed3-86320ba5f147,object identifier,Foto's,,,,
13ab5829-c40a-5ec3-8ed3-86320ba5f147,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""8d063f9c-5da5-41a8-b2a0-0a95d7812cc0"", ""ontologyProperty"": """", ""resourceXresourceId"": ""457348a4-ffb6-423d-87d9-6f81b03d3b38"", ""inverseOntologyProperty"": """"}]"
13ab5829-c40a-5ec3-8ed3-86320ba5f147,tg:rubgr:2513,e73_CreationTimeSpans,,default_copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Copyright Undetermined,
13ab5829-c40a-5ec3-8ed3-86320ba5f147,tg:rubgr:2513,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,"<p>1 zw/w foto met stempel A. Dingjan, [...] Den Haag, N° 57035. Photograph on the sides and top not complete.</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13ab5829-c40a-5ec3-8ed3-86320ba5f147,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN14/gr/000002513,referentienummer,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
13ab5829-c40a-5ec3-8ed3-86320ba5f147,,e73_LegacyInformation,1,if.rawcontent,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<record>
			<priref>4755</priref>
			<number>AFG_083_063</number>
			<content>1 zw/w foto met stempel A. Dingjan, [...] Den Haag, N&#176; 57035. Photograph on the sides and top not complete.</content>
			<object.object_number>AFG_083</object.object_number>
			<object.object_name>Dossier</object.object_name>
			<class>AFG</class>
			<editorial_form>foto</editorial_form>
			<object.title>Cleve, Marten van</object.title>
			<object.creator/>
			<input.date>2013-10-10</input.date>
			<input.name>Centrum</input.name>
			<input.time>11:33:43</input.time>
			<input.source>archive</input.source>
		</record>
		
",commentaar gebruiker,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
13ab5829-c40a-5ec3-8ed3-86320ba5f147,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:rubgr:2513,brocade id,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
13ab5829-c40a-5ec3-8ed3-86320ba5f147,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opacrubobj/tg:rubgr:2513/N,brocade url,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
13ab5829-c40a-5ec3-8ed3-86320ba5f147,tg:rubgr:2513,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""32742813-29eb-57c9-98e5-aa2e7177340d"", ""ontologyProperty"": """", ""resourceXresourceId"": ""7ffccc36-7b8d-4713-8394-dea0d1e0345d"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,,,,,,,,
13ab5829-c40a-5ec3-8ed3-86320ba5f147,tg:rubgr:2513,e73_OtherIdentifiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AFG_083_063,repository numbers,,,,,,,,,,,,,
13ab5829-c40a-5ec3-8ed3-86320ba5f147,tg:rubgr:2513,e73_Titles,1,id.title/ti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AFG_083_063,titles proper,Dutch (language),,,,,,,,,,
