ResourceID,brocade.id,card,order,Archive Brocade ID,Archive Widget,Archive Identifier,source_field,source_code,Condition Status,Document status,Object Type,Product stadium,Production Technique Type,Keeper,Object Number,Object Identifier,source_date,Restriction Type
00848ca0-559a-5ec3-8188-8ac81c20d640,tg:rubgr:3503_#1,AA,0,,,,,,,,,,,Rubenianum,tg:rubgr:3503_#1,https://data.rubenianum.be//ark:/86530/00848ca0-559a-5ec3-8188-8ac81c20d640,,
00848ca0-559a-5ec3-8188-8ac81c20d640,tg:rubgr:3503_#1,e22_Archives,1,isad:rub:3020,"dlod={""name"":""6: Encyclopedia Britannica (AFG_094)"",""ark"":""ark:/86530/x0/a2283932-5fec-50a6-be30-91759dace6f4"",""uri"":""/repositories/13/archival_objects/323142"",""id"":""isad:rub:3020"",""nameWithContext"":[""Professioneel leven"",""Kunsthistoricus"",""Bruegelonderzoek"",""Bundels Bruegel""],""resourceName"":""Archief van ~[Fritz Grossmann](au::111146)~"",""resourceArk"":""ark:/86530/x0/7600631a-2f7a-57d7-b05b-e8458944bef4"",""resourceURI"":""/repositories/13/resources/310623"",""resourceID"":""isad:rub:2903"",""capacity"":""6: Encyclopedia Britannica (AFG_094)"",""isCapacity"":true,""orgID"":""rub"",""suggestType"":""archiveobject""}",ark:/86530/x0/a2283932-5fec-50a6-be30-91759dace6f4,,,,,,,,,,,,
00848ca0-559a-5ec3-8188-8ac81c20d640,tg:rubgr:3503_#1,e22_ObjectTypes,1,,,,kenmerken.rubedformgr,dtrvbr,,,letters (correspondence),,,,,,,
00848ca0-559a-5ec3-8188-8ac81c20d640,tg:rubgr:3503_#1,e22_UsageRestrictions,,,,,id/date,,,,,,,,,,1971,permission required
00b5503f-9e9b-53c1-a879-5ce7a2fe520b,tg:rubgr:3507_#1,AA,0,,,,,,,,,,,Rubenianum,tg:rubgr:3507_#1,https://data.rubenianum.be//ark:/86530/00b5503f-9e9b-53c1-a879-5ce7a2fe520b,,
00b5503f-9e9b-53c1-a879-5ce7a2fe520b,tg:rubgr:3507_#1,e22_Archives,1,isad:rub:3020,"dlod={""name"":""6: Encyclopedia Britannica (AFG_094)"",""ark"":""ark:/86530/x0/a2283932-5fec-50a6-be30-91759dace6f4"",""uri"":""/repositories/13/archival_objects/323142"",""id"":""isad:rub:3020"",""nameWithContext"":[""Professioneel leven"",""Kunsthistoricus"",""Bruegelonderzoek"",""Bundels Bruegel""],""resourceName"":""Archief van ~[Fritz Grossmann](au::111146)~"",""resourceArk"":""ark:/86530/x0/7600631a-2f7a-57d7-b05b-e8458944bef4"",""resourceURI"":""/repositories/13/resources/310623"",""resourceID"":""isad:rub:2903"",""capacity"":""6: Encyclopedia Britannica (AFG_094)"",""isCapacity"":true,""orgID"":""rub"",""suggestType"":""archiveobject""}",ark:/86530/x0/a2283932-5fec-50a6-be30-91759dace6f4,,,,,,,,,,,,
00b5503f-9e9b-53c1-a879-5ce7a2fe520b,tg:rubgr:3507_#1,e22_ObjectTypes,1,,,,kenmerken.rubedformgr,dtrvbr,,,letters (correspondence),,,,,,,
00b5503f-9e9b-53c1-a879-5ce7a2fe520b,tg:rubgr:3507_#1,e22_UsageRestrictions,,,,,id/date,,,,,,,,,,1971,permission required
00da0db7-83ab-5798-9b83-4a2e998271b4,tg:rubgr:131_#1,AA,0,,,,,,,,,,,Rubenianum,tg:rubgr:131_#1,https://data.rubenianum.be//ark:/86530/00da0db7-83ab-5798-9b83-4a2e998271b4,,
00da0db7-83ab-5798-9b83-4a2e998271b4,tg:rubgr:131_#1,e22_Archives,1,isad:rub:2933,"dlod={""name"":""Map 1 (AFG_003)"",""ark"":""ark:/86530/x0/198948e1-0623-5404-9a6f-d2e0aeec0bbe"",""uri"":""/repositories/13/archival_objects/313833"",""id"":""isad:rub:2933"",""nameWithContext"":[""Professioneel leven"",""Kunsthistoricus"",""Bruegelonderzoek"",""Dozen Bruegel"",""II: Icarus / Adoration""],""resourceName"":""Archief van ~[Fritz Grossmann](au::111146)~"",""resourceArk"":""ark:/86530/x0/7600631a-2f7a-57d7-b05b-e8458944bef4"",""resourceURI"":""/repositories/13/resources/310623"",""resourceID"":""isad:rub:2903"",""capacity"":""Map 1 (AFG_003)"",""isCapacity"":true,""orgID"":""rub"",""suggestType"":""archiveobject""}",ark:/86530/x0/198948e1-0623-5404-9a6f-d2e0aeec0bbe,,,,,,,,,,,,
