ResourceID,brocade.id,card,order,source_field,source_code,Condition State Note,Condition State Notes Language,Condition State Notes Type
a71a6d48-5ba4-5c04-9c6c-0cf9a70b9dc4,tg:lhob:43_#1,e22_Conditions,2,note.lhconditie,"<p>26/08/2013: Slechte staat: Pootje afgebroken, schimmel en actieve houtworm geconstateerd.<br />
Oktober 2013: Het pootje werd hersteld, de vissersmand werd behandeld voor schimmel en houtworm door het restauratieatelier hout dienst  Collectiebeleid musea.</p>
","<p>26/08/2013: Slechte staat: Pootje afgebroken, schimmel en actieve houtworm geconstateerd.<br />
Oktober 2013: Het pootje werd hersteld, de vissersmand werd behandeld voor schimmel en houtworm door het restauratieatelier hout dienst  Collectiebeleid musea.</p>
",Nederlands,condition/examination description
2c18ab0b-af59-5830-b795-044c444e7160,tg:lhob:700_#1,e22_Conditions,2,note.lhconditie,"<p>De rand van de kop heeft een kleine beschadiging.</p>
","<p>De rand van de kop heeft een kleine beschadiging.</p>
",Nederlands,condition/examination description
fe9b1170-9f67-5ea9-b8c8-256c34e1dba6,tg:lhob:772_#1,e22_Conditions,2,note.lhconditie,"<p>Slijtagesporen.</p>
","<p>Slijtagesporen.</p>
",Nederlands,condition/examination description
eb021d02-8453-5af7-a378-e1ec3a1a1576,tg:lhob:329_#1,e22_Conditions,1,note.lhconditie,"<p>Eén gebarsten glas.</p>
","<p>Eén gebarsten glas.</p>
",Nederlands,condition/examination description
b749826f-0b23-526e-a653-7f744276116a,tg:lhob:754_#1,e22_Conditions,2,note.lhconditie,"<p>De doos vertoont sporen van gebruik. Aan de achterzijde is de rode bovenlaag deels losgekomen of ontbreekt er een stukje. Rechtsonder is het bruine etiket is deels los gekomen. In de doos: oppervlaktevuil.</p>
","<p>De doos vertoont sporen van gebruik. Aan de achterzijde is de rode bovenlaag deels losgekomen of ontbreekt er een stukje. Rechtsonder is het bruine etiket is deels los gekomen. In de doos: oppervlaktevuil.</p>
",Nederlands,condition/examination description
01473cc5-4d70-548f-9088-2efb06ae9667,tg:lhob:726_#1,e22_Conditions,2,note.lhconditie,"<p>Gebruikssporen, kleefresten en ontbrekende stukken.</p>
","<p>Gebruikssporen, kleefresten en ontbrekende stukken.</p>
",Nederlands,condition/examination description
de23378c-7187-5d57-a6eb-cedd0614cdb1,tg:lhob:719_#1,e22_Conditions,2,note.lhconditie,"<p>Gebruikssporen.</p>
","<p>Gebruikssporen.</p>
",Nederlands,condition/examination description
ceaa86e0-803a-5992-a6e1-f89d9ae970d5,tg:lhob:709_#1,e22_Conditions,1,note.lhconditie,"<p>Er ontbreekt een schilfer aan de achterzijde.</p>
","<p>Er ontbreekt een schilfer aan de achterzijde.</p>
",Nederlands,condition/examination description
33845049-e1c6-5a56-8b17-4139f70d6dfa,tg:lhob:283_#1,e22_Conditions,1,note.lhconditie,"<p>Gebroken steel.</p>
","<p>Gebroken steel.</p>
",Nederlands,condition/examination description
41fa6d4d-29b5-5805-8198-c7f48627d487,tg:lhob:755_#1,e22_Conditions,2,note.lhconditie,"<p>De doosjes vertonen sporen van gebruik. Oppervlaktevuil.</p>
","<p>De doosjes vertonen sporen van gebruik. Oppervlaktevuil.</p>
",Nederlands,condition/examination description
e117ed27-df1f-5383-9196-647dfcbbd70d,tg:lhob:516_#1,e22_Conditions,2,note.lhconditie,"<p>Oxidatie</p>
","<p>Oxidatie</p>
",Nederlands,condition/examination description
b1b16840-1fe7-51c8-b97c-22df9628f9e5,tg:lhob:718_#1,e22_Conditions,2,note.lhconditie,"<p>Gebruikssporen; krassen en barstjes in het tafelblad.</p>
","<p>Gebruikssporen; krassen en barstjes in het tafelblad.</p>
",Nederlands,condition/examination description
ae92bbba-2125-5b74-bba1-fb16312889b3,tg:lhob:365_#1,e22_Conditions,1,note.lhconditie,"<p>In meerdere delen gebroken</p>
","<p>In meerdere delen gebroken</p>
",Nederlands,condition/examination description
8e36394f-77d4-5bb2-b4fb-37726965152c,tg:lhob:773_#1,e22_Conditions,2,note.lhconditie,"<p>Slijtagesporen.</p>
","<p>Slijtagesporen.</p>
",Nederlands,condition/examination description
05287a0f-c89a-5a52-9876-15e5c521e8fb,tg:lhob:763_#1,e22_Conditions,3,note.lhconditie,"<p>Oppervlaktevuil en verkleuring van textiel.</p>
","<p>Oppervlaktevuil en verkleuring van textiel.</p>
",Nederlands,condition/examination description
6037badd-179d-5b56-8cee-23cefcf26e1d,tg:lhob:328_#1,e22_Conditions,1,note.lhconditie,"<p>Eén veer ontbreekt.</p>
","<p>Eén veer ontbreekt.</p>
",Nederlands,condition/examination description
2b2a26bb-a359-509f-adbf-8557dc36d843,tg:lhob:725_#1,e22_Conditions,2,note.lhconditie,"<p>Gebruikssporen en ontbrekende stukken.</p>
","<p>Gebruikssporen en ontbrekende stukken.</p>
",Nederlands,condition/examination description
a2ff3584-f4d0-5573-9a33-05a5b01ccfed,tg:lhob:757_#1,e22_Conditions,1,note.lhconditie,"<p>Sporen van houtworm.</p>
","<p>Sporen van houtworm.</p>
",Nederlands,condition/examination description
13bda192-63de-568c-b1cf-3176f28975c0,tg:lhob:274_#1,e22_Conditions,1,note.lhconditie,"<p>Gebroken onder de ketel. In het verleden reeds verlijmd.</p>
","<p>Gebroken onder de ketel. In het verleden reeds verlijmd.</p>
",Nederlands,condition/examination description
b79b35e9-9885-5574-ae7b-cb75b4f06b75,tg:lhob:768_#1,e22_Conditions,2,note.lhconditie,"<p>Slijtagesporen en barsten in het tafelblad.</p>
","<p>Slijtagesporen en barsten in het tafelblad.</p>
",Nederlands,condition/examination description
4f0bed81-17c1-5368-87e7-6ddd1adb0772,tg:lhob:761_#1,e22_Conditions,2,note.lhconditie,"<p>Oppervlaktevuil.</p>
","<p>Oppervlaktevuil.</p>
",Nederlands,condition/examination description
b02ed0a4-5c38-5c78-879d-4cd8b9334a69,tg:lhob:771_#1,e22_Conditions,2,note.lhconditie,"<p>Slijtagesporen.</p>
","<p>Slijtagesporen.</p>
",Nederlands,condition/examination description
031cd232-b652-5bf9-9c5c-b183565f1443,tg:lhob:230_#1,e22_Conditions,1,note.lhconditie,"<p>Gebroken aan de steel</p>
","<p>Gebroken aan de steel</p>
",Nederlands,condition/examination description
df5dfada-2491-5814-b385-59a289219130,tg:lhob:770_#1,e22_Conditions,2,note.lhconditie,"<p>Slijtagesporen.</p>
","<p>Slijtagesporen.</p>
",Nederlands,condition/examination description
206cf941-96ae-5518-80fa-cef706f6312d,tg:lhob:724_#1,e22_Conditions,2,note.lhconditie,"<p>Gebruikssporen.</p>
","<p>Gebruikssporen.</p>
",Nederlands,condition/examination description
2ba4c331-8f24-5a01-bcc9-0ab46cb8fcb1,tg:lhob:756_#1,e22_Conditions,2,note.lhconditie,"<p>Enkele lacunes.</p>
","<p>Enkele lacunes.</p>
",Nederlands,condition/examination description
90e2b264-18ca-5514-9fa4-d6506a5b7917,tg:lhob:340_#1,e22_Conditions,1,note.lhconditie,"<p>Ernstig beschadigd, in meerdere delen gebroken.</p>
","<p>Ernstig beschadigd, in meerdere delen gebroken.</p>
",Nederlands,condition/examination description
13568ef6-b211-597e-a3f1-efad1ec4655c,tg:lhob:332_#1,e22_Conditions,1,note.lhconditie,"<p>Gecorrodeerd, gebroken waardoor de glazen los zitten.</p>
","<p>Gecorrodeerd, gebroken waardoor de glazen los zitten.</p>
",Nederlands,condition/examination description
ed392fa8-7d18-56d8-8f8e-8fcf0d3406dc,tg:lhob:769_#1,e22_Conditions,2,note.lhconditie,"<p>Slijtagesporen.</p>
","<p>Slijtagesporen.</p>
",Nederlands,condition/examination description
5f074395-9d57-533b-aa46-8c18f6633e62,tg:lhob:721_#1,e22_Conditions,2,note.lhconditie,"<p>De vering van de fauteuils is in slechte staat. Beide fauteuils vertonen gebruikssporen.</p>
","<p>De vering van de fauteuils is in slechte staat. Beide fauteuils vertonen gebruikssporen.</p>
",Nederlands,condition/examination description
01bca883-0aac-58ea-977a-7dd8639bf0df,tg:lhob:318_#1,e22_Conditions,1,note.lhconditie,"<p>Deel van een veer afgebroken.</p>
","<p>Deel van een veer afgebroken.</p>
",Nederlands,condition/examination description
1e176e46-5a25-5894-ac76-170ab229bafa,tg:lhob:753_#1,e22_Conditions,2,note.lhconditie,"<p>Barst in de kristallen vaas.</p>
","<p>Barst in de kristallen vaas.</p>
",Nederlands,condition/examination description
dcbae0d0-c497-5e3b-a288-7580914e0de4,tg:lhob:774_#1,e22_Conditions,2,note.lhconditie,"<p>Slijtagesporen en ontbrekend latje.</p>
","<p>Slijtagesporen en ontbrekend latje.</p>
",Nederlands,condition/examination description
1a2cc6e1-f267-5c75-8d0c-5b1579a72266,tg:lhob:764_#1,e22_Conditions,2,note.lhconditie,"<p>Verschillende gaten in textiel.</p>
","<p>Verschillende gaten in textiel.</p>
",Nederlands,condition/examination description
732551d8-94f8-502e-b83c-4e1ed6230796,tg:lhob:295_#1,e22_Conditions,1,note.lhconditie,"<p>Reeds opnieuw verstevigd met plakband.</p>
","<p>Reeds opnieuw verstevigd met plakband.</p>
",Nederlands,condition/examination description
75e45101-d921-5d3b-9f6b-9b6b329560b9,tg:lhob:720_#1,e22_Conditions,2,note.lhconditie,"<p>De stoffering, onderstoffering en vering van de stoelen zijn in zeer slechte staat. Ook de poten en de armleuningen vertonen gebruikssporen.</p>
","<p>De stoffering, onderstoffering en vering van de stoelen zijn in zeer slechte staat. Ook de poten en de armleuningen vertonen gebruikssporen.</p>
",Nederlands,condition/examination description
ba755087-0719-5c49-a705-9297167b5aa7,tg:lhob:271_#1,e22_Conditions,1,note.lhconditie,"<p>In drie delen gebroken</p>
","<p>In drie delen gebroken</p>
",Nederlands,condition/examination description
