ResourceID,brocade.id,card,order,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type
cd54c091-7319-5f1b-be7b-7f125c03b86b,tg:lhob:598,AA,0,Letterenhuis,tg:lhob:598,record identifiers,https://data.letterenhuis.be/ark:/24970/cd54c091-7319-5f1b-be7b-7f125c03b86b,object identifier,Voorwerpen
e6d5ea11-0a81-54c5-90f8-56da1f9621e4,tg:lhob:31,AA,0,Letterenhuis,tg:lhob:31,record identifiers,https://data.letterenhuis.be/ark:/24970/e6d5ea11-0a81-54c5-90f8-56da1f9621e4,object identifier,Voorwerpen
e9d37355-8a66-5db9-8713-60f291784aca,tg:lhob:588,AA,0,Letterenhuis,tg:lhob:588,record identifiers,https://data.letterenhuis.be/ark:/24970/e9d37355-8a66-5db9-8713-60f291784aca,object identifier,Voorwerpen
0f1119cf-e97d-5be3-9aa0-de25a53e1e55,tg:lhob:786,AA,0,Letterenhuis,tg:lhob:786,record identifiers,https://data.letterenhuis.be/ark:/24970/0f1119cf-e97d-5be3-9aa0-de25a53e1e55,object identifier,Voorwerpen
fcaa3cf3-4586-54e9-bb0d-18910b7c2aa8,tg:lhob:796,AA,0,Letterenhuis,tg:lhob:796,record identifiers,https://data.letterenhuis.be/ark:/24970/fcaa3cf3-4586-54e9-bb0d-18910b7c2aa8,object identifier,Voorwerpen
9fe0854f-f686-5bb9-955e-7bbd13058140,tg:lhob:647,AA,0,Letterenhuis,tg:lhob:647,record identifiers,https://data.letterenhuis.be/ark:/24970/9fe0854f-f686-5bb9-955e-7bbd13058140,object identifier,Voorwerpen
7f9aef31-a0d4-532d-8121-75b18dda09df,tg:lhob:657,AA,0,Letterenhuis,tg:lhob:657,record identifiers,https://data.letterenhuis.be/ark:/24970/7f9aef31-a0d4-532d-8121-75b18dda09df,object identifier,Voorwerpen
845c0e30-9370-5f69-b807-060165902df0,tg:lhob:88,AA,0,Letterenhuis,tg:lhob:88,record identifiers,https://data.letterenhuis.be/ark:/24970/845c0e30-9370-5f69-b807-060165902df0,object identifier,Voorwerpen
5a6dff4c-165a-5847-8442-0d713c84e54f,tg:lhob:521,AA,0,Letterenhuis,tg:lhob:521,record identifiers,https://data.letterenhuis.be/ark:/24970/5a6dff4c-165a-5847-8442-0d713c84e54f,object identifier,Voorwerpen
ec260e66-10ae-5dfc-b2b5-32ec41e3a995,tg:lhob:449,AA,0,Letterenhuis,tg:lhob:449,record identifiers,https://data.letterenhuis.be/ark:/24970/ec260e66-10ae-5dfc-b2b5-32ec41e3a995,object identifier,Voorwerpen
988e58f0-2a23-557a-b93b-8232a458f1fb,tg:lhob:531,AA,0,Letterenhuis,tg:lhob:531,record identifiers,https://data.letterenhuis.be/ark:/24970/988e58f0-2a23-557a-b93b-8232a458f1fb,object identifier,Voorwerpen
a319e252-eb18-5a27-80bb-fa2132d48bf9,tg:lhob:98,AA,0,Letterenhuis,tg:lhob:98,record identifiers,https://data.letterenhuis.be/ark:/24970/a319e252-eb18-5a27-80bb-fa2132d48bf9,object identifier,Voorwerpen
e183894d-04ce-5c3f-8300-1f4b0e083f34,tg:lhob:374,AA,0,Letterenhuis,tg:lhob:374,record identifiers,https://data.letterenhuis.be/ark:/24970/e183894d-04ce-5c3f-8300-1f4b0e083f34,object identifier,Voorwerpen
9e71c1b2-d30c-5f1d-8c34-7709c2cd15de,tg:lhob:364,AA,0,Letterenhuis,tg:lhob:364,record identifiers,https://data.letterenhuis.be/ark:/24970/9e71c1b2-d30c-5f1d-8c34-7709c2cd15de,object identifier,Voorwerpen
c28664a6-cbde-50f1-8a4c-14a572bbc3b3,tg:lhob:316,AA,0,Letterenhuis,tg:lhob:316,record identifiers,https://data.letterenhuis.be/ark:/24970/c28664a6-cbde-50f1-8a4c-14a572bbc3b3,object identifier,Voorwerpen
