card,order,dataset,adm.id_mat,Plaatsingsnummer,adm.uuid_mat,ResourceID,brocade.id,adm.acquiredVia,mpm_place_holder,Warehouse Location (begin),adm.isadPartOf,Volgnummer,Warehouse Location (end),Source Note Type,Source Note Language
e22_Items,1,lhob,tg:lhob:598_#1,S 395 / E,af064b7f-4785-52da-8931-0a6d494be3f0,af064b7f-4785-52da-8931-0a6d494be3f0,tg:lhob:598_#1,,,,,,,,
e22_Items,1,lhob,tg:lhob:31_#1,C 34 / E,a9db135f-fcb9-543e-a9b6-951f243a8c56,a9db135f-fcb9-543e-a9b6-951f243a8c56,tg:lhob:31_#1,tr:lh:2412,38821/2,V2 F,,,,,
e22_Items,1,lhob,tg:lhob:588_#1,S 395 / E,4458173b-b323-50a9-87ad-9bb64eee175c,4458173b-b323-50a9-87ad-9bb64eee175c,tg:lhob:588_#1,,,,,,,,
e22_Items,1,lhob,tg:lhob:786_#1,,d0b465cf-d872-547f-8af3-46cd560b0601,d0b465cf-d872-547f-8af3-46cd560b0601,tg:lhob:786_#1,tr:lh:6630,163898,V3 D 1 D,isad:lh:188708,,,,
e22_Items,1,lhob,tg:lhob:647_#1,Y 855/ E,c3d31831-6aeb-541b-b82d-bc24c2ba29f6,c3d31831-6aeb-541b-b82d-bc24c2ba29f6,tg:lhob:647_#1,tr:lh:4158,80543,,,,,,
e22_Items,1,lhob,tg:lhob:657_#1,Y 855/ E,1dfefcd5-0b60-56bf-942f-98778d446111,1dfefcd5-0b60-56bf-942f-98778d446111,tg:lhob:657_#1,tr:lh:4158,80543,,,,,,
e22_Items,1,lhob,tg:lhob:88_#1,B 65 / V,a7488c17-1c82-5a77-a8e9-f423bc0a029a,a7488c17-1c82-5a77-a8e9-f423bc0a029a,tg:lhob:88_#1,tr:lh:3240,64.516,V3 B 1 A1,isad:lh:134285,,,remarks,Nederlands
e22_Items,1,lhob,tg:lhob:449_#1,A 357 / E,ab7568ff-5116-55b6-bcee-254b6a3c5c21,ab7568ff-5116-55b6-bcee-254b6a3c5c21,tg:lhob:449_#1,,63002/17,,,,,,
e22_Items,1,lhob,tg:lhob:531_#1,G 395 / E,8c63915e-499b-5981-9dbd-2da6bbf39dee,8c63915e-499b-5981-9dbd-2da6bbf39dee,tg:lhob:531_#1,tr:lh:6603,163534,,,,,,
e22_Items,1,lhob,tg:lhob:98_#1,B 153 / V,fd776239-8ab8-575e-8b56-30fe175915c4,fd776239-8ab8-575e-8b56-30fe175915c4,tg:lhob:98_#1,tr:lh:6514,147122,V3 B 1 A1,isad:lh:134417,,,remarks,Nederlands
e22_Items,1,lhob,tg:lhob:374_#1,,c1ff9706-bc5a-525f-922c-c6c8207fea87,c1ff9706-bc5a-525f-922c-c6c8207fea87,tg:lhob:374_#1,tr:lh:6104,140 387 / 2,V3 B 1 A1,isad:lh:135485,Doos 15 / 16,,,
e22_Items,1,lhob,tg:lhob:364_#1,J 2547 / V,1dae78a3-a44c-516b-bfcf-92ee8b1809c0,1dae78a3-a44c-516b-bfcf-92ee8b1809c0,tg:lhob:364_#1,,,V3 B 1 A1,isad:lh:134493,,,remarks,Nederlands
e22_Items,1,lhob,tg:lhob:316_#1,B 708 / V,10e5c949-928a-5406-94a8-4d3820342482,10e5c949-928a-5406-94a8-4d3820342482,tg:lhob:316_#1,tr:lh:4743,91725,V3 B 1 A1,isad:lh:134757,,,remarks,Nederlands
e22_Items,1,lhob,tg:lhob:306_#1,D 1175 / V,a90f4eb0-8e73-5800-a1e2-58398c65fa15,a90f4eb0-8e73-5800-a1e2-58398c65fa15,tg:lhob:306_#1,tr:lh:2432,50027,V3 B 1 A1,isad:lh:134709,,,remarks,Nederlands
e22_Items,1,lhob,tg:lhob:543_#1,G 395 / E,32083ac4-86da-5e71-a5ee-6316b89f92c1,32083ac4-86da-5e71-a5ee-6316b89f92c1,tg:lhob:543_#1,tr:lh:6603,163547,,,,,,
e22_Items,1,lhob,tg:lhob:553_#1,S 5621 / E,6948f197-4018-52b9-9cee-c5f24218850c,6948f197-4018-52b9-9cee-c5f24218850c,tg:lhob:553_#1,tr:lh:7740,200995,,,,,,
e22_Items,1,lhob,tg:lhob:625_#1,K 9045 / E,acfc415c-1256-54e1-8c28-ea76b012813a,acfc415c-1256-54e1-8c28-ea76b012813a,tg:lhob:625_#1,,,,,,,,
e22_Items,1,lhob,tg:lhob:635_#1,K 9045 / E,07326bfe-67a7-54d2-8fa9-0c1f23fce01a,07326bfe-67a7-54d2-8fa9-0c1f23fce01a,tg:lhob:635_#1,,,,,,,,
e22_Items,1,lhob,tg:lhob:108_#1,,4a7d587c-ae47-5efa-8395-f08f4463d2c5,4a7d587c-ae47-5efa-8395-f08f4463d2c5,tg:lhob:108_#1,tr:lh:6928,,V3 B 1 A1,isad:lh:109818,Doos 2 / 27-32,,,
e22_Items,1,lhob,tg:lhob:118_#1,,c1379e1f-fd96-5eba-a427-aee483976c29,c1379e1f-fd96-5eba-a427-aee483976c29,tg:lhob:118_#1,tr:lh:6595,166144,V3 B 1 A1,isad:lh:134459,Doos 3 / 9,,,
e22_Items,1,lhob,tg:lhob:482_#1,J 422 / V,e87bebca-7a22-5965-92c4-7bea40fd0644,e87bebca-7a22-5965-92c4-7bea40fd0644,tg:lhob:482_#1,tr:lh:6444,158169,V3 D,isad:lh:134507,,,,
e22_Items,1,lhob,tg:lhob:53_#1,,4998b553-198d-5db8-818e-a9d1004fedcc,4998b553-198d-5db8-818e-a9d1004fedcc,tg:lhob:53_#1,tr:lh:6603,166281,V3 D 1 A2,isad:lh:123315,G 395 / 1,V3 D 1 A2,,
e22_Items,1,lhob,tg:lhob:492_#1,R 2325 / V,7e9cc223-80ea-570d-96dd-5fc6eca9ad57,7e9cc223-80ea-570d-96dd-5fc6eca9ad57,tg:lhob:492_#1,tr:lh:6461,158552,V3 D,isad:lh:134780,,,,
e22_Items,1,lhob,tg:lhob:43_#1,E 285 / V,a71a6d48-5ba4-5c04-9c6c-0cf9a70b9dc4,a71a6d48-5ba4-5c04-9c6c-0cf9a70b9dc4,tg:lhob:43_#1,tr:lh:103984,,V3 D 1 B3,isad:lh:112099,,,,
e22_Items,1,lhob,tg:lhob:233_#1,M 295 / V,5762285e-18a0-58ff-ae67-0ea2e8f8eaa7,5762285e-18a0-58ff-ae67-0ea2e8f8eaa7,tg:lhob:233_#1,tr:lh:7776,201537,V3 B 1 A1,isad:lh:134697,,,remarks,Nederlands
e22_Items,1,lhob,tg:lhob:223_#1,M 295 / V,6f3efa92-99f2-5960-9fe7-d472466e8ebc,6f3efa92-99f2-5960-9fe7-d472466e8ebc,tg:lhob:223_#1,tr:lh:7776,201537,V3 B 1 A1,isad:lh:134697,,,remarks,Nederlands
e22_Items,1,lhob,tg:lhob:155_#1,K 9885,0ef5f528-2fb1-57a9-a345-86ea406ed4f9,0ef5f528-2fb1-57a9-a345-86ea406ed4f9,tg:lhob:155_#1,tr:lh:6106,125941,V3 D 1 A1,isad:lh:134604,,,remarks,Nederlands
e22_Items,1,lhob,tg:lhob:145_#1,G 395 / V,806f657f-60ed-5ede-9e8e-72152dc600a0,806f657f-60ed-5ede-9e8e-72152dc600a0,tg:lhob:145_#1,tr:lh:6607,166268,V3 B 1 A1,isad:lh:123315,,,remarks,Nederlands
e22_Items,1,lhob,tg:lhob:700_#1,K 376 / V,2c18ab0b-af59-5830-b795-044c444e7160,2c18ab0b-af59-5830-b795-044c444e7160,tg:lhob:700_#1,tr:lh:7376,,V3 D,isad:lh:134288,,,,
e22_Items,1,lhob,tg:lhob:678_#1,L 319 / E,d63cd17b-a17d-5259-aa0e-22562e4380ea,d63cd17b-a17d-5259-aa0e-22562e4380ea,tg:lhob:678_#1,tr:lh:6898,170837,,,,,,
e22_Items,1,lhob,tg:lhob:668_#1,H 635 / E,38c2f7ef-eeb5-50dc-968e-083486a58e25,38c2f7ef-eeb5-50dc-968e-083486a58e25,tg:lhob:668_#1,tr:lh:479,9359,,,,,,
e22_Items,1,lhob,tg:lhob:390_#1,S 5621 / V,59c32ade-d63b-582c-b6b4-ce33b6d21a46,59c32ade-d63b-582c-b6b4-ce33b6d21a46,tg:lhob:390_#1,tr:lh:7740,200999,V3 B 1 A1,isad:lh:134700,,,remarks,Nederlands
e22_Items,1,lhob,tg:lhob:380_#1,J 2547 / V,1a09a548-becc-58d0-9c41-b566a1614f01,1a09a548-becc-58d0-9c41-b566a1614f01,tg:lhob:380_#1,,,V3 B 1 A1,isad:lh:134493,,,remarks,Nederlands
e22_Items,1,lhob,tg:lhob:772_#1,,fe9b1170-9f67-5ea9-b8c8-256c34e1dba6,fe9b1170-9f67-5ea9-b8c8-256c34e1dba6,tg:lhob:772_#1,tr:lh:5496,108186,,isad:lh:186894,,,,
e22_Items,1,lhob,tg:lhob:137_#1,J 422 / V,1cf41fea-c0e7-5dc0-9b63-7f546eefeef7,1cf41fea-c0e7-5dc0-9b63-7f546eefeef7,tg:lhob:137_#1,tr:lh:6444,158170 / 3,V3 B 1 A1,isad:lh:134507,,,remarks,Nederlands
e22_Items,1,lhob,tg:lhob:127_#1,,b92860b4-b40a-52d9-bb13-fcaed48d76c8,b92860b4-b40a-52d9-bb13-fcaed48d76c8,tg:lhob:127_#1,tr:lh:7185,,V3 B 1 A1,isad:lh:134504,Doos 3 / 17,,,
e22_Items,1,lhob,tg:lhob:329_#1,M 6147 / V,eb021d02-8453-5af7-a378-e1ec3a1a1576,eb021d02-8453-5af7-a378-e1ec3a1a1576,tg:lhob:329_#1,,203541,V3 B 1 A1,isad:lh:134513,,,remarks,Nederlands
e22_Items,1,lhob,tg:lhob:339_#1,,272080cc-4c23-5b18-9074-5f1633242e06,272080cc-4c23-5b18-9074-5f1633242e06,tg:lhob:339_#1,tr:lh:6341,166265,V3 B 1 A1,isad:lh:123315,Doos 14 / 20,,,
e22_Items,1,lhob,tg:lhob:404_#1,,2dc764b6-2353-5cf3-95b9-5259dad5dcd9,2dc764b6-2353-5cf3-95b9-5259dad5dcd9,tg:lhob:404_#1,,,V3 B 1 A1,isad:lh:134493,Doos 15 / 48,,,
e22_Items,1,lhob,tg:lhob:414_#1,A 357 / E,df8720f1-fac3-555b-9b71-c4bdcac9411c,df8720f1-fac3-555b-9b71-c4bdcac9411c,tg:lhob:414_#1,tr:lh:2412,,,,,,,
e22_Items,1,lhob,tg:lhob:277_#1,G 395 / V,67f2dec1-3e1a-5075-9f54-128ad7739187,67f2dec1-3e1a-5075-9f54-128ad7739187,tg:lhob:277_#1,tr:lh:6341,148060,V3 B 1 A1,isad:lh:123315,,,remarks,Nederlands
e22_Items,1,lhob,tg:lhob:267_#1,D 1175 / V,a83b68df-0238-5832-9d35-7312d2a02870,a83b68df-0238-5832-9d35-7312d2a02870,tg:lhob:267_#1,tr:lh:2432,50022,V3 B 1 A1,isad:lh:134709,,,remarks,Nederlands
e22_Items,1,lhob,tg:lhob:422_#1,A 357 / E,1b1c9e00-f6b9-598a-b46c-d412476201e0,1b1c9e00-f6b9-598a-b46c-d412476201e0,tg:lhob:422_#1,,63002/4,,,,,,
e22_Items,1,lhob,tg:lhob:432_#1,A 357 / E,be835438-b530-5bea-9aad-54a9c41f1727,be835438-b530-5bea-9aad-54a9c41f1727,tg:lhob:432_#1,tr:lh:2072,38821,,,,,,
e22_Items,1,lhob,tg:lhob:754_#1,,b749826f-0b23-526e-a653-7f744276116a,b749826f-0b23-526e-a653-7f744276116a,tg:lhob:754_#1,,,V3 D 1 B,isad:lh:143566,,,,
e22_Items,1,lhob,tg:lhob:111_#1,,558f7631-fb10-51e0-882a-174622395666,558f7631-fb10-51e0-882a-174622395666,tg:lhob:111_#1,tr:lh:6487,239882,V3 B 1 A1,isad:lh:134458,Doos 3 / 1,,,
e22_Items,1,lhob,tg:lhob:101_#1,,bdf0e504-1f74-5bb3-85e3-7617e1302f65,bdf0e504-1f74-5bb3-85e3-7617e1302f65,tg:lhob:101_#1,,,V3 B 1 A1,,,,remarks,Nederlands
e22_Items,1,lhob,tg:lhob:685_#1,R 985 / E,1d690748-53bb-5670-be53-e32a28a133e2,1d690748-53bb-5670-be53-e32a28a133e2,tg:lhob:685_#1,tr:lh:7398,196042,,,,,,
e22_Items,1,lhob,tg:lhob:695_#1,,52564d5e-f3bc-5df1-8199-3c47cc2fde58,52564d5e-f3bc-5df1-8199-3c47cc2fde58,tg:lhob:695_#1,tr:lh:7376,195826/1,V3 D,isad:lh:134288,,,,
e22_Items,1,lhob,tg:lhob:28_#1,C 34 / E,fc678fdb-8d4c-50f5-80a5-b244353b0eb2,fc678fdb-8d4c-50f5-80a5-b244353b0eb2,tg:lhob:28_#1,tr:lh:846,15825,V2 F,isad:lh:98425,,,,
e22_Items,1,lhob,tg:lhob:581_#1,S 395 / E,aaed007a-0306-519e-ba68-c71c931156a0,aaed007a-0306-519e-ba68-c71c931156a0,tg:lhob:581_#1,,,,,,,,
e22_Items,1,lhob,tg:lhob:591_#1,S 395 / E,e5d82a7f-30d6-5b8f-83f0-874821bbfe7c,e5d82a7f-30d6-5b8f-83f0-874821bbfe7c,tg:lhob:591_#1,,,,,,,,
e22_Items,1,lhob,tg:lhob:173_#1,C 395 / V,96658b5c-87be-5c46-8945-f3ec7f429b7f,96658b5c-87be-5c46-8945-f3ec7f429b7f,tg:lhob:173_#1,tr:lh:6928,,V3 B 1 A1,isad:lh:109818,,,remarks,Nederlands
