ResourceID,brocade.id,card,order,Mark Note,Mark Type,Mark Language
af064b7f-4785-52da-8931-0a6d494be3f0,tg:lhob:598_#1,e22_Marks,2,"<p>AP</p>
",inscriptions,Nederlands
4458173b-b323-50a9-87ad-9bb64eee175c,tg:lhob:588_#1,e22_Marks,2,"<p>VERLEE LUC / 75</p>
",inscriptions,Nederlands
c3d31831-6aeb-541b-b82d-bc24c2ba29f6,tg:lhob:647_#1,e22_Marks,2,"<p>ASTHOEWER.</p>
",inscriptions,Nederlands
8c63915e-499b-5981-9dbd-2da6bbf39dee,tg:lhob:531_#1,e22_Marks,2,"<p>M. DELANNOY – MCMXXXIV.</p>
",inscriptions,Nederlands
32083ac4-86da-5e71-a5ee-6316b89f92c1,tg:lhob:543_#1,e22_Marks,2,"<p>C. VAN DIONANT</p>
",inscriptions,Nederlands
acfc415c-1256-54e1-8c28-ea76b012813a,tg:lhob:625_#1,e22_Marks,2,"<p>J. WITTERWULGHE.</p>
",inscriptions,Nederlands
07326bfe-67a7-54d2-8fa9-0c1f23fce01a,tg:lhob:635_#1,e22_Marks,2,"<p>G. JONNAERT.</p>
",inscriptions,Nederlands
d63cd17b-a17d-5259-aa0e-22562e4380ea,tg:lhob:678_#1,e22_Marks,2,"<p>PANHUYZEN.</p>
",inscriptions,Nederlands
38c2f7ef-eeb5-50dc-968e-083486a58e25,tg:lhob:668_#1,e22_Marks,2,"<p>Wolfers G.</p>
",inscriptions,Nederlands
1d690748-53bb-5670-be53-e32a28a133e2,tg:lhob:685_#1,e22_Marks,2,"<p>Baetes</p>
",inscriptions,Nederlands
e5d82a7f-30d6-5b8f-83f0-874821bbfe7c,tg:lhob:591_#1,e22_Marks,2,"<p>JOSUË DUPON &amp; J. FONSON.</p>
",inscriptions,Nederlands
4e8dc0f9-cc29-5fb7-9afd-2f923ab13bcf,tg:lhob:538_#1,e22_Marks,2,"<p>ARTHUR DUPON 1968 / FISCH.</p>
",inscriptions,Nederlands
bfdca477-656b-57f9-b369-f88b9b94a55d,tg:lhob:528_#1,e22_Marks,2,"<p>I.</p>
",inscriptions,Nederlands
0de9e7e6-d7e0-5a69-a74f-79d69c04a675,tg:lhob:613_#1,e22_Marks,2,"<p>SOLÁ Y CAMATS G.&amp; CASTELLS.</p>
",inscriptions,Nederlands
2ffc4b0a-cb21-5ea7-90aa-6946eb48bcf5,tg:lhob:575_#1,e22_Marks,2,"<p>Wolfers G.</p>
",inscriptions,Nederlands
674a061b-d073-5520-a84d-f42298841e47,tg:lhob:507_#1,e22_Marks,2,"<p>Signatuur van Frans Dille en de initialen VDL (tweemaal).</p>
",inscriptions,Nederlands
ceaa86e0-803a-5992-a6e1-f89d9ae970d5,tg:lhob:709_#1,e22_Marks,3,"<p>Getekend Felix Timmermans in rode inkt + monogram F.T.</p>
",inscriptions,Nederlands
6828cb82-76ce-574a-8600-22e3c8cf6d7d,tg:lhob:694_#1,e22_Marks,1,"<p>Sinjaalprijs / 1965 / VOOR ROMAN</p>
",inscriptions,Nederlands
26740512-27df-5d0a-8425-c03e58b41103,tg:lhob:529_#1,e22_Marks,2,"<p>POETOU</p>
",inscriptions,Nederlands
e06e9abc-68be-5664-b230-01cd193c5878,tg:lhob:539_#1,e22_Marks,2,"<p>Henry Dropsy</p>
",inscriptions,Nederlands
a4e271c7-4d78-56ce-948c-6bb47e1cfa14,tg:lhob:580_#1,e22_Marks,2,"<p>POELS ALB. &amp; J. FONSON.</p>
",inscriptions,Nederlands
3cf6c720-3c24-5f9d-ba25-87fe9fb47a45,tg:lhob:612_#1,e22_Marks,2,"<p>E. DE LA CARCOVA.</p>
",inscriptions,Nederlands
