ResourceID,brocade.id,card,order,source_field,source_code,Dimension Source Note
af064b7f-4785-52da-8931-0a6d494be3f0,tg:lhob:598_#1,e22_DimensionSourceNotes,1,kenmerken.lhdiamob,7,"7 - diameter, kenmerken.lhdiamob"
a9db135f-fcb9-543e-a9b6-951f243a8c56,tg:lhob:31_#1,e22_DimensionSourceNotes,1,kenmerken.lhdiamob,"5,2","5,2 - diameter, kenmerken.lhdiamob"
4458173b-b323-50a9-87ad-9bb64eee175c,tg:lhob:588_#1,e22_DimensionSourceNotes,1,kenmerken.lhdiamob,"6,9","6,9 - diameter, kenmerken.lhdiamob"
d0b465cf-d872-547f-8af3-46cd560b0601,tg:lhob:786_#1,e22_DimensionSourceNotes,1,kenmerken/lhformatob.lhformathoob,51,"51 - dimension, kenmerken/lhformatob.lhformathoob"
c3d31831-6aeb-541b-b82d-bc24c2ba29f6,tg:lhob:647_#1,e22_DimensionSourceNotes,1,kenmerken.lhdiamob,"4,7","4,7 - diameter, kenmerken.lhdiamob"
1dfefcd5-0b60-56bf-942f-98778d446111,tg:lhob:657_#1,e22_DimensionSourceNotes,1,kenmerken.lhdiamob,"4,38","4,38 - diameter, kenmerken.lhdiamob"
a7488c17-1c82-5a77-a8e9-f423bc0a029a,tg:lhob:88_#1,e22_DimensionSourceNotes,1,kenmerken.lhdiamob,3,"3 - diameter, kenmerken.lhdiamob"
f3cc5ab0-18a6-5f88-84b6-6db786e2c48b,tg:lhob:521_#1,e22_DimensionSourceNotes,1,kenmerken.lhdiamob,"5,1","5,1 - diameter, kenmerken.lhdiamob"
ab7568ff-5116-55b6-bcee-254b6a3c5c21,tg:lhob:449_#1,e22_DimensionSourceNotes,1,kenmerken.lhdiamob,3,"3 - diameter, kenmerken.lhdiamob"
8c63915e-499b-5981-9dbd-2da6bbf39dee,tg:lhob:531_#1,e22_DimensionSourceNotes,1,kenmerken.lhdiamob,"6,8","6,8 - diameter, kenmerken.lhdiamob"
fd776239-8ab8-575e-8b56-30fe175915c4,tg:lhob:98_#1,e22_DimensionSourceNotes,1,kenmerken/lhformatob.lhformathoob,15,"15 - dimension, kenmerken/lhformatob.lhformathoob"
c1ff9706-bc5a-525f-922c-c6c8207fea87,tg:lhob:374_#1,e22_DimensionSourceNotes,1,kenmerken.lhdiamob,"7 x 4,5 x 4","7 x 4,5 x 4 - diameter, kenmerken.lhdiamob"
1dae78a3-a44c-516b-bfcf-92ee8b1809c0,tg:lhob:364_#1,e22_DimensionSourceNotes,1,kenmerken.lhdiamob,18,"18 - diameter, kenmerken.lhdiamob"
10e5c949-928a-5406-94a8-4d3820342482,tg:lhob:316_#1,e22_DimensionSourceNotes,1,kenmerken.lhdiamob,12,"12 - diameter, kenmerken.lhdiamob"
a90f4eb0-8e73-5800-a1e2-58398c65fa15,tg:lhob:306_#1,e22_DimensionSourceNotes,1,kenmerken.lhdiamob,11,"11 - diameter, kenmerken.lhdiamob"
32083ac4-86da-5e71-a5ee-6316b89f92c1,tg:lhob:543_#1,e22_DimensionSourceNotes,1,kenmerken.lhdiamob,3,"3 - diameter, kenmerken.lhdiamob"
6948f197-4018-52b9-9cee-c5f24218850c,tg:lhob:553_#1,e22_DimensionSourceNotes,1,kenmerken.lhdiamob,5,"5 - diameter, kenmerken.lhdiamob"
acfc415c-1256-54e1-8c28-ea76b012813a,tg:lhob:625_#1,e22_DimensionSourceNotes,1,kenmerken/lhformatob.lhformatbrob,"4,5","4,5 - dimension, kenmerken/lhformatob.lhformatbrob"
acfc415c-1256-54e1-8c28-ea76b012813a,tg:lhob:625_#1,e22_DimensionSourceNotes,1,kenmerken/lhformatob.lhformathoob,"7,5","7,5 - dimension, kenmerken/lhformatob.lhformathoob"
07326bfe-67a7-54d2-8fa9-0c1f23fce01a,tg:lhob:635_#1,e22_DimensionSourceNotes,1,kenmerken/lhformatob.lhformatbrob,"2,4","2,4 - dimension, kenmerken/lhformatob.lhformatbrob"
07326bfe-67a7-54d2-8fa9-0c1f23fce01a,tg:lhob:635_#1,e22_DimensionSourceNotes,1,kenmerken/lhformatob.lhformathoob,"4,5","4,5 - dimension, kenmerken/lhformatob.lhformathoob"
c1379e1f-fd96-5eba-a427-aee483976c29,tg:lhob:118_#1,e22_DimensionSourceNotes,1,kenmerken/lhformatob.lhformatbrob,"12,5","12,5 - dimension, kenmerken/lhformatob.lhformatbrob"
c1379e1f-fd96-5eba-a427-aee483976c29,tg:lhob:118_#1,e22_DimensionSourceNotes,1,kenmerken/lhformatob.lhformathoob,"1,5","1,5 - dimension, kenmerken/lhformatob.lhformathoob"
c1379e1f-fd96-5eba-a427-aee483976c29,tg:lhob:118_#1,e22_DimensionSourceNotes,1,kenmerken/lhformatob.lhformatdiob,"7,5","7,5 - dimension, kenmerken/lhformatob.lhformatdiob"
5762285e-18a0-58ff-ae67-0ea2e8f8eaa7,tg:lhob:233_#1,e22_DimensionSourceNotes,1,kenmerken.lhdiamob,15,"15 - diameter, kenmerken.lhdiamob"
6f3efa92-99f2-5960-9fe7-d472466e8ebc,tg:lhob:223_#1,e22_DimensionSourceNotes,1,kenmerken.lhdiamob,15,"15 - diameter, kenmerken.lhdiamob"
0ef5f528-2fb1-57a9-a345-86ea406ed4f9,tg:lhob:155_#1,e22_DimensionSourceNotes,1,kenmerken.lhdiamob,"4,5","4,5 - diameter, kenmerken.lhdiamob"
0ef5f528-2fb1-57a9-a345-86ea406ed4f9,tg:lhob:155_#1,e22_DimensionSourceNotes,1,kenmerken/lhformatob.lhformathoob,12,"12 - dimension, kenmerken/lhformatob.lhformathoob"
806f657f-60ed-5ede-9e8e-72152dc600a0,tg:lhob:145_#1,e22_DimensionSourceNotes,1,kenmerken/lhformatob.lhformatbrob,"9,6","9,6 - dimension, kenmerken/lhformatob.lhformatbrob"
806f657f-60ed-5ede-9e8e-72152dc600a0,tg:lhob:145_#1,e22_DimensionSourceNotes,1,kenmerken/lhformatob.lhformathoob,"5,3","5,3 - dimension, kenmerken/lhformatob.lhformathoob"
806f657f-60ed-5ede-9e8e-72152dc600a0,tg:lhob:145_#1,e22_DimensionSourceNotes,1,kenmerken/lhformatob.lhformatdiob,5,"5 - dimension, kenmerken/lhformatob.lhformatdiob"
2c18ab0b-af59-5830-b795-044c444e7160,tg:lhob:700_#1,e22_DimensionSourceNotes,1,kenmerken/lhformatob.lhformatbrob,"21,3","21,3 - dimension, kenmerken/lhformatob.lhformatbrob"
2c18ab0b-af59-5830-b795-044c444e7160,tg:lhob:700_#1,e22_DimensionSourceNotes,1,kenmerken/lhformatob.lhformathoob,"4,5","4,5 - dimension, kenmerken/lhformatob.lhformathoob"
