ResourceID,brocade.id,card,source_field,Dimension Value,Dimension Type,Dimension Measurement Unit
af064b7f-4785-52da-8931-0a6d494be3f0,tg:lhob:598_#1,e22_Dimensions,kenmerken.lhdiamob,70,diameter,millimeter
a9db135f-fcb9-543e-a9b6-951f243a8c56,tg:lhob:31_#1,e22_Dimensions,kenmerken.lhdiamob,52,diameter,millimeter
4458173b-b323-50a9-87ad-9bb64eee175c,tg:lhob:588_#1,e22_Dimensions,kenmerken.lhdiamob,69,diameter,millimeter
d0b465cf-d872-547f-8af3-46cd560b0601,tg:lhob:786_#1,e22_Dimensions,kenmerken/lhformatob.lhformathoob,510,hoogte,millimeter
c3d31831-6aeb-541b-b82d-bc24c2ba29f6,tg:lhob:647_#1,e22_Dimensions,kenmerken.lhdiamob,47,diameter,millimeter
1dfefcd5-0b60-56bf-942f-98778d446111,tg:lhob:657_#1,e22_Dimensions,kenmerken.lhdiamob,43,diameter,millimeter
a7488c17-1c82-5a77-a8e9-f423bc0a029a,tg:lhob:88_#1,e22_Dimensions,kenmerken.lhdiamob,30,diameter,millimeter
f3cc5ab0-18a6-5f88-84b6-6db786e2c48b,tg:lhob:521_#1,e22_Dimensions,kenmerken.lhdiamob,51,diameter,millimeter
ab7568ff-5116-55b6-bcee-254b6a3c5c21,tg:lhob:449_#1,e22_Dimensions,kenmerken.lhdiamob,30,diameter,millimeter
8c63915e-499b-5981-9dbd-2da6bbf39dee,tg:lhob:531_#1,e22_Dimensions,kenmerken.lhdiamob,68,diameter,millimeter
fd776239-8ab8-575e-8b56-30fe175915c4,tg:lhob:98_#1,e22_Dimensions,kenmerken/lhformatob.lhformathoob,150,hoogte,millimeter
1dae78a3-a44c-516b-bfcf-92ee8b1809c0,tg:lhob:364_#1,e22_Dimensions,kenmerken.lhdiamob,180,diameter,millimeter
10e5c949-928a-5406-94a8-4d3820342482,tg:lhob:316_#1,e22_Dimensions,kenmerken.lhdiamob,120,diameter,millimeter
a90f4eb0-8e73-5800-a1e2-58398c65fa15,tg:lhob:306_#1,e22_Dimensions,kenmerken.lhdiamob,110,diameter,millimeter
32083ac4-86da-5e71-a5ee-6316b89f92c1,tg:lhob:543_#1,e22_Dimensions,kenmerken.lhdiamob,30,diameter,millimeter
6948f197-4018-52b9-9cee-c5f24218850c,tg:lhob:553_#1,e22_Dimensions,kenmerken.lhdiamob,50,diameter,millimeter
acfc415c-1256-54e1-8c28-ea76b012813a,tg:lhob:625_#1,e22_Dimensions,kenmerken/lhformatob.lhformatbrob,45,breedte,millimeter
acfc415c-1256-54e1-8c28-ea76b012813a,tg:lhob:625_#1,e22_Dimensions,kenmerken/lhformatob.lhformathoob,75,hoogte,millimeter
07326bfe-67a7-54d2-8fa9-0c1f23fce01a,tg:lhob:635_#1,e22_Dimensions,kenmerken/lhformatob.lhformatbrob,24,breedte,millimeter
07326bfe-67a7-54d2-8fa9-0c1f23fce01a,tg:lhob:635_#1,e22_Dimensions,kenmerken/lhformatob.lhformathoob,45,hoogte,millimeter
