ResourceID,brocade.id,card,order,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier
b479dc34-92f2-5b7f-8547-a60f3408d45c,tg:lhsc:891_#1,e22_ProductionActors,2,c47d5c18-0ab6-5160-a169-be25102e040f,au::54747,gt,casters (people),,
4abb3b84-4ce8-57c0-89be-fbf813c2198c,tg:lhsc:1152_#1,e22_ProductionActors,2,c47d5c18-0ab6-5160-a169-be25102e040f,au::54747,gt,casters (people),,
45f0c115-fb65-5cf0-b6df-e2e2076dc07a,tg:lhsc:8060_#1,e22_ProductionActors,3,d060577e-b6e2-50fc-b579-86fb61172fb1,au::3494,op,dedicatees,,
2d425bfb-e0ff-5051-a9d6-ed4b8f7571e1,tg:lhsc:684_#1,e22_ProductionActors,2,c47d5c18-0ab6-5160-a169-be25102e040f,au::54747,gt,casters (people),,
801190b3-4f3c-5fd4-b29c-8636f2b5570b,tg:lhsc:1188_#1,e22_ProductionActors,3,bcf681d1-b67d-5d9b-b815-ebae716e2ad0,au::10134,op,dedicatees,,
99353f2b-b76e-5743-8bed-8c4ca286cea0,tg:lhsc:1312_#1,e22_ProductionActors,2,24051867-3ddb-58b7-b9ad-e9ff61fa38af,au::54809,gt,casters (people),,
71197f9a-eda0-5a48-a603-1aabfdad48e8,tg:lhsc:416_#1,e22_ProductionActors,2,2a158464-3853-5228-bc93-e52fe35e7e9d,au::51240,gt,casters (people),,
68bcea79-5ca1-54bb-934b-bb6c0b2a33eb,tg:lhsc:1060_#1,e22_ProductionActors,2,2a158464-3853-5228-bc93-e52fe35e7e9d,au::51240,gt,casters (people),,
eb8ba2f9-eb7e-510a-b083-64af2fe25558,tg:lhsc:1186_#1,e22_ProductionActors,2,24051867-3ddb-58b7-b9ad-e9ff61fa38af,au::54809,gt,casters (people),,
2969c4f6-c9c1-5e50-b73f-7750f86206bb,tg:lhsc:1196_#1,e22_ProductionActors,2,24051867-3ddb-58b7-b9ad-e9ff61fa38af,au::54809,gt,casters (people),,
f5382260-b465-5498-9172-bee451612853,tg:lhsc:837_#1,e22_ProductionActors,2,85823574-10d3-516e-bc4a-8996d4c5ecc3,au::14387,gt,casters (people),,
86bbe803-b393-5da1-9acc-36d370b272d6,tg:lhsc:1063_#1,e22_ProductionActors,2,24051867-3ddb-58b7-b9ad-e9ff61fa38af,au::54809,gt,casters (people),,
0e9f14e2-703d-58fa-bcb3-dec6df2081f5,tg:lhsc:1011_#1,e22_ProductionActors,3,9cd0903b-46db-5182-a9f6-94a3c0438727,au::20752,op,dedicatees,,
cea297b1-b947-5ea6-8762-b648b9e1eedd,tg:lhsc:1036_#1,e22_ProductionActors,3,756fe14c-35c0-5588-b436-201ea0881a38,au::15416,op,dedicatees,,
4b1430ea-ab26-5deb-9da8-341670f1678a,tg:lhsc:1185_#1,e22_ProductionActors,2,c47d5c18-0ab6-5160-a169-be25102e040f,au::54747,gt,casters (people),,
b284ca15-636a-506f-833a-8e0a656d21fc,tg:lhsc:884_#1,e22_ProductionActors,2,c47d5c18-0ab6-5160-a169-be25102e040f,au::54747,gt,casters (people),,
