ResourceID,brocade.id,card,order,source_field,source_code,Material
c1379e1f-fd96-5eba-a427-aee483976c29,tg:lhob:118_#1,e22_Materials,1,kenmerken/lhmateriaalob.lhmateriaalextraob,vleg,alloy
0ef5f528-2fb1-57a9-a345-86ea406ed4f9,tg:lhob:155_#1,e22_Materials,1,kenmerken/lhmateriaalaanvob.lhmateriaalextraob,vleg,alloy
0ef5f528-2fb1-57a9-a345-86ea406ed4f9,tg:lhob:155_#1,e22_Materials,1,kenmerken/lhmateriaalob.lhmateriaalextraob,vlak,lacquer (material)
f48d13f7-508c-5968-9d62-3fabc6d48ae8,tg:lhob:162_#1,e22_Materials,1,kenmerken/lhmateriaalob.lhmateriaalextraob,vlak,lacquer (material)
6ba0fc35-8584-565a-9850-d75c9ee826f2,tg:lhob:353_#1,e22_Materials,1,kenmerken/lhmateriaalaanvob.lhmateriaalextraob,vleg,alloy
6037badd-179d-5b56-8cee-23cefcf26e1d,tg:lhob:328_#1,e22_Materials,1,kenmerken/lhmateriaalob.lhmateriaalextraob,vleg,alloy
64247c66-52e8-559e-b980-70d4b58807ea,tg:lhob:341_#1,e22_Materials,1,kenmerken/lhmateriaalob.lhmateriaalextraob,vleg,alloy
95cd21f5-45f9-57e8-991b-163fd24ee2e6,tg:lhob:367_#1,e22_Materials,1,kenmerken/lhmateriaalob.lhmateriaalextraob,vleg,alloy
c9f7028e-b57f-563c-9411-f6771a793f3a,tg:lhob:169_#1,e22_Materials,1,kenmerken/lhmateriaalob.lhmateriaalextraob,vleg,alloy
26f7d697-d86c-5c36-974f-7afc73707c20,tg:lhob:156_#1,e22_Materials,1,kenmerken/lhmateriaalaanvob.lhmateriaalextraob,vleg,alloy
26f7d697-d86c-5c36-974f-7afc73707c20,tg:lhob:156_#1,e22_Materials,1,kenmerken/lhmateriaalob.lhmateriaalextraob,vlak,lacquer (material)
4a34ccbb-db21-5a6a-a8e8-5fbf2cf7e22e,tg:lhob:358_#1,e22_Materials,1,kenmerken/lhmateriaalob.lhmateriaalextraob,vleg,alloy
87415ebd-830d-56ca-9d79-bb1c05711b4a,tg:lhob:366_#1,e22_Materials,1,kenmerken/lhmateriaalob.lhmateriaalextraob,vleg,alloy
5a6d5e19-3a61-5846-ae97-c2cd9c62d0b1,tg:lhob:147_#1,e22_Materials,1,kenmerken/lhmateriaalaanvob.lhmateriaalextraob,vleg,alloy
5a6d5e19-3a61-5846-ae97-c2cd9c62d0b1,tg:lhob:147_#1,e22_Materials,1,kenmerken/lhmateriaalob.lhmateriaalextraob,vlak,lacquer (material)
27932fa3-110c-5323-a1c6-5009f581f87b,tg:lhob:157_#1,e22_Materials,1,kenmerken/lhmateriaalaanvob.lhmateriaalextraob,vleg,alloy
27932fa3-110c-5323-a1c6-5009f581f87b,tg:lhob:157_#1,e22_Materials,1,kenmerken/lhmateriaalob.lhmateriaalextraob,vlak,lacquer (material)
3ae5f281-65a9-50a2-b31e-74bce1f87a4f,tg:lhob:139_#1,e22_Materials,1,kenmerken/lhmateriaalob.lhmateriaalextraob,vlak,lacquer (material)
e31d594e-8605-5a22-97a9-c50963862e39,tg:lhob:174_#1,e22_Materials,1,kenmerken/lhmateriaalob.lhmateriaalextraob,vleg,alloy
574f26aa-4bde-575b-adc2-a5db8dd99508,tg:lhob:164_#1,e22_Materials,1,kenmerken/lhmateriaalob.lhmateriaalextraob,vlak,lacquer (material)
0dd16c95-171b-5e1f-9fd6-90216fa243be,tg:lhob:152_#1,e22_Materials,1,kenmerken/lhmateriaalaanvob.lhmateriaalextraob,vleg,alloy
def491f2-89c0-55e2-a5b6-6dc808a8579a,tg:lhob:363_#1,e22_Materials,1,kenmerken/lhmateriaalob.lhmateriaalextraob,vleg,alloy
044c796b-3a23-5835-83fe-f6df9dc555bb,tg:lhob:153_#1,e22_Materials,1,kenmerken/lhmateriaalaanvob.lhmateriaalextraob,vlak,lacquer (material)
044c796b-3a23-5835-83fe-f6df9dc555bb,tg:lhob:153_#1,e22_Materials,1,kenmerken/lhmateriaalob.lhmateriaalextraob,vlak,lacquer (material)
ac5e49ad-f8e1-5240-b77b-101662ba32d4,tg:lhob:372_#1,e22_Materials,1,kenmerken/lhmateriaalob.lhmateriaalextraob,vleg,alloy
4bcaa80e-20d5-5c41-9a37-20d40300795d,tg:lhob:344_#1,e22_Materials,1,kenmerken/lhmateriaalob.lhmateriaalextraob,vleg,alloy
ad0e7aa5-b9a6-5fd4-bbfd-97f4265f68bf,tg:lhob:138_#1,e22_Materials,1,kenmerken/lhmateriaalob.lhmateriaalextraob,vlak,lacquer (material)
aeed77d8-072c-5332-995f-e7fb0931a0bb,tg:lhob:336_#1,e22_Materials,1,kenmerken/lhmateriaalob.lhmateriaalextraob,vleg,alloy
d425e353-9661-56bd-8e08-c23785a02c33,tg:lhob:175_#1,e22_Materials,1,kenmerken/lhmateriaalob.lhmateriaalextraob,vlak,lacquer (material)
2f03d4b9-ad0a-54ea-97da-6477249e5ef9,tg:lhob:151_#1,e22_Materials,1,kenmerken/lhmateriaalaanvob.lhmateriaalextraob,vleg,alloy
2f03d4b9-ad0a-54ea-97da-6477249e5ef9,tg:lhob:151_#1,e22_Materials,1,kenmerken/lhmateriaalob.lhmateriaalextraob,vlak,lacquer (material)
7a89a026-42ac-5c93-9b30-82b11b573608,tg:lhob:302_#1,e22_Materials,1,kenmerken/lhmateriaalaanvob.lhmateriaalextraob,vlak,lacquer (material)
1deab829-be24-5416-9554-b64c3968e610,tg:lhob:148_#1,e22_Materials,1,kenmerken/lhmateriaalaanvob.lhmateriaalextraob,vleg,alloy
1deab829-be24-5416-9554-b64c3968e610,tg:lhob:148_#1,e22_Materials,1,kenmerken/lhmateriaalob.lhmateriaalextraob,vlak,lacquer (material)
d226ba69-71b1-51fc-8838-b5d8568af8c8,tg:lhob:158_#1,e22_Materials,1,kenmerken/lhmateriaalob.lhmateriaalextraob,vlak,lacquer (material)
9cd6e2b4-6e79-5797-b415-02cf2a1b139a,tg:lhob:356_#1,e22_Materials,1,kenmerken/lhmateriaalob.lhmateriaalextraob,vleg,alloy
757153ef-d98f-5a39-84ce-2ff7fa5ec58e,tg:lhob:335_#1,e22_Materials,1,kenmerken/lhmateriaalob.lhmateriaalextraob,vleg,alloy
004cf8c9-09a9-5b07-b2cf-23ed8a451825,tg:lhob:159_#1,e22_Materials,1,kenmerken/lhmateriaalaanvob.lhmateriaalextraob,vleg,alloy
004cf8c9-09a9-5b07-b2cf-23ed8a451825,tg:lhob:159_#1,e22_Materials,1,kenmerken/lhmateriaalob.lhmateriaalextraob,vlak,lacquer (material)
935e7181-928e-54fe-ba21-f66046a0b04d,tg:lhob:149_#1,e22_Materials,1,kenmerken/lhmateriaalaanvob.lhmateriaalextraob,vleg,alloy
935e7181-928e-54fe-ba21-f66046a0b04d,tg:lhob:149_#1,e22_Materials,1,kenmerken/lhmateriaalob.lhmateriaalextraob,vlak,lacquer (material)
58060920-1dff-528a-8f89-90ece15616f2,tg:lhob:368_#1,e22_Materials,1,kenmerken/lhmateriaalob.lhmateriaalextraob,vleg,alloy
be355ae8-235b-572c-bf64-2b536f2f765f,tg:lhob:140_#1,e22_Materials,1,kenmerken/lhmateriaalob.lhmateriaalextraob,vlak,lacquer (material)
b1ee8fbd-d85b-5786-b04b-12904d1a4d87,tg:lhob:150_#1,e22_Materials,1,kenmerken/lhmateriaalaanvob.lhmateriaalextraob,vleg,alloy
b1ee8fbd-d85b-5786-b04b-12904d1a4d87,tg:lhob:150_#1,e22_Materials,1,kenmerken/lhmateriaalob.lhmateriaalextraob,vlak,lacquer (material)
