ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type
5ed045c7-9197-587a-8b83-a9fc7c64bf51,tg:lhob:414,e73_AnnotationsImmaterial,2,note.lhalg,"<p>Antwerpen (Wereldoorlog I)</p>
","<p>Antwerpen (Wereldoorlog I)</p>
",Nederlands,remarks
1c70cb59-17bd-520b-ab0e-5aee93e5e48a,tg:lhob:603,e73_AnnotationsImmaterial,2,note.lhalg,"<p>CARL DE COCK &amp; FISCH</p>
","<p>CARL DE COCK &amp; FISCH</p>
",Nederlands,remarks
cf8d332e-0a5d-549f-b5b1-0cc78da2487d,tg:lhob:507,e73_AnnotationsImmaterial,1,note.lhalg,"<p>Houtblok voor druk van exlibris van au::5711.</p>
","<p>Houtblok voor druk van exlibris van au::5711.</p>
",Nederlands,remarks
2357f3bd-b04c-56e2-9590-1601a2d0c2cf,tg:lhob:282,e73_AnnotationsImmaterial,1,note.lhalg,"<p>In drie losse delen. Eén verbinding werd reeds verstevigd met plakband maar komt opnieuw los.</p>
","<p>In drie losse delen. Eén verbinding werd reeds verstevigd met plakband maar komt opnieuw los.</p>
",Nederlands,remarks
0847d133-0ada-5261-bee0-1f179bc0f263,tg:lhob:516,e73_AnnotationsImmaterial,3,note.lhalg,"<p>De derde Koninklijke Beker Landjuweel kwam in 1929 in het bezit van de vereniging 'De Kunstvrienden' dankzij twee opeenvolgende overwinningen. Gustaaf Tits, acteur in verschillende toneelverenigingen en zoon van Guillaume Tits die jarenlang betrokken was bij de Borgerhoutse vereniging, ontving de beker toen 'De Kunstvrienden' ophield te bestaan.</p>
","<p>De derde Koninklijke Beker Landjuweel kwam in 1929 in het bezit van de vereniging 'De Kunstvrienden' dankzij twee opeenvolgende overwinningen. Gustaaf Tits, acteur in verschillende toneelverenigingen en zoon van Guillaume Tits die jarenlang betrokken was bij de Borgerhoutse vereniging, ontving de beker toen 'De Kunstvrienden' ophield te bestaan.</p>
",Nederlands,remarks
44e552c6-c31f-5bd1-99c9-0b205cec829e,tg:lhob:656,e73_AnnotationsImmaterial,2,note.lhalg,"<p>ED. GRIELENS.</p>
","<p>ED. GRIELENS.</p>
",Nederlands,remarks
19600697-f95a-5b14-96c8-9790701ce3b8,tg:lhob:763,e73_AnnotationsImmaterial,1,note.lhalg,"<p>Bij de poppen zitten er twee handgeschreven nota's:</p>
<p>1.: <em>Lief Moesje, deze zes hazenkindertjes wuiven u voor dit nieuwe jaar een einder open en vormen mijn schamele bijdrage om rond Paschen uw uitstalraam te versieren. (De rugzakjes zal ik later maken, had nu geen tijd meer. Met innigste omhelzing en nieuwjaarswens! De hazenfabrikant’</em></p>
<p>2.: <em>Bij de ballade der hazen!</em></p>
","<p>Bij de poppen zitten er twee handgeschreven nota's:</p>
<p>1.: <em>Lief Moesje, deze zes hazenkindertjes wuiven u voor dit nieuwe jaar een einder open en vormen mijn schamele bijdrage om rond Paschen uw uitstalraam te versieren. (De rugzakjes zal ik later maken, had nu geen tijd meer. Met innigste omhelzing en nieuwjaarswens! De hazenfabrikant’</em></p>
<p>2.: <em>Bij de ballade der hazen!</em></p>
",Nederlands,remarks
261373ab-9582-5215-8c8f-5ddc774996bc,tg:lhob:514,e73_AnnotationsImmaterial,1,note.lhalg,"<p><em>Wortel</em> uit verzameling 'Wortels', 2e reeks, 5 zwart-wit etsen met originele penseeltekeningen.</p>
<ul>
<li>geproduceerd onder andere op prospectus tentoonstelling van Frans Dille in Patati, Vlassenbroek (Dendermonde, 1967).</li>
</ul>
","<p><em>Wortel</em> uit verzameling 'Wortels', 2e reeks, 5 zwart-wit etsen met originele penseeltekeningen.</p>
<ul>
<li>geproduceerd onder andere op prospectus tentoonstelling van Frans Dille in Patati, Vlassenbroek (Dendermonde, 1967).</li>
</ul>
",Nederlands,remarks
ce038521-d455-5879-b25d-78618c348e39,tg:lhob:703,e73_AnnotationsImmaterial,1,note.lhalg,"<p>Kerkhofscène met glasramen, klok en skeletten. Enkelvoudige geschilderde schuifplaat gemonteerd in een houten frame. Op het frame werd in potlood ‘Cimetière N° 2’ geschreven.<br />
Afmetingen glasplaat: 7,2 x 7  cm<br />
Het houten frame met voet heeft de afmetingen 22,8 x 13 cm.</p>
","<p>Kerkhofscène met glasramen, klok en skeletten. Enkelvoudige geschilderde schuifplaat gemonteerd in een houten frame. Op het frame werd in potlood ‘Cimetière N° 2’ geschreven.<br />
Afmetingen glasplaat: 7,2 x 7  cm<br />
Het houten frame met voet heeft de afmetingen 22,8 x 13 cm.</p>
",Nederlands,remarks
39db8cd6-f2b9-56b7-9799-37bb42b8cd9e,tg:lhob:655,e73_AnnotationsImmaterial,2,note.lhalg,"<p>ED. GRIELENS.</p>
","<p>ED. GRIELENS.</p>
",Nederlands,remarks
6331e3ce-4997-552b-8d9a-bd41b6fdf8a3,tg:lhob:712,e73_AnnotationsImmaterial,1,note.lhalg,"<p>Schrijfmachine in koffer</p>
","<p>Schrijfmachine in koffer</p>
",Nederlands,remarks
36e94dc1-bef1-545b-81e5-8d4f46947634,tg:lhob:702,e73_AnnotationsImmaterial,1,note.lhalg,"<p>Kerkhofscène. Enkelvoudige geschilderde hefboomplaat. De hefboom ontbreekt. Op het frame werd in potlood ‘Cimetière’ geschreven. Een van de glasplaten is gebarsten<br />
Diameter glasplaat: 9 cm<br />
Het houten frame met voet heeft de afmetingen 22,3 x 13 cm.</p>
","<p>Kerkhofscène. Enkelvoudige geschilderde hefboomplaat. De hefboom ontbreekt. Op het frame werd in potlood ‘Cimetière’ geschreven. Een van de glasplaten is gebarsten<br />
Diameter glasplaat: 9 cm<br />
Het houten frame met voet heeft de afmetingen 22,3 x 13 cm.</p>
",Nederlands,remarks
b07fea49-9c66-5452-82d8-fa8ae8753072,tg:lhob:687,e73_AnnotationsImmaterial,2,note.lhalg,"<p>Pomonis, G.</p>
","<p>Pomonis, G.</p>
",Nederlands,remarks
04a4714b-c046-54a0-afcc-26d6a4ce1d67,tg:lhob:765,e73_AnnotationsImmaterial,2,note.lhalg,"<p>Uit permanente opstelling, april 2022</p>
","<p>Uit permanente opstelling, april 2022</p>
",Nederlands,remarks
