brocade.id,dams_uuid,ResourceID,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
tg:lhob:211_#1,QqKYJcVaekXTjpYpkZCLqNkR,6f977285-9702-58d8-9eb6-23ff023e0103,lhob,https://dams.antwerpen.be/iiif/QqKYJcVaekXTjpYpkZCLqNkR/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/QqKYJcVaekXTjpYpkZCLqNkR,DAMS Image,lh,Object
tg:lhob:23_#1,G2hTkSaliQWdNMPsgRREN4dn,29b3d20c-5bdb-5c73-9d4f-92c6365fd28a,lhob,https://dams.antwerpen.be/iiif/G2hTkSaliQWdNMPsgRREN4dn/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/G2hTkSaliQWdNMPsgRREN4dn,DAMS Image,lh,Object
tg:lhob:25_#1,s2cjRVlPSWTUkiVwQd7ENCoG,a1af268d-7c6b-516d-bd1f-b7d08e1b0e51,lhob,https://dams.antwerpen.be/iiif/s2cjRVlPSWTUkiVwQd7ENCoG/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/s2cjRVlPSWTUkiVwQd7ENCoG,DAMS Image,lh,Object
tg:lhob:407_#1,dPMXbLWSNIWjvVoUCm9lWgxe,1e371b37-7914-5599-bc82-c26b7aa4be4c,lhob,https://dams.antwerpen.be/iiif/dPMXbLWSNIWjvVoUCm9lWgxe/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/dPMXbLWSNIWjvVoUCm9lWgxe,DAMS Image,lh,Object
tg:lhob:42_#1,xVGIBVhUJRCQEWallpae6V05,88a347c9-d256-5249-b4ee-f500923f989c,lhob,https://dams.antwerpen.be/iiif/xVGIBVhUJRCQEWallpae6V05/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/xVGIBVhUJRCQEWallpae6V05,DAMS Image,lh,Object
tg:lhob:43_#1,p2NSVLKkNsSNPX8PUxG6tk7S,a71a6d48-5ba4-5c04-9c6c-0cf9a70b9dc4,lhob,https://dams.antwerpen.be/iiif/p2NSVLKkNsSNPX8PUxG6tk7S/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/p2NSVLKkNsSNPX8PUxG6tk7S,DAMS Image,lh,Object
tg:lhob:436_#1,m2jGQSYkHTYIK8OaGiuO663g,478d1e3e-6e71-5f67-8169-ea6c8414550f,lhob,https://dams.antwerpen.be/iiif/m2jGQSYkHTYIK8OaGiuO663g/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/m2jGQSYkHTYIK8OaGiuO663g,DAMS Image,lh,Object
tg:lhob:437_#1,PLighZoRRqYLfUYHDEQMhoK7,26d16a40-0215-5bbd-a135-d96782d1fbe8,lhob,https://dams.antwerpen.be/iiif/PLighZoRRqYLfUYHDEQMhoK7/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/PLighZoRRqYLfUYHDEQMhoK7,DAMS Image,lh,Object
tg:lhob:438_#1,kecRPMISC2iLXeLUdnjCbibs,7a2466a0-ee36-5d60-84bf-765a9af2d045,lhob,https://dams.antwerpen.be/iiif/kecRPMISC2iLXeLUdnjCbibs/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/kecRPMISC2iLXeLUdnjCbibs,DAMS Image,lh,Object
tg:lhob:44_#1,N2QMU5RTjYPUJZLLDjxxV4yT,e245e844-5d47-5300-aa6f-4df14fb0b77d,lhob,https://dams.antwerpen.be/iiif/N2QMU5RTjYPUJZLLDjxxV4yT/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/N2QMU5RTjYPUJZLLDjxxV4yT,DAMS Image,lh,Object
