ResourceID,brocade.id,card,order,source_field,Creation Time Span Source Note
cd54c091-7319-5f1b-be7b-7f125c03b86b,tg:lhob:598,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,19780000
e6d5ea11-0a81-54c5-90f8-56da1f9621e4,tg:lhob:31,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,18860000
e9d37355-8a66-5db9-8713-60f291784aca,tg:lhob:588,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,19750000
9fe0854f-f686-5bb9-955e-7bbd13058140,tg:lhob:647,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,18710000
7f9aef31-a0d4-532d-8121-75b18dda09df,tg:lhob:657,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,18970000
845c0e30-9370-5f69-b807-060165902df0,tg:lhob:88,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,18700000
5a6dff4c-165a-5847-8442-0d713c84e54f,tg:lhob:521,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,19230000
ec260e66-10ae-5dfc-b2b5-32ec41e3a995,tg:lhob:449,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,19140000
988e58f0-2a23-557a-b93b-8232a458f1fb,tg:lhob:531,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,19340000
a319e252-eb18-5a27-80bb-fa2132d48bf9,tg:lhob:98,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,19400000
e183894d-04ce-5c3f-8300-1f4b0e083f34,tg:lhob:374,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,19830000
9e71c1b2-d30c-5f1d-8c34-7709c2cd15de,tg:lhob:364,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,19860000
c28664a6-cbde-50f1-8a4c-14a572bbc3b3,tg:lhob:316,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,19530000
5c05dc28-3f90-51ed-9553-7ae652309d48,tg:lhob:306,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,19520000
cc7f678f-83c3-5387-a060-74aa9df5278f,tg:lhob:543,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,19580000
b5714f50-9ce1-55a7-a857-8d0d261f8701,tg:lhob:553,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,19680000
fa1c69db-2ee0-5b8f-b6b8-cb3bc069ffbd,tg:lhob:625,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,19300000
