ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
a998c9c9-6a56-5f6c-bd5f-261ab93cdc1f,tg:lhbr:293544,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:293544,record identifiers,https://data.letterenhuis.be/ark:/24970/a998c9c9-6a56-5f6c-bd5f-261ab93cdc1f,object identifier,Brieven,,,,,,
a998c9c9-6a56-5f6c-bd5f-261ab93cdc1f,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""a6086d93-810a-45ae-9f82-7854ff7632e0"", ""ontologyProperty"": """", ""resourceXresourceId"": ""3f5fbf49-e450-42d6-96e6-a9cf41472787"", ""inverseOntologyProperty"": """"}]"
a998c9c9-6a56-5f6c-bd5f-261ab93cdc1f,tg:lhbr:293544,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1911.0,2026,In Copyright,
a998c9c9-6a56-5f6c-bd5f-261ab93cdc1f,tg:lhbr:293544,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19110000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a998c9c9-6a56-5f6c-bd5f-261ab93cdc1f,tg:lhbr:293544,e73_CreationTimeSpanSourceNotes,1,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,19130000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a998c9c9-6a56-5f6c-bd5f-261ab93cdc1f,tg:lhbr:293544,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,1911,1913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a998c9c9-6a56-5f6c-bd5f-261ab93cdc1f,tg:lhbr:293544,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Uit bundel gedemonteerde stukken. Briefwisseling en doc. Rooses - Charles Brunner</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,
a998c9c9-6a56-5f6c-bd5f-261ab93cdc1f,tg:lhbr:293544,e73_Languages,1,kenmerken.lhlanguagehs,fre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,French (language),,,,,,,,,,,,,,,,,,
a998c9c9-6a56-5f6c-bd5f-261ab93cdc1f,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000281985,referentienummer,False,,,,,,,,,,,,,,,
a998c9c9-6a56-5f6c-bd5f-261ab93cdc1f,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:293544,brocade id,False,,,,,,,,,,,,,,,
a998c9c9-6a56-5f6c-bd5f-261ab93cdc1f,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:293544/N,brocade url,False,,,,,,,,,,,,,,,
a998c9c9-6a56-5f6c-bd5f-261ab93cdc1f,tg:lhbr:293544,e73_LegacyInformationMerged,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21 brgr,groepsbeschrijving,False,21,brgr,,,,,,,,,,,,,
a998c9c9-6a56-5f6c-bd5f-261ab93cdc1f,tg:lhbr:293544,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""47f96b2a-13af-5473-91bf-ab42b18a6092"", ""ontologyProperty"": """", ""resourceXresourceId"": ""d0a6ce66-c1f6-435d-a5d5-50b4483ada48"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
a998c9c9-6a56-5f6c-bd5f-261ab93cdc1f,tg:lhbr:293544,e73_Titles,,,au::16015,,,,lhbr,lhbr,Brief,56c4f5b5-a245-5b8b-9f2d-8fda56444c9f,co,,au::16015:1,au::16015g:1,,,,au_code,recipients (people),,"dlod={""suggest"":[""/agents/people/1713605"",""au::16015"",""au::16015:1"",""ark:/83110/x0/56c4f5b5-a245-5b8b-9f2d-8fda56444c9f"",""Max Rooses"",""ark:/83110/x0/51613450-90e9-5f04-ac63-7c225e68fbeb""],""name"":""Max Rooses"",""ark"":""ark:/83110/x0/51613450-90e9-5f04-ac63-7c225e68fbeb"",""uri"":""/agents/people/1713605"",""id"":""au::16015:1"",""resourceArk"":""ark:/83110/x0/56c4f5b5-a245-5b8b-9f2d-8fda56444c9f"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/56c4f5b5-a245-5b8b-9f2d-8fda56444c9f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
