ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,number,type,Material Records,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,source_date,Copyright Revision Date,Copyright Type,Transactions
af178681-b9bf-5168-8488-954ca369ddcd,tg:lhbr:239994,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:239994,record identifiers,https://data.letterenhuis.be/ark:/24970/af178681-b9bf-5168-8488-954ca369ddcd,object identifier,Brieven,,,,,,
af178681-b9bf-5168-8488-954ca369ddcd,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""dffb9143-35eb-4cda-9051-21f5aa5ddee0"", ""ontologyProperty"": """", ""resourceXresourceId"": ""b8764d29-4c26-493b-b869-1544ee7511bb"", ""inverseOntologyProperty"": """"}]"
af178681-b9bf-5168-8488-954ca369ddcd,tg:lhbr:239994,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,Copyright Undetermined,
af178681-b9bf-5168-8488-954ca369ddcd,tg:lhbr:239994,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
af178681-b9bf-5168-8488-954ca369ddcd,tg:lhbr:239994,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,zonder datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
af178681-b9bf-5168-8488-954ca369ddcd,tg:lhbr:239994,e73_Languages,1,kenmerken.lhlanguagehs,fre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,French (language),,,,,,,,,,,,,,,,,,
af178681-b9bf-5168-8488-954ca369ddcd,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/br/000229026,referentienummer,False,,,,,,,,,,,,,,,
af178681-b9bf-5168-8488-954ca369ddcd,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhbr:239994,brocade id,False,,,,,,,,,,,,,,,
af178681-b9bf-5168-8488-954ca369ddcd,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhbr:239994/N,brocade url,False,,,,,,,,,,,,,,,
af178681-b9bf-5168-8488-954ca369ddcd,tg:lhbr:239994,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""e8e5e7d8-afc9-542f-ba05-5d5bd81d3a32"", ""ontologyProperty"": """", ""resourceXresourceId"": ""8d22e37d-a974-40b3-a916-e0860c7797f3"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
af178681-b9bf-5168-8488-954ca369ddcd,tg:lhbr:239994,e73_Titles,,,au::30613,,,,lhbr,lhbr,Brief,35d5b309-d220-5c63-8a2e-b98dc51e9ba1,bs,,au::30613:1,au::30613g:1,,,,au_code,correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/3275591"",""au::30613"",""au::30613:1"",""ark:/83110/x0/35d5b309-d220-5c63-8a2e-b98dc51e9ba1"",""Victor Gantier"",""ark:/83110/x0/4117bffd-5444-55d9-8ea2-f4de34b7ba3b""],""name"":""Victor Gantier"",""ark"":""ark:/83110/x0/4117bffd-5444-55d9-8ea2-f4de34b7ba3b"",""uri"":""/agents/people/3275591"",""id"":""au::30613:1"",""resourceArk"":""ark:/83110/x0/35d5b309-d220-5c63-8a2e-b98dc51e9ba1"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/35d5b309-d220-5c63-8a2e-b98dc51e9ba1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
af178681-b9bf-5168-8488-954ca369ddcd,tg:lhbr:239994,e73_Titles,,,au::4333,,,,lhbr,lhbr,Brief,ebd00cc4-2119-5474-b6ef-42b56014bfd9,co,,au::4333:1,au::4333g:1,,,,au_code,recipients (people),,"dlod={""suggest"":[""/agents/people/463631"",""au::4333"",""au::4333:1"",""ark:/83110/x0/ebd00cc4-2119-5474-b6ef-42b56014bfd9"",""Hendrik Conscience"",""ark:/83110/x0/48f132f6-82a1-5796-9149-1daf61254f47""],""name"":""Hendrik Conscience"",""ark"":""ark:/83110/x0/48f132f6-82a1-5796-9149-1daf61254f47"",""uri"":""/agents/people/463631"",""id"":""au::4333:1"",""resourceArk"":""ark:/83110/x0/ebd00cc4-2119-5474-b6ef-42b56014bfd9"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/ebd00cc4-2119-5474-b6ef-42b56014bfd9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
