ResourceID,brocade.id,card,order,carrier_type_source_field,Carrier Type
d2d82227-ef8c-531a-9102-bba5b4c895a2,tg:lhps:32619_#1,e22_Carrier,1,kenmerken.lhdragerps,canvas (textile material)
9dc44903-80e8-5ce4-bd60-b162b4bc50b2,tg:lhps:33313_#1,e22_Carrier,1,kenmerken.lhdragerps,canvas (textile material)
b6f78f7d-ae80-5bb8-b99e-4191ab769281,tg:lhps:32771_#1,e22_Carrier,1,kenmerken.lhdragerps,canvas (textile material)
998c4623-ad15-5189-a9e4-6b8fb28ebba1,tg:lhps:34345_#1,e22_Carrier,1,kenmerken.lhdragerps,canvas (textile material)
d346cd0b-5d2c-5a29-8088-d2293d85ac29,tg:lhps:36525_#1,e22_Carrier,1,kenmerken.lhdragerps,canvas (textile material)
7cf1cc48-f5aa-5f8a-b1e2-fff3cd8ef837,tg:lhps:32609_#1,e22_Carrier,1,kenmerken.lhdragerps,canvas (textile material)
522f6412-ed81-519a-a060-326f05f2ac65,tg:lhps:32134_#1,e22_Carrier,1,kenmerken.lhdragerps,canvas (textile material)
00602213-f6a6-511b-813f-0edd62f816e0,tg:lhps:34478_#1,e22_Carrier,1,kenmerken.lhdragerps,canvas (textile material)
7cd1f63b-345b-5bb1-8d8a-62c1f1542434,tg:lhps:33546_#1,e22_Carrier,1,kenmerken.lhdragerps,canvas (textile material)
f82b7268-e2b2-5251-a99c-a8f2ac926d4f,tg:lhps:34500_#1,e22_Carrier,1,kenmerken.lhdragerps,canvas (textile material)
d95e9338-2f83-5f5e-9349-9a54b620d881,tg:lhps:34468_#1,e22_Carrier,1,kenmerken.lhdragerps,canvas (textile material)
dcaef6f2-031d-594d-996a-957d9a677f80,tg:lhps:32124_#1,e22_Carrier,1,kenmerken.lhdragerps,canvas (textile material)
80316631-1618-5e3f-b1cf-dd992792352f,tg:lhps:34510_#1,e22_Carrier,1,kenmerken.lhdragerps,canvas (textile material)
e53a63ec-9b38-5639-93a7-7d288380c3d0,tg:lhps:45099_#1,e22_Carrier,1,kenmerken.lhdragerps,canvas (textile material)
76aa9220-7ca5-5c6c-90f4-f783b59c3c84,tg:lhps:33556_#1,e22_Carrier,1,kenmerken.lhdragerps,canvas (textile material)
0207ab1c-dbd3-5b51-9fb4-790e11ff1479,tg:lhps:33620_#1,e22_Carrier,1,kenmerken.lhdragerps,canvas (textile material)
7c9e045c-27b4-5427-9a9b-d5219f6e0871,tg:lhps:32242_#1,e22_Carrier,1,kenmerken.lhdragerps,canvas (textile material)
5b013ee2-0079-5d3d-b1ae-72bc7038d2b1,tg:lhps:33630_#1,e22_Carrier,1,kenmerken.lhdragerps,canvas (textile material)
