ResourceID,brocade.id,card,order,source_field,Description,Description Type,Description Language,Keyword,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Other Identifier,Other Identifier Type,Title,Title Type,Title Language,Keeper,Object Number,Object Identifier,Record Type,Transactions
f579cbab-2d7c-5b36-934e-c1f49eb18929,tg:rubgr:48,AA,0,,,,,,,,,,,,,,,Rubenianum,tg:rubgr:48,https://data.rubenianum.be//ark:/86530/f579cbab-2d7c-5b36-934e-c1f49eb18929,Prenten,
f579cbab-2d7c-5b36-934e-c1f49eb18929,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""c62c152c-5a4b-496e-9522-d2fb7cfbafda"", ""ontologyProperty"": """", ""resourceXresourceId"": ""122ca1a7-4f32-4225-9ed7-fc2ac5908451"", ""inverseOntologyProperty"": """"}]"
f579cbab-2d7c-5b36-934e-c1f49eb18929,tg:rubgr:48,e73_Descriptions,,id.desc,"P. Buttats Junoir fecit, 97 Peeter Brugel. [Portret van Pieter Bruegel door Philibert Bouttats, KB S. I/ 8093; Idem, Philibert Bouttats de Jonge, buste ¾ naar links in een medaillon, burijngravure, Pl. (97) uit: ‘Images de divers hommes d’esprit sublime…’, Anvers,  Jean Meyssens, 1649. Cp.V.S.tI., p. 196, nr. 210d, zie Theodoor Galle, ‘Illustrum… pictorum effigies’, KBR Impr. II 53828]",descriptive note,Nederlands,,,,,,,,,,,,,,,
f579cbab-2d7c-5b36-934e-c1f49eb18929,tg:rubgr:48,e73_Keywords,1,kenmerken.rubkeyword,,,,"Bouttats, Filibert (II)",,,,,,,,,,,,,,
f579cbab-2d7c-5b36-934e-c1f49eb18929,tg:rubgr:48,e73_Keywords,2,kenmerken.rubkeyword,,,,"Galle, Theodoor",,,,,,,,,,,,,,
f579cbab-2d7c-5b36-934e-c1f49eb18929,tg:rubgr:48,e73_Keywords,3,kenmerken.rubkeyword,,,,"Meyssens, Joannes",,,,,,,,,,,,,,
f579cbab-2d7c-5b36-934e-c1f49eb18929,,e73_LegacyInformation,0,id.objectNumber,,,,,BE-ANN14/gr/000000048,referentienummer,False,,,,,,,,,,,
f579cbab-2d7c-5b36-934e-c1f49eb18929,,e73_LegacyInformation,1,if.rawcontent,,,,,"<record>
			<priref>2288</priref>
			<number>AFG_001_048</number>
			<content>P. Buttats Junoir fecit, 97 Peeter Brugel. [Portret van Pieter Bruegel door Philibert Bouttats, KB S. I/ 8093; Idem, Philibert Bouttats de Jonge, buste &#190; naar links in een medaillon, burijngravure, Pl. (97) uit: &#8216;Images de divers hommes d&#8217;esprit sublime&#8230;&#8217;, Anvers,  Jean Meyssens, 1649. Cp.V.S.tI., p. 196, nr. 210d, zie Theodoor Galle, &#8216;Illustrum&#8230; pictorum effigies&#8217;, KBR Impr. II 53828]</content>
			<object.object_number>AFG_001</object.object_number>
			<object.object_name>schilderij</object.object_name>
			<class>AFG</class>
			<editorial_form>gravure</editorial_form>
			<object.title>Landscape with Christ appearing to the apostles at the sea of Tiberias</object.title>
			<keyword>Bouttats, Filibert (II)</keyword>
			<keyword>Galle, Theodoor</keyword>
			<keyword>Meyssens, Joannes</keyword>
			<object.creator>Bruegel, Pieter I</object.creator>
			<input.date>2011-08-16</input.date>
			<edit.date>2011-10-25</edit.date>
			<edit.date>2011-10-25</edit.date>
			<edit.date>2011-09-01</edit.date>
			<edit.date>2011-08-31</edit.date>
			<edit.date>2011-08-18</edit.date>
			<edit.date>2011-08-18</edit.date>
			<edit.date>2011-08-17</edit.date>
			<edit.date>2011-08-16</edit.date>
			<input.name>valkeneers</input.name>
			<edit.name>valkeneers</edit.name>
			<edit.name>valkeneers</edit.name>
			<edit.name>valkeneers</edit.name>
			<edit.name>valkeneers</edit.name>
			<edit.name>valkeneers</edit.name>
			<edit.name>valkeneers</edit.name>
			<edit.name>valkeneers</edit.name>
			<edit.name>valkeneers</edit.name>
			<edit.time>14:51:18</edit.time>
			<edit.time>14:50:50</edit.time>
			<edit.time>09:51:10</edit.time>
			<edit.time>09:47:31</edit.time>
			<edit.time>15:31:31</edit.time>
			<edit.time>15:28:11</edit.time>
			<edit.time>09:53:39</edit.time>
			<edit.time>13:16:35</edit.time>
			<input.time>13:11:17</input.time>
			<input.source>archive</input.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
		</record>
		
",commentaar gebruiker,False,,,,,,,,,,,
f579cbab-2d7c-5b36-934e-c1f49eb18929,,e73_LegacyInformation,1,brocade.id,,,,,tg:rubgr:48,brocade id,False,,,,,,,,,,,
f579cbab-2d7c-5b36-934e-c1f49eb18929,,e73_LegacyInformation,1,brocade.url,,,,,https://anet.be/record/opacrubobj/tg:rubgr:48/N,brocade url,False,,,,,,,,,,,
