ResourceID,brocade.id,museum,dataset,resource_model,card,ire.isaar.uuid,source_ire_type,Original Entity Type,source_code,au_code,g_code,Original Entity Note,Original Entity Widget,Original Entity Identifier,matched on
2810c6b7-d599-5a48-a38b-814476bfbf8a,tg:mpmdc:21,mpm,mpmdc,Tekstdrager,e73_Titles,e1f4eb1d-708e-52f6-8008-a937c1ed2fcd,vb,keywords,au::106909,au::106909:1,au::106909g:1,,"dlod={""suggest"":[""/agents/people/11439263"",""au::106909"",""au::106909:1"",""ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd"",""Balthasar II Moretus"",""ark:/83110/x0/dfea6e0e-0c5b-5fcf-96d5-591d96aca072""],""name"":""Balthasar II Moretus"",""ark"":""ark:/83110/x0/dfea6e0e-0c5b-5fcf-96d5-591d96aca072"",""uri"":""/agents/people/11439263"",""id"":""au::106909:1"",""resourceArk"":""ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd,au_code
20e1bf91-fdc4-5157-8bd1-e006b969f6d9,tg:mpmdc:17,mpm,mpmdc,Tekstdrager,e73_Titles,afa18253-aa01-563f-9f3b-60a6b123fd95,vb,keywords,au::109679,au::109679:1,au::109679g:1,,"dlod={""suggest"":[""/agents/people/11735653"",""au::109679"",""au::109679:1"",""ark:/83110/x0/afa18253-aa01-563f-9f3b-60a6b123fd95"",""Cornelius Hackius"",""ark:/83110/x0/edced427-a058-5111-a3d7-4ed15ef5469a""],""name"":""Cornelius Hackius"",""ark"":""ark:/83110/x0/edced427-a058-5111-a3d7-4ed15ef5469a"",""uri"":""/agents/people/11735653"",""id"":""au::109679:1"",""resourceArk"":""ark:/83110/x0/afa18253-aa01-563f-9f3b-60a6b123fd95"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/afa18253-aa01-563f-9f3b-60a6b123fd95,au_code
8e1b43fd-0985-57be-9cd0-7a2e4317c720,tg:mpmdc:16,mpm,mpmdc,Tekstdrager,e73_Titles,afa18253-aa01-563f-9f3b-60a6b123fd95,vb,keywords,au::109679,au::109679:1,au::109679g:1,,"dlod={""suggest"":[""/agents/people/11735653"",""au::109679"",""au::109679:1"",""ark:/83110/x0/afa18253-aa01-563f-9f3b-60a6b123fd95"",""Cornelius Hackius"",""ark:/83110/x0/edced427-a058-5111-a3d7-4ed15ef5469a""],""name"":""Cornelius Hackius"",""ark"":""ark:/83110/x0/edced427-a058-5111-a3d7-4ed15ef5469a"",""uri"":""/agents/people/11735653"",""id"":""au::109679:1"",""resourceArk"":""ark:/83110/x0/afa18253-aa01-563f-9f3b-60a6b123fd95"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/afa18253-aa01-563f-9f3b-60a6b123fd95,au_code
8e1b43fd-0985-57be-9cd0-7a2e4317c720,tg:mpmdc:16,mpm,mpmdc,Tekstdrager,e73_Titles,cd710af1-520a-5f4c-beac-82e8929ab5bd,vb,keywords,au::109680,au::109680:1,au::109680g:1,,"dlod={""suggest"":[""/agents/people/11735760"",""au::109680"",""au::109680:1"",""ark:/83110/x0/cd710af1-520a-5f4c-beac-82e8929ab5bd"",""Petrus Hackius"",""ark:/83110/x0/35f717d9-364e-5598-950b-28eba16f94ba""],""name"":""Petrus Hackius"",""ark"":""ark:/83110/x0/35f717d9-364e-5598-950b-28eba16f94ba"",""uri"":""/agents/people/11735760"",""id"":""au::109680:1"",""resourceArk"":""ark:/83110/x0/cd710af1-520a-5f4c-beac-82e8929ab5bd"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/cd710af1-520a-5f4c-beac-82e8929ab5bd,au_code
9dcd5578-2ab6-59fb-83bc-43c7dfb65a12,tg:mpmdc:15,mpm,mpmdc,Tekstdrager,e73_Titles,f4439d69-4a5f-5e51-bf4c-226d47651dee,vb,keywords,au::107606,au::107606:1,au::107606g:1,,"dlod={""suggest"":[""/agents/people/11513842"",""au::107606"",""au::107606:1"",""ark:/83110/x0/f4439d69-4a5f-5e51-bf4c-226d47651dee"",""Johannes Janssonius van Waesbergen"",""ark:/83110/x0/7f590768-2387-5800-a0e5-a1de5e47aa9c""],""name"":""Johannes Janssonius van Waesbergen"",""ark"":""ark:/83110/x0/7f590768-2387-5800-a0e5-a1de5e47aa9c"",""uri"":""/agents/people/11513842"",""id"":""au::107606:1"",""resourceArk"":""ark:/83110/x0/f4439d69-4a5f-5e51-bf4c-226d47651dee"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/f4439d69-4a5f-5e51-bf4c-226d47651dee,au_code
d9ed0aec-baa5-5859-a286-53953cee669e,tg:mpmdc:19,mpm,mpmdc,Tekstdrager,e73_Titles,ed92ae07-76bf-599a-b066-d324a8da32fd,vb,keywords,au::17942,au::17942:1,au::17942g:1,,"dlod={""suggest"":[""/agents/people/1919794"",""au::17942"",""au::17942:1"",""ark:/83110/x0/ed92ae07-76bf-599a-b066-d324a8da32fd"",""Maria de Sweert"",""ark:/83110/x0/3cbb9689-e7e4-580f-a598-8e3afdc9129a""],""name"":""Maria de Sweert"",""ark"":""ark:/83110/x0/3cbb9689-e7e4-580f-a598-8e3afdc9129a"",""uri"":""/agents/people/1919794"",""id"":""au::17942:1"",""resourceArk"":""ark:/83110/x0/ed92ae07-76bf-599a-b066-d324a8da32fd"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/ed92ae07-76bf-599a-b066-d324a8da32fd,au_code
d9ed0aec-baa5-5859-a286-53953cee669e,tg:mpmdc:19,mpm,mpmdc,Tekstdrager,e73_Titles,7e0b8111-6d6a-5224-8df5-18ef038bd6e6,vb,keywords,au::106907,au::106907:1,au::106907g:1,,"dlod={""suggest"":[""/agents/people/11439049"",""au::106907"",""au::106907:1"",""ark:/83110/x0/7e0b8111-6d6a-5224-8df5-18ef038bd6e6"",""Jan II Moretus"",""ark:/83110/x0/202a361f-7525-5ed4-a5af-f74acde8a6b9""],""name"":""Jan II Moretus"",""ark"":""ark:/83110/x0/202a361f-7525-5ed4-a5af-f74acde8a6b9"",""uri"":""/agents/people/11439049"",""id"":""au::106907:1"",""resourceArk"":""ark:/83110/x0/7e0b8111-6d6a-5224-8df5-18ef038bd6e6"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/7e0b8111-6d6a-5224-8df5-18ef038bd6e6,au_code
d9ed0aec-baa5-5859-a286-53953cee669e,tg:mpmdc:19,mpm,mpmdc,Tekstdrager,e73_Titles,e1f4eb1d-708e-52f6-8008-a937c1ed2fcd,vb,keywords,au::106909,au::106909:1,au::106909g:1,,"dlod={""suggest"":[""/agents/people/11439263"",""au::106909"",""au::106909:1"",""ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd"",""Balthasar II Moretus"",""ark:/83110/x0/dfea6e0e-0c5b-5fcf-96d5-591d96aca072""],""name"":""Balthasar II Moretus"",""ark"":""ark:/83110/x0/dfea6e0e-0c5b-5fcf-96d5-591d96aca072"",""uri"":""/agents/people/11439263"",""id"":""au::106909:1"",""resourceArk"":""ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd,au_code
d9ed0aec-baa5-5859-a286-53953cee669e,tg:mpmdc:19,mpm,mpmdc,Tekstdrager,e73_Titles,c168acff-a59e-552b-9822-11b3f97f4b55,vb,keywords,au::108419,au::108419:1,au::108419g:1,,"dlod={""suggest"":[""/agents/people/11600833"",""au::108419"",""au::108419:1"",""ark:/83110/x0/c168acff-a59e-552b-9822-11b3f97f4b55"",""Anna Goos"",""ark:/83110/x0/c248b07d-acc9-5391-8ce9-765957775a56""],""name"":""Anna Goos"",""ark"":""ark:/83110/x0/c248b07d-acc9-5391-8ce9-765957775a56"",""uri"":""/agents/people/11600833"",""id"":""au::108419:1"",""resourceArk"":""ark:/83110/x0/c168acff-a59e-552b-9822-11b3f97f4b55"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/c168acff-a59e-552b-9822-11b3f97f4b55,au_code
d9ed0aec-baa5-5859-a286-53953cee669e,tg:mpmdc:19,mpm,mpmdc,Tekstdrager,e73_Titles,ef8de797-30b0-597d-b7a3-d4745423e3be,vb,keywords,au::108564,au::108564:1,au::108564g:1,,"dlod={""suggest"":[""/agents/people/11616348"",""au::108564"",""au::108564:1"",""ark:/83110/x0/ef8de797-30b0-597d-b7a3-d4745423e3be"",""Balthasar III Moretus"",""ark:/83110/x0/ea957aee-9b82-5fa9-89f0-62b3c5d39eca""],""name"":""Balthasar III Moretus"",""ark"":""ark:/83110/x0/ea957aee-9b82-5fa9-89f0-62b3c5d39eca"",""uri"":""/agents/people/11616348"",""id"":""au::108564:1"",""resourceArk"":""ark:/83110/x0/ef8de797-30b0-597d-b7a3-d4745423e3be"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/ef8de797-30b0-597d-b7a3-d4745423e3be,au_code
