ResourceID,brocade.id,museum,dataset,resource_model,card,ire.isaar.uuid,source_ire_type,Creation Actor Role,source_code,au_code,g_code,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,matched on
b53c42cd-4ff0-5756-8452-1bee8457fa4b,tg:mpmak:31,mpm,mpmak,Tekstdrager,e73_Titles,6211a67c-b6a8-5d2c-97b1-8d2e84c9563e,av,originators (administrative),au::106905,au::106905:1,au::106905g:1,,"dlod={""suggest"":[""/agents/corporate_entities/11438835"",""au::106905"",""au::106905:1"",""ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e"",""Officina Plantiniana"",""ark:/83110/x0/55ebf305-6648-5999-98be-9f32bb92cef8""],""name"":""Officina Plantiniana"",""ark"":""ark:/83110/x0/55ebf305-6648-5999-98be-9f32bb92cef8"",""uri"":""/agents/corporate_entities/11438835"",""id"":""au::106905:1"",""resourceArk"":""ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e,au_code
bb17c032-6f60-5f0b-912e-e40b04b34c92,tg:mpmak:21,mpm,mpmak,Tekstdrager,e73_Titles,6211a67c-b6a8-5d2c-97b1-8d2e84c9563e,av,originators (administrative),au::106905,au::106905:1,au::106905g:1,,"dlod={""suggest"":[""/agents/corporate_entities/11438835"",""au::106905"",""au::106905:1"",""ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e"",""Officina Plantiniana"",""ark:/83110/x0/55ebf305-6648-5999-98be-9f32bb92cef8""],""name"":""Officina Plantiniana"",""ark"":""ark:/83110/x0/55ebf305-6648-5999-98be-9f32bb92cef8"",""uri"":""/agents/corporate_entities/11438835"",""id"":""au::106905:1"",""resourceArk"":""ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/6211a67c-b6a8-5d2c-97b1-8d2e84c9563e,au_code
69c52a2b-c539-5ae1-a5e8-43300bc8a62b,tg:mpmak:88,mpm,mpmak,Tekstdrager,e73_Titles,eaf8fd64-b776-5396-93d4-4fcc4e470b26,av,originators (administrative),au::107537,au::107537:1,au::107537g:1,,"dlod={""suggest"":[""/agents/corporate_entities/11506459"",""au::107537"",""au::107537:1"",""ark:/83110/x0/eaf8fd64-b776-5396-93d4-4fcc4e470b26"",""Tessaro"",""ark:/83110/x0/d4f93721-2811-568e-8943-16241a5f39ec""],""name"":""Tessaro"",""ark"":""ark:/83110/x0/d4f93721-2811-568e-8943-16241a5f39ec"",""uri"":""/agents/corporate_entities/11506459"",""id"":""au::107537:1"",""resourceArk"":""ark:/83110/x0/eaf8fd64-b776-5396-93d4-4fcc4e470b26"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/eaf8fd64-b776-5396-93d4-4fcc4e470b26,au_code
69c52a2b-c539-5ae1-a5e8-43300bc8a62b,tg:mpmak:88,mpm,mpmak,Tekstdrager,e73_Titles,24b878eb-2b26-5c63-b768-231ab9943808,opd,writers (clerical workers),au::109040,au::109040:1,au::109040g:1,,"dlod={""suggest"":[""/agents/corporate_entities/11667280"",""au::109040"",""au::109040:1"",""ark:/83110/x0/24b878eb-2b26-5c63-b768-231ab9943808"",""E. Linde \u0026 Co."",""ark:/83110/x0/c88eb527-f0c6-5f9e-8cf0-86d85d1381dc""],""name"":""E. Linde \u0026 Co."",""ark"":""ark:/83110/x0/c88eb527-f0c6-5f9e-8cf0-86d85d1381dc"",""uri"":""/agents/corporate_entities/11667280"",""id"":""au::109040:1"",""resourceArk"":""ark:/83110/x0/24b878eb-2b26-5c63-b768-231ab9943808"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/24b878eb-2b26-5c63-b768-231ab9943808,au_code
15565c71-b2cd-5925-96bd-2d1dc9c6594c,tg:mpmak:98,mpm,mpmak,Tekstdrager,e73_Titles,eaf8fd64-b776-5396-93d4-4fcc4e470b26,av,originators (administrative),au::107537,au::107537:1,au::107537g:1,,"dlod={""suggest"":[""/agents/corporate_entities/11506459"",""au::107537"",""au::107537:1"",""ark:/83110/x0/eaf8fd64-b776-5396-93d4-4fcc4e470b26"",""Tessaro"",""ark:/83110/x0/d4f93721-2811-568e-8943-16241a5f39ec""],""name"":""Tessaro"",""ark"":""ark:/83110/x0/d4f93721-2811-568e-8943-16241a5f39ec"",""uri"":""/agents/corporate_entities/11506459"",""id"":""au::107537:1"",""resourceArk"":""ark:/83110/x0/eaf8fd64-b776-5396-93d4-4fcc4e470b26"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/eaf8fd64-b776-5396-93d4-4fcc4e470b26,au_code
15565c71-b2cd-5925-96bd-2d1dc9c6594c,tg:mpmak:98,mpm,mpmak,Tekstdrager,e73_Titles,19d0c4cd-48e5-52f4-80f9-400ba31fc2e9,va,recipients (people),au::109047,au::109047:1,au::109047g:1,,"dlod={""suggest"":[""/agents/corporate_entities/11668029"",""au::109047"",""au::109047:1"",""ark:/83110/x0/19d0c4cd-48e5-52f4-80f9-400ba31fc2e9"",""Henry Graves \u0026 Co."",""ark:/83110/x0/3f9d4ef4-7693-5f27-8617-304e29ad6d91""],""name"":""Henry Graves \u0026 Co."",""ark"":""ark:/83110/x0/3f9d4ef4-7693-5f27-8617-304e29ad6d91"",""uri"":""/agents/corporate_entities/11668029"",""id"":""au::109047:1"",""resourceArk"":""ark:/83110/x0/19d0c4cd-48e5-52f4-80f9-400ba31fc2e9"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/19d0c4cd-48e5-52f4-80f9-400ba31fc2e9,au_code
15565c71-b2cd-5925-96bd-2d1dc9c6594c,tg:mpmak:98,mpm,mpmak,Tekstdrager,e73_Titles,eaf8fd64-b776-5396-93d4-4fcc4e470b26,opd,writers (clerical workers),au::107537,au::107537:1,au::107537g:1,,"dlod={""suggest"":[""/agents/corporate_entities/11506459"",""au::107537"",""au::107537:1"",""ark:/83110/x0/eaf8fd64-b776-5396-93d4-4fcc4e470b26"",""Tessaro"",""ark:/83110/x0/d4f93721-2811-568e-8943-16241a5f39ec""],""name"":""Tessaro"",""ark"":""ark:/83110/x0/d4f93721-2811-568e-8943-16241a5f39ec"",""uri"":""/agents/corporate_entities/11506459"",""id"":""au::107537:1"",""resourceArk"":""ark:/83110/x0/eaf8fd64-b776-5396-93d4-4fcc4e470b26"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/eaf8fd64-b776-5396-93d4-4fcc4e470b26,au_code
887eb1b7-bfa3-57b9-8b95-1e1326b3f246,tg:mpmak:374,mpm,mpmak,Tekstdrager,e73_Titles,e1f4eb1d-708e-52f6-8008-a937c1ed2fcd,va,recipients (people),au::106909,au::106909:1,au::106909g:1,,"dlod={""suggest"":[""/agents/people/11439263"",""au::106909"",""au::106909:1"",""ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd"",""Balthasar II Moretus"",""ark:/83110/x0/dfea6e0e-0c5b-5fcf-96d5-591d96aca072""],""name"":""Balthasar II Moretus"",""ark"":""ark:/83110/x0/dfea6e0e-0c5b-5fcf-96d5-591d96aca072"",""uri"":""/agents/people/11439263"",""id"":""au::106909:1"",""resourceArk"":""ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/e1f4eb1d-708e-52f6-8008-a937c1ed2fcd,au_code
887eb1b7-bfa3-57b9-8b95-1e1326b3f246,tg:mpmak:374,mpm,mpmak,Tekstdrager,e73_Titles,f2b7efeb-1e92-5e47-9b29-b2a5cb0d56d7,opd,writers (clerical workers),au::114018:1,au::114018:1,au::114018g:1,,"dlod={""suggest"":[""/agents/people/12199926"",""au::114018"",""au::114018:1"",""ark:/83110/x0/b936bc3c-78fa-534d-a18e-b9b3422e2c18"",""Gerrit Verduyn"",""ark:/83110/x0/f2b7efeb-1e92-5e47-9b29-b2a5cb0d56d7""],""name"":""Gerrit Verduyn"",""ark"":""ark:/83110/x0/f2b7efeb-1e92-5e47-9b29-b2a5cb0d56d7"",""uri"":""/agents/people/12199926"",""id"":""au::114018:1"",""resourceArk"":""ark:/83110/x0/b936bc3c-78fa-534d-a18e-b9b3422e2c18"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/b936bc3c-78fa-534d-a18e-b9b3422e2c18,au_code
887eb1b7-bfa3-57b9-8b95-1e1326b3f246,tg:mpmak:374,mpm,mpmak,Tekstdrager,e73_Titles,7e42ba19-e39b-58c3-ae94-e5a49268569b,opd,writers (clerical workers),au::113582,au::113582:1,au::113582g:1,,"dlod={""suggest"":[""/agents/people/12153274"",""au::113582"",""au::113582:1"",""ark:/83110/x0/7e42ba19-e39b-58c3-ae94-e5a49268569b"",""Levinus Vincent"",""ark:/83110/x0/d95a2ab9-7dca-5e3d-b898-931af85e8cde""],""name"":""Levinus Vincent"",""ark"":""ark:/83110/x0/d95a2ab9-7dca-5e3d-b898-931af85e8cde"",""uri"":""/agents/people/12153274"",""id"":""au::113582:1"",""resourceArk"":""ark:/83110/x0/7e42ba19-e39b-58c3-ae94-e5a49268569b"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/7e42ba19-e39b-58c3-ae94-e5a49268569b,au_code
