ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,source_date,Copyright Revision Date,Copyright Type,db,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Creation Place Widget,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,End Date Note,End Date Note Type,End Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation URL,External Relation URL Prefix,External Relation URL Type,External Relation Note,External Relation Note Language,External Relation Note Type,Genre Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Relation,Title,Title Type,Title Language,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,Transactions
fdbc5821-fd1f-5b1a-976c-cf54e0d7b8bc,tg:lhhs:18020,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhhs:18020,record identifiers,https://data.letterenhuis.be/ark:/24970/fdbc5821-fd1f-5b1a-976c-cf54e0d7b8bc,object identifier,Handschriften,,,
fdbc5821-fd1f-5b1a-976c-cf54e0d7b8bc,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""09dc06b8-9357-4981-8949-97c4cf7db2e4"", ""ontologyProperty"": """", ""resourceXresourceId"": ""036f7125-a5d2-495d-8555-e9ff6b349021"", ""inverseOntologyProperty"": """"}]"
fdbc5821-fd1f-5b1a-976c-cf54e0d7b8bc,tg:lhhs:18020,e73_Copyrights,,,,,,,,,,,,,,,,,,,1914.0,2029,In Copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fdbc5821-fd1f-5b1a-976c-cf54e0d7b8bc,tg:lhhs:18020_#1,e73_CreationPlacesSource_lhhs,1,,,,,,,,,,,,,,,,,,,,,lhhs,,au::100141,81ac4db9-1e25-55a3-9b28-97c03f96b4ab,,,,,,,au::100141,81ac4db9-1e25-55a3-9b28-97c03f96b4ab,,au::100141,remarks,Nederlands,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/10715087"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fdbc5821-fd1f-5b1a-976c-cf54e0d7b8bc,tg:lhhs:18020,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19140207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fdbc5821-fd1f-5b1a-976c-cf54e0d7b8bc,tg:lhhs:18020,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1914-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fdbc5821-fd1f-5b1a-976c-cf54e0d7b8bc,tg:lhhs:18020,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,,,,
fdbc5821-fd1f-5b1a-976c-cf54e0d7b8bc,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/hs/000017136,referentienummer,False,,,,,,,,,,,,,,,,,,
fdbc5821-fd1f-5b1a-976c-cf54e0d7b8bc,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhhs:18020,brocade id,False,,,,,,,,,,,,,,,,,,
fdbc5821-fd1f-5b1a-976c-cf54e0d7b8bc,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhhs:18020/N,brocade url,False,,,,,,,,,,,,,,,,,,
fdbc5821-fd1f-5b1a-976c-cf54e0d7b8bc,tg:lhhs:18020,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""c9a433c5-29f1-539a-b9df-a0915967dfdf"", ""ontologyProperty"": """", ""resourceXresourceId"": ""83f7a56d-3eae-4f8c-9624-a3cbc965248d"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,
fdbc5821-fd1f-5b1a-976c-cf54e0d7b8bc,tg:lhhs:18020,e73_Titles,1,id.title/subTitle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lijst van de boeken die Victor dela Montagne wilde verkopen aan de Antwerpse Stadsbibliotheek,constructed titles,Dutch (language),,,,,,,,,
