ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,source_date,Copyright Revision Date,Copyright Type,db,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Creation Place Widget,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,End Date Note,End Date Note Type,End Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation URL,External Relation URL Prefix,External Relation URL Type,External Relation Note,External Relation Note Language,External Relation Note Type,Genre Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Relation,Title,Title Type,Title Language,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,Transactions
1f67e72a-00ef-5448-a551-10a32db0294c,tg:lhhs:5627,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhhs:5627,record identifiers,https://data.letterenhuis.be/ark:/24970/1f67e72a-00ef-5448-a551-10a32db0294c,object identifier,Handschriften,,,
1f67e72a-00ef-5448-a551-10a32db0294c,tg:lhhs:5627,e73_AnnotationsImmaterial,1,note.lhalg,"<p><strong>Beschrijving</strong> : Onverbeterde drukproef.<br />
<strong>Publicatie</strong> : * <em>De muur</em>, Jos<br />
Vandeloo, uitg. Manteau, Brussel, 1958 (1ste druk), in de reeks &quot;Ad Multos&quot;<br />
nr.3, 87 p. * <em>De muur</em>, Jos Vandeloo, uitg. Manteau, Brussel/Den Haag, 1962<br />
(3de druk), in de reeks &quot;Kleine Marnixpocket&quot; nr. 5, 75 p.</p>
","<p><strong>Beschrijving</strong> : Onverbeterde drukproef.<br />
<strong>Publicatie</strong> : * <em>De muur</em>, Jos<br />
Vandeloo, uitg. Manteau, Brussel, 1958 (1ste druk), in de reeks &quot;Ad Multos&quot;<br />
nr.3, 87 p. * <em>De muur</em>, Jos Vandeloo, uitg. Manteau, Brussel/Den Haag, 1962<br />
(3de druk), in de reeks &quot;Kleine Marnixpocket&quot; nr. 5, 75 p.</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1f67e72a-00ef-5448-a551-10a32db0294c,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""37213f46-1c85-4e05-b998-d8b05b5afcd0"", ""ontologyProperty"": """", ""resourceXresourceId"": ""c9c00776-9f68-4195-ba98-c9156da836e7"", ""inverseOntologyProperty"": """"}]"
1f67e72a-00ef-5448-a551-10a32db0294c,tg:lhhs:5627,e73_Copyrights,,,,,,,,,,,,,,,,,,,1962.0,2077,In Copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1f67e72a-00ef-5448-a551-10a32db0294c,tg:lhhs:5627,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19620608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1f67e72a-00ef-5448-a551-10a32db0294c,tg:lhhs:5627,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1f67e72a-00ef-5448-a551-10a32db0294c,tg:lhhs:5627,e73_GenreTypes,1,kenmerken.lhgenrehs,vp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,verhalend proza,,,,,,,,,,,,,,,,,,,,,,
1f67e72a-00ef-5448-a551-10a32db0294c,tg:lhhs:5627,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,,,,
1f67e72a-00ef-5448-a551-10a32db0294c,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/hs/000005450,referentienummer,False,,,,,,,,,,,,,,,,,,
1f67e72a-00ef-5448-a551-10a32db0294c,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhhs:5627,brocade id,False,,,,,,,,,,,,,,,,,,
1f67e72a-00ef-5448-a551-10a32db0294c,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhhs:5627/N,brocade url,False,,,,,,,,,,,,,,,,,,
1f67e72a-00ef-5448-a551-10a32db0294c,tg:lhhs:5627,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""576611d0-9bc8-5f93-9b2d-b3dceeb1b95e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""815e8fad-be9d-4937-927d-3524004c583c"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,
1f67e72a-00ef-5448-a551-10a32db0294c,tg:lhhs:5627,e73_Titles,1,id.title/ti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,De muur [3de druk],titles proper,Dutch (language),,,,,,,,,
1f67e72a-00ef-5448-a551-10a32db0294c,tg:lhhs:5627,e73_Titles,,,au::18890,,,,lh,lhhs,Tekstdrager,1112ca5e-3c9b-5dfa-824b-bc90e4dc017e,au,,au::18890:1,au::18890g:1,,,,au_code,,,,,,,,,,,,,,,,,,,,,authors,,"dlod={""suggest"":[""/agents/people/2021230"",""au::18890"",""au::18890:1"",""ark:/83110/x0/1112ca5e-3c9b-5dfa-824b-bc90e4dc017e"",""Jos Vandeloo"",""ark:/83110/x0/dc747c5b-8b42-5a59-9258-c6a949e9765b""],""name"":""Jos Vandeloo"",""ark"":""ark:/83110/x0/dc747c5b-8b42-5a59-9258-c6a949e9765b"",""uri"":""/agents/people/2021230"",""id"":""au::18890:1"",""resourceArk"":""ark:/83110/x0/1112ca5e-3c9b-5dfa-824b-bc90e4dc017e"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/1112ca5e-3c9b-5dfa-824b-bc90e4dc017e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
