ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,dataset,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,source_date,Copyright Revision Date,Copyright Type,db,source_place_name,source_au_id,source_au_uuid,au_dump_name,au_dump_id,au_dump_uuid,old_cleanup_name,old_cleanup_id,old_cleanup_uuid,merged_id,merged_uuid,fixed_id,match_id,place_type,place_language,Creation Place Widget,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,End Date,Start Date Type,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,End Date Note,End Date Note Type,End Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation URL,External Relation URL Prefix,External Relation URL Type,External Relation Note,External Relation Note Language,External Relation Note Type,Genre Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Relation,Title,Title Type,Title Language,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,Legacy Information Code, card,Transactions
4f0b9ee7-2ab8-5e90-a17d-4379d1072d55,tg:lhhs:8003,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhhs:8003,record identifiers,https://data.letterenhuis.be/ark:/24970/4f0b9ee7-2ab8-5e90-a17d-4379d1072d55,object identifier,Handschriften,,,
4f0b9ee7-2ab8-5e90-a17d-4379d1072d55,tg:lhhs:8003,e73_AnnotationsImmaterial,1,note.lhalg,"<p><strong>Beschrijving</strong> Biografie van Prof. Vercoullie n.a.v. zijn overlijden.</p>
","<p><strong>Beschrijving</strong> Biografie van Prof. Vercoullie n.a.v. zijn overlijden.</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4f0b9ee7-2ab8-5e90-a17d-4379d1072d55,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""001275e6-9904-4faf-b801-43c71517d726"", ""ontologyProperty"": """", ""resourceXresourceId"": ""797027a2-1cc3-4e73-8538-3c0578a8bee9"", ""inverseOntologyProperty"": """"}]"
4f0b9ee7-2ab8-5e90-a17d-4379d1072d55,tg:lhhs:8003,e73_Copyrights,,,,,,,,,,,,,,,,,,,1937.0,2052,In Copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4f0b9ee7-2ab8-5e90-a17d-4379d1072d55,tg:lhhs:8003,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19370000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4f0b9ee7-2ab8-5e90-a17d-4379d1072d55,tg:lhhs:8003,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1937,,reconstructie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4f0b9ee7-2ab8-5e90-a17d-4379d1072d55,tg:lhhs:8003,e73_GenreTypes,1,kenmerken.lhgenrehs,bp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,beschouwend proza,,,,,,,,,,,,,,,,,,,,,,
4f0b9ee7-2ab8-5e90-a17d-4379d1072d55,tg:lhhs:8003,e73_Languages,1,kenmerken.lhlanguagehs,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,,,,
4f0b9ee7-2ab8-5e90-a17d-4379d1072d55,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN07/hs/000007811,referentienummer,False,,,,,,,,,,,,,,,,,,
4f0b9ee7-2ab8-5e90-a17d-4379d1072d55,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:lhhs:8003,brocade id,False,,,,,,,,,,,,,,,,,,
4f0b9ee7-2ab8-5e90-a17d-4379d1072d55,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opaclhobj/tg:lhhs:8003/N,brocade url,False,,,,,,,,,,,,,,,,,,
4f0b9ee7-2ab8-5e90-a17d-4379d1072d55,tg:lhhs:8003,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""231b8c7d-f689-5965-ada7-b2ae492d1759"", ""ontologyProperty"": """", ""resourceXresourceId"": ""6cd1496d-fb7d-4a23-8559-4585e64f487b"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,
4f0b9ee7-2ab8-5e90-a17d-4379d1072d55,tg:lhhs:8003,e73_Titles,1,id.title/ti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Professer Emeritus J. Vercoullie.,titles proper,Dutch (language),,,,,,,,,
4f0b9ee7-2ab8-5e90-a17d-4379d1072d55,tg:lhhs:8003,e73_Titles,,,au::19361,,,,lh,lhhs,Tekstdrager,e1ce7448-e7d3-53d6-a076-994c58bff71f,ow,subjects (content of works),au::19361:1,au::19361g:1,,"dlod={""suggest"":[""/agents/people/2071627"",""au::19361"",""au::19361:1"",""ark:/83110/x0/e1ce7448-e7d3-53d6-a076-994c58bff71f"",""Jozef Vercoullie"",""ark:/83110/x0/7199a986-1c86-5e18-a91d-a7bb8fe24975""],""name"":""Jozef Vercoullie"",""ark"":""ark:/83110/x0/7199a986-1c86-5e18-a91d-a7bb8fe24975"",""uri"":""/agents/people/2071627"",""id"":""au::19361:1"",""resourceArk"":""ark:/83110/x0/e1ce7448-e7d3-53d6-a076-994c58bff71f"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/e1ce7448-e7d3-53d6-a076-994c58bff71f,au_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
