ResourceID,brocade.id,card,order,source_field,source_code,Material
4bad7a42-470f-5096-aac2-23b6346570d0,tg:lhhs:4716_#1,e22_Materials,1,kenmerken.lhschrijfhs,in,ink
56165d42-36ab-5249-9615-0da5f7527c30,tg:lhhs:11171_#1,e22_Materials,1,kenmerken.lhschrijfhs,in,ink
5fda9cda-c7b7-58f6-acef-1a70739d0839,tg:lhhs:9285_#1,e22_Materials,1,kenmerken.lhschrijfhs,in,ink
e3052391-0e76-5004-b49b-8ce5aab08819,tg:lhhs:3750_#1,e22_Materials,1,kenmerken.lhschrijfhs,in,ink
7e11ff13-4289-5212-8e25-ad3fe32614d9,tg:lhhs:6176_#1,e22_Materials,1,kenmerken.lhschrijfhs,in,ink
ffa90890-4676-539a-a518-fb5a987846f9,tg:lhhs:16137_#1,e22_Materials,1,kenmerken.lhschrijfhs,in,ink
25b4613a-2f1c-535d-8c73-be558821b1bd,tg:lhhs:10503_#1,e22_Materials,1,kenmerken.lhschrijfhs,bi,ball-point pens
f298e0cd-186a-5f2d-af00-7f0a9a6ba53f,tg:lhhs:20278_#1,e22_Materials,1,kenmerken.lhschrijfhs,in,ink
66628717-8641-584f-9407-ddf4377752e8,tg:lhhs:15325_#1,e22_Materials,1,kenmerken.lhschrijfhs,in,ink
e598a07a-def3-50ca-803e-d68797daa57d,tg:lhhs:7504_#1,e22_Materials,1,kenmerken.lhschrijfhs,in,ink
3afc6bce-dbef-5f35-9119-526f100ec0cc,tg:lhhs:13701_#1,e22_Materials,1,kenmerken.lhschrijfhs,in,ink
47a30352-d672-55c5-a11e-ebfd6eab829f,tg:lhhs:3740_#1,e22_Materials,1,kenmerken.lhschrijfhs,in,ink
685871e6-e259-5256-a82a-527baf74e5b1,tg:lhhs:14747_#1,e22_Materials,1,kenmerken.lhschrijfhs,in,ink
93be8329-2cbf-5c92-a55d-81f0cc50648f,tg:lhhs:7514_#1,e22_Materials,1,kenmerken.lhschrijfhs,in,ink
799eadec-782f-5389-85e3-56a5045d14e6,tg:lhhs:11980_#1,e22_Materials,1,kenmerken.lhschrijfhs,bi,ball-point pens
9ba794f4-cf36-5e33-9e0b-9eda75a05df9,tg:lhhs:10513_#1,e22_Materials,1,kenmerken.lhschrijfhs,in,ink
2281d89a-7d81-5240-a0dc-80501a4fe91e,tg:lhhs:20268_#1,e22_Materials,1,kenmerken.lhschrijfhs,in,ink
2634c91f-9be2-5d18-be11-6241a3aff0ac,tg:lhhs:11019_#1,e22_Materials,1,kenmerken.lhschrijfhs,in,ink
132d6f56-b131-5a14-9a55-1f1adcc90c5f,tg:lhhs:6987_#1,e22_Materials,1,kenmerken.lhschrijfhs,in,ink
c7033fb6-effb-51ef-a755-63a78d3aa14e,tg:lhhs:15335_#1,e22_Materials,1,kenmerken.lhschrijfhs,in,ink
2f8a0e5a-ac9e-5dae-b0ee-76294867c0b0,tg:lhhs:18802_#1,e22_Materials,1,kenmerken.lhschrijfhs,in,ink
5557548a-9b88-52b0-87c7-ec2e5f06eb41,tg:lhhs:5449_#1,e22_Materials,1,kenmerken.lhschrijfhs,in,ink
7531f33e-0149-5f2a-8d36-7d155e2b1110,tg:lhhs:11724_#1,e22_Materials,1,kenmerken.lhschrijfhs,bi,ball-point pens
1e52a85c-5c7c-5602-a55e-99353e646f5b,tg:lhhs:7229_#1,e22_Materials,1,kenmerken.lhschrijfhs,in,ink
d4e76ab7-b701-51db-b1e1-935442c107c3,tg:lhhs:19491_#1,e22_Materials,1,kenmerken.lhschrijfhs,in,ink
36073daa-bd6f-5de2-b271-eb915c64c88d,tg:lhhs:13144_#1,e22_Materials,1,kenmerken.lhschrijfhs,in,ink
cbb8dd00-9b81-59dc-a276-05cde80d4814,tg:lhhs:3105_#1,e22_Materials,1,kenmerken.lhschrijfhs,in,ink
88e39839-76ef-576e-812c-69f77a7f6236,tg:lhhs:17268_#1,e22_Materials,1,kenmerken.lhschrijfhs,pc,pencils (drawing and writing equipment)
4f7784dd-4676-5b4e-aeb5-ae03884f17d8,tg:lhhs:15570_#1,e22_Materials,1,kenmerken.lhschrijfhs,in,ink
5310df74-2f0a-55d1-b5c5-8bf5d31c0b13,tg:lhhs:17310_#1,e22_Materials,1,kenmerken.lhschrijfhs,in,ink
d981b7f6-d3a5-5489-bdcd-3fb27e526d70,tg:lhhs:7351_#1,e22_Materials,1,kenmerken.lhschrijfhs,in,ink
a0704d9d-cc6d-5a3c-a7ab-8af4d24b206a,tg:lhhs:7239_#1,e22_Materials,1,kenmerken.lhschrijfhs,in,ink
7f320430-b6cd-5595-b560-0c2e74b2ad5e,tg:lhhs:16772_#1,e22_Materials,1,kenmerken.lhschrijfhs,in,ink
5932d83e-e8ce-5f07-865f-f001b16c4317,tg:lhhs:20545_#1,e22_Materials,1,kenmerken.lhschrijfhs,in,ink
c3f18fe5-8b41-5270-816e-0612a220002e,tg:lhhs:5459_#1,e22_Materials,1,kenmerken.lhschrijfhs,in,ink
25534e05-ad05-5fd7-ae16-ffeac9437dad,tg:lhhs:15560_#1,e22_Materials,1,kenmerken.lhschrijfhs,in,ink
