ResourceID,brocade.id,card,order,source_field,source_code,Language
3940bb1e-1aae-5980-9f22-c99a567978c7,tg:lhdc:4716,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
6cfc0a58-4c53-5b57-b87b-3bde57eb7a1a,tg:lhdc:1130,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
b81f6b31-739c-5c6d-a95e-abfa115230e0,tg:lhdc:3750,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
b4d8db6c-86c3-56c1-a9fc-f7d810c2a30d,tg:lhdc:598,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
4d635ee4-ca2e-53a7-ad13-307584d9f4ad,tg:lhdc:1048,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
b5bd19e9-171f-55b7-9c70-925b75122b2a,tg:lhdc:3628,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
ce2a7ca6-06d7-50ba-aaa5-e34afb9d5a3d,tg:lhdc:2322,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
d5574d19-67a2-5c36-82a1-8dadec6ec51d,tg:lhdc:3740,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
cf0eddf7-eaa6-5daf-aeda-3769be6ece91,tg:lhdc:4706,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
194273e5-dce2-55d6-9225-a1a39c7683c4,tg:lhdc:1120,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
98622946-cddd-5bd3-8341-51d8a776250e,tg:lhdc:3638,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
66eb60de-24a9-5936-ac97-848778181837,tg:lhdc:21,e73_Languages,1,kenmerken.lhlanguagehs,eng,English (language)
1ddabb87-17a8-53a2-95a2-2b9f9d71cb46,tg:lhdc:2332,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
b8067fd6-0786-57b9-9ff4-f5a24613e51d,tg:lhdc:588,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
bd6a1b55-7100-57e5-a6dc-c6739ccb17d7,tg:lhdc:1058,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
0dd9d55a-58d9-5284-9589-181275a47bfb,tg:lhdc:4143,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
b3f1aa51-bfb8-5b29-b12d-e36f53caac70,tg:lhdc:1765,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
a6903790-90b0-57b5-9614-cc6a70cb1e8d,tg:lhdc:3105,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
ff260faa-2f22-5236-ae90-0bcb79f0f734,tg:lhdc:2577,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
1a37b0c2-62af-5780-b8fa-03cf6757280a,tg:lhdc:3115,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
116a9323-4b2e-5f82-890a-e19a706e2873,tg:lhdc:4153,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
61cdb180-a043-540c-bc2f-15b0fbab971c,tg:lhdc:1775,e73_Languages,1,kenmerken.lhlanguagehs,dut,Dutch (language)
