ResourceID,brocade.id,museum,dataset,resource_model,card,ire.isaar.uuid,source_ire_type,Original Entity Relation,source_code,ISAAR Brocade ID,place_au_code,Original Entity Note,Original Entity Widget,Original Entity Identifier
6cfc0a58-4c53-5b57-b87b-3bde57eb7a1a,tg:lhdc:1130,lh,lhdc,Tekstdrager,e73_RecordActors,1bcdb425-a04e-59c9-acdc-9b0d7b1c4387,rg,keywords,au::13362,au::13362:1,au::13362g:1,,"dlod={""suggest"":[""/agents/people/1429734"",""au::13362"",""au::13362:1"",""ark:/83110/x0/1bcdb425-a04e-59c9-acdc-9b0d7b1c4387"",""Gust de Muynck""],""name"":""Gust de Muynck"",""ark"":""ark:/83110/x0/1bcdb425-a04e-59c9-acdc-9b0d7b1c4387"",""uri"":""/agents/people/1429734"",""id"":""au::13362:1"",""isCapacity"":false}",ark:/83110/x0/1bcdb425-a04e-59c9-acdc-9b0d7b1c4387
b4d8db6c-86c3-56c1-a9fc-f7d810c2a30d,tg:lhdc:598,lh,lhdc,Tekstdrager,e73_RecordActors,917eff88-272b-5f61-8688-e719c02effab,rg,keywords,au::13683,au::13683:1,au::13683g:1,,"dlod={""suggest"":[""/agents/people/1464081"",""au::13683"",""au::13683:1"",""ark:/83110/x0/917eff88-272b-5f61-8688-e719c02effab"",""Herman Niels""],""name"":""Herman Niels"",""ark"":""ark:/83110/x0/917eff88-272b-5f61-8688-e719c02effab"",""uri"":""/agents/people/1464081"",""id"":""au::13683:1"",""isCapacity"":false}",ark:/83110/x0/917eff88-272b-5f61-8688-e719c02effab
ce2a7ca6-06d7-50ba-aaa5-e34afb9d5a3d,tg:lhdc:2322,lh,lhdc,Tekstdrager,e73_RecordActors,a920e800-aee3-5e09-9563-75b7d43a930e,rg,keywords,au::108437,au::108437:1,au::108437g:1,,"dlod={""suggest"":[""/agents/people/11602759"",""au::108437"",""au::108437:1"",""ark:/83110/x0/a920e800-aee3-5e09-9563-75b7d43a930e"",""Marc Leemans""],""name"":""Marc Leemans"",""ark"":""ark:/83110/x0/a920e800-aee3-5e09-9563-75b7d43a930e"",""uri"":""/agents/people/11602759"",""id"":""au::108437:1"",""isCapacity"":false}",ark:/83110/x0/a920e800-aee3-5e09-9563-75b7d43a930e
1ddabb87-17a8-53a2-95a2-2b9f9d71cb46,tg:lhdc:2332,lh,lhdc,Tekstdrager,e73_RecordActors,dcb62a22-267c-5384-b65b-f33e57854228,rg,keywords,au::15899,au::15899:1,au::15899g:1,,"dlod={""suggest"":[""/agents/people/1701193"",""au::15899"",""au::15899:1"",""ark:/83110/x0/dcb62a22-267c-5384-b65b-f33e57854228"",""Frans Roggen""],""name"":""Frans Roggen"",""ark"":""ark:/83110/x0/dcb62a22-267c-5384-b65b-f33e57854228"",""uri"":""/agents/people/1701193"",""id"":""au::15899:1"",""isCapacity"":false}",ark:/83110/x0/dcb62a22-267c-5384-b65b-f33e57854228
1a37b0c2-62af-5780-b8fa-03cf6757280a,tg:lhdc:3115,lh,lhdc,Tekstdrager,e73_RecordActors,dcb62a22-267c-5384-b65b-f33e57854228,rg,keywords,au::15899,au::15899:1,au::15899g:1,,"dlod={""suggest"":[""/agents/people/1701193"",""au::15899"",""au::15899:1"",""ark:/83110/x0/dcb62a22-267c-5384-b65b-f33e57854228"",""Frans Roggen""],""name"":""Frans Roggen"",""ark"":""ark:/83110/x0/dcb62a22-267c-5384-b65b-f33e57854228"",""uri"":""/agents/people/1701193"",""id"":""au::15899:1"",""isCapacity"":false}",ark:/83110/x0/dcb62a22-267c-5384-b65b-f33e57854228
8fbf4477-6e10-50eb-a878-d2b953db5be8,tg:lhdc:2611,lh,lhdc,Tekstdrager,e73_RecordActors,c9eb1f16-8d74-516e-be09-7342313360d6,rg,keywords,au::55232,au::55232:1,au::55232g:1,,"dlod={""suggest"":[""/agents/people/5909824"",""au::55232"",""au::55232:1"",""ark:/83110/x0/c9eb1f16-8d74-516e-be09-7342313360d6"",""Michel de Sutter""],""name"":""Michel de Sutter"",""ark"":""ark:/83110/x0/c9eb1f16-8d74-516e-be09-7342313360d6"",""uri"":""/agents/people/5909824"",""id"":""au::55232:1"",""isCapacity"":false}",ark:/83110/x0/c9eb1f16-8d74-516e-be09-7342313360d6
06d591df-9b15-5419-8fb7-95a7e1b9c239,tg:lhdc:922,lh,lhdc,Tekstdrager,e73_RecordActors,917eff88-272b-5f61-8688-e719c02effab,rg,keywords,au::13683,au::13683:1,au::13683g:1,,"dlod={""suggest"":[""/agents/people/1464081"",""au::13683"",""au::13683:1"",""ark:/83110/x0/917eff88-272b-5f61-8688-e719c02effab"",""Herman Niels""],""name"":""Herman Niels"",""ark"":""ark:/83110/x0/917eff88-272b-5f61-8688-e719c02effab"",""uri"":""/agents/people/1464081"",""id"":""au::13683:1"",""isCapacity"":false}",ark:/83110/x0/917eff88-272b-5f61-8688-e719c02effab
732bb41d-2842-5f69-b5c8-a0b29057159b,tg:lhdc:3426,lh,lhdc,Tekstdrager,e73_RecordActors,dcb62a22-267c-5384-b65b-f33e57854228,rg,keywords,au::15899,au::15899:1,au::15899g:1,,"dlod={""suggest"":[""/agents/people/1701193"",""au::15899"",""au::15899:1"",""ark:/83110/x0/dcb62a22-267c-5384-b65b-f33e57854228"",""Frans Roggen""],""name"":""Frans Roggen"",""ark"":""ark:/83110/x0/dcb62a22-267c-5384-b65b-f33e57854228"",""uri"":""/agents/people/1701193"",""id"":""au::15899:1"",""isCapacity"":false}",ark:/83110/x0/dcb62a22-267c-5384-b65b-f33e57854228
f322e60c-9d30-5d98-9f5a-30e505829c5d,tg:lhdc:647,lh,lhdc,Tekstdrager,e73_RecordActors,dcb62a22-267c-5384-b65b-f33e57854228,rg,keywords,au::15899,au::15899:1,au::15899g:1,,"dlod={""suggest"":[""/agents/people/1701193"",""au::15899"",""au::15899:1"",""ark:/83110/x0/dcb62a22-267c-5384-b65b-f33e57854228"",""Frans Roggen""],""name"":""Frans Roggen"",""ark"":""ark:/83110/x0/dcb62a22-267c-5384-b65b-f33e57854228"",""uri"":""/agents/people/1701193"",""id"":""au::15899:1"",""isCapacity"":false}",ark:/83110/x0/dcb62a22-267c-5384-b65b-f33e57854228
c3046ec5-33ec-57fb-b87f-5ac4e4d9e1ca,tg:lhdc:1397,lh,lhdc,Tekstdrager,e73_RecordActors,f9bdb61b-0f7b-58c6-8206-b03685654c95,rg,keywords,au::21342,au::21342:1,au::21342g:1,,"dlod={""suggest"":[""/agents/people/2283594"",""au::21342"",""au::21342:1"",""ark:/83110/x0/f9bdb61b-0f7b-58c6-8206-b03685654c95"",""Dries Wieme""],""name"":""Dries Wieme"",""ark"":""ark:/83110/x0/f9bdb61b-0f7b-58c6-8206-b03685654c95"",""uri"":""/agents/people/2283594"",""id"":""au::21342:1"",""isCapacity"":false}",ark:/83110/x0/f9bdb61b-0f7b-58c6-8206-b03685654c95
c1f96640-c843-544f-a270-f6f1d888b02d,tg:lhdc:1387,lh,lhdc,Tekstdrager,e73_RecordActors,31a2f4b8-51ac-51e3-bb47-860bbc17f85a,rg,keywords,au::9613,au::9613:1,au::9613g:1,,"dlod={""suggest"":[""/agents/people/1028591"",""au::9613"",""au::9613:1"",""ark:/83110/x0/31a2f4b8-51ac-51e3-bb47-860bbc17f85a"",""Bert Janssens""],""name"":""Bert Janssens"",""ark"":""ark:/83110/x0/31a2f4b8-51ac-51e3-bb47-860bbc17f85a"",""uri"":""/agents/people/1028591"",""id"":""au::9613:1"",""isCapacity"":false}",ark:/83110/x0/31a2f4b8-51ac-51e3-bb47-860bbc17f85a
01ae782e-a06f-51ab-81d4-a97fcc857fcf,tg:lhdc:459,lh,lhdc,Tekstdrager,e73_RecordActors,dcb62a22-267c-5384-b65b-f33e57854228,rg,keywords,au::15899,au::15899:1,au::15899g:1,,"dlod={""suggest"":[""/agents/people/1701193"",""au::15899"",""au::15899:1"",""ark:/83110/x0/dcb62a22-267c-5384-b65b-f33e57854228"",""Frans Roggen""],""name"":""Frans Roggen"",""ark"":""ark:/83110/x0/dcb62a22-267c-5384-b65b-f33e57854228"",""uri"":""/agents/people/1701193"",""id"":""au::15899:1"",""isCapacity"":false}",ark:/83110/x0/dcb62a22-267c-5384-b65b-f33e57854228
