ResourceID,brocade.id,museum,dataset,resource_model,card,ire.isaar.uuid,source_ire_type,Original Entity Type,source_code,au_code,g_code,Original Entity Note,Original Entity Widget,Original Entity Identifier,matched on
66eb60de-24a9-5936-ac97-848778181837,tg:lhdc:21,lh,lhdc,Tekstdrager,e73_Titles,fa1d89bb-f4e3-5861-b0a3-0ccd36d7c6ed,vb,keywords,au::978,au::978:1,au::978g:1,,"dlod={""suggest"":[""/agents/people/104646"",""au::978"",""au::978:1"",""ark:/83110/x0/fa1d89bb-f4e3-5861-b0a3-0ccd36d7c6ed"",""Jules Baetes"",""ark:/83110/x0/9f7021ae-3b0b-5417-9bba-7be290dfdba0""],""name"":""Jules Baetes"",""ark"":""ark:/83110/x0/9f7021ae-3b0b-5417-9bba-7be290dfdba0"",""uri"":""/agents/people/104646"",""id"":""au::978:1"",""resourceArk"":""ark:/83110/x0/fa1d89bb-f4e3-5861-b0a3-0ccd36d7c6ed"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/fa1d89bb-f4e3-5861-b0a3-0ccd36d7c6ed,au_code
1113b72a-64c9-5afa-b425-e88af29d3c48,tg:lhdc:4460,lh,lhdc,Tekstdrager,e73_Titles,0647dfdf-32f3-5f8d-9214-52498374efb5,kw,keywords,au::3602,au::3602:1,au::3602g:1,,"dlod={""suggest"":[""/agents/people/385414"",""au::3602"",""au::3602:1"",""ark:/83110/x0/0647dfdf-32f3-5f8d-9214-52498374efb5"",""Hendrik Caspeele"",""ark:/83110/x0/93b45262-f881-5db6-875a-d7d05d7523c2""],""name"":""Hendrik Caspeele"",""ark"":""ark:/83110/x0/93b45262-f881-5db6-875a-d7d05d7523c2"",""uri"":""/agents/people/385414"",""id"":""au::3602:1"",""resourceArk"":""ark:/83110/x0/0647dfdf-32f3-5f8d-9214-52498374efb5"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/0647dfdf-32f3-5f8d-9214-52498374efb5,au_code
5865afa1-c82b-5bb6-9e12-1c1bce037c1b,tg:lhdc:364,lh,lhdc,Tekstdrager,e73_Titles,a3d2781d-bd51-5916-bb03-d0f7670b9a88,kw,keywords,au::112242,au::112242:1,au::112242g:1,,"dlod={""suggest"":[""/agents/corporate_entities/12009894"",""au::112242"",""au::112242:1"",""ark:/83110/x0/a3d2781d-bd51-5916-bb03-d0f7670b9a88"",""Maetschappy van Rhetorika te Wareghem 'Kunst en Eendragt'"",""ark:/83110/x0/cb323180-0643-55e2-98b7-4eedd611d4b9""],""name"":""Maetschappy van Rhetorika te Wareghem 'Kunst en Eendragt'"",""ark"":""ark:/83110/x0/cb323180-0643-55e2-98b7-4eedd611d4b9"",""uri"":""/agents/corporate_entities/12009894"",""id"":""au::112242:1"",""resourceArk"":""ark:/83110/x0/a3d2781d-bd51-5916-bb03-d0f7670b9a88"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/a3d2781d-bd51-5916-bb03-d0f7670b9a88,au_code
39093863-e094-580c-8c97-d19aa446f909,tg:lhdc:316,lh,lhdc,Tekstdrager,e73_Titles,d14daa94-8858-5f23-8dd2-cf98885b7f54,kw,keywords,au::112220,au::112220:1,au::112220g:1,,"dlod={""suggest"":[""/agents/corporate_entities/12007540"",""au::112220"",""au::112220:1"",""ark:/83110/x0/d14daa94-8858-5f23-8dd2-cf98885b7f54"",""Koninglyke Maetschappy van Schoone-Kunsten en Letterkunde te Gent"",""ark:/83110/x0/04360fb3-22fb-5555-b60b-50c99b23fc33""],""name"":""Koninglyke Maetschappy van Schoone-Kunsten en Letterkunde te Gent"",""ark"":""ark:/83110/x0/04360fb3-22fb-5555-b60b-50c99b23fc33"",""uri"":""/agents/corporate_entities/12007540"",""id"":""au::112220:1"",""resourceArk"":""ark:/83110/x0/d14daa94-8858-5f23-8dd2-cf98885b7f54"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/d14daa94-8858-5f23-8dd2-cf98885b7f54,au_code
39093863-e094-580c-8c97-d19aa446f909,tg:lhdc:316,lh,lhdc,Tekstdrager,e73_Titles,0e04debb-e795-571b-86ea-e6d890b4416f,kw,keywords,au::4559,au::4559:1,au::4559g:1,,"dlod={""suggest"":[""/agents/people/487813"",""au::4559"",""au::4559:1"",""ark:/83110/x0/0e04debb-e795-571b-86ea-e6d890b4416f"",""Jan Baptist Courtmans"",""ark:/83110/x0/2d99da8c-5cc0-57e0-aa5e-7aac94ecf353""],""name"":""Jan Baptist Courtmans"",""ark"":""ark:/83110/x0/2d99da8c-5cc0-57e0-aa5e-7aac94ecf353"",""uri"":""/agents/people/487813"",""id"":""au::4559:1"",""resourceArk"":""ark:/83110/x0/0e04debb-e795-571b-86ea-e6d890b4416f"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/0e04debb-e795-571b-86ea-e6d890b4416f,au_code
47515aaa-5ae6-5418-86a7-1bcb50269606,tg:lhdc:4811,lh,lhdc,Tekstdrager,e73_Titles,ebd00cc4-2119-5474-b6ef-42b56014bfd9,kw,keywords,au::4333,au::4333:1,au::4333g:1,,"dlod={""suggest"":[""/agents/people/463631"",""au::4333"",""au::4333:1"",""ark:/83110/x0/ebd00cc4-2119-5474-b6ef-42b56014bfd9"",""Hendrik Conscience"",""ark:/83110/x0/48f132f6-82a1-5796-9149-1daf61254f47""],""name"":""Hendrik Conscience"",""ark"":""ark:/83110/x0/48f132f6-82a1-5796-9149-1daf61254f47"",""uri"":""/agents/people/463631"",""id"":""au::4333:1"",""resourceArk"":""ark:/83110/x0/ebd00cc4-2119-5474-b6ef-42b56014bfd9"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/ebd00cc4-2119-5474-b6ef-42b56014bfd9,au_code
47515aaa-5ae6-5418-86a7-1bcb50269606,tg:lhdc:4811,lh,lhdc,Tekstdrager,e73_Titles,beb49e0f-52a8-5e0b-85f2-a7ef0c25561b,kw,keywords,au::11365,au::11365:1,au::11365g:1,,"dlod={""suggest"":[""/agents/people/1216055"",""au::11365"",""au::11365:1"",""ark:/83110/x0/beb49e0f-52a8-5e0b-85f2-a7ef0c25561b"",""Leopold I"",""ark:/83110/x0/275cb06c-3925-5ce1-92a5-d8720f294ecb""],""name"":""Leopold I"",""ark"":""ark:/83110/x0/275cb06c-3925-5ce1-92a5-d8720f294ecb"",""uri"":""/agents/people/1216055"",""id"":""au::11365:1"",""resourceArk"":""ark:/83110/x0/beb49e0f-52a8-5e0b-85f2-a7ef0c25561b"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/beb49e0f-52a8-5e0b-85f2-a7ef0c25561b,au_code
067d731e-8a25-5400-952e-f0741aec587c,tg:lhdc:306,lh,lhdc,Tekstdrager,e73_Titles,c0f3cd59-54d0-57b8-982d-2578bd37b65e,kw,keywords,au::6861,au::6861:1,au::6861g:1,,"dlod={""suggest"":[""/agents/corporate_entities/734127"",""au::6861"",""au::6861:1"",""ark:/83110/x0/c0f3cd59-54d0-57b8-982d-2578bd37b65e"",""De Fonteyne [Rederijkerskamer]"",""ark:/83110/x0/9816d58b-2dda-5535-be84-d820d1cd0eeb""],""name"":""De Fonteyne [Rederijkerskamer]"",""ark"":""ark:/83110/x0/9816d58b-2dda-5535-be84-d820d1cd0eeb"",""uri"":""/agents/corporate_entities/734127"",""id"":""au::6861:1"",""resourceArk"":""ark:/83110/x0/c0f3cd59-54d0-57b8-982d-2578bd37b65e"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/c0f3cd59-54d0-57b8-982d-2578bd37b65e,au_code
6084d459-1a22-53c4-8f70-5c95ee5f5642,tg:lhdc:4386,lh,lhdc,Tekstdrager,e73_Titles,df74ffe5-8246-5c73-827b-0f2d8ab722d1,kw,keywords,au::19127,au::19127:1,au::19127g:1,,"dlod={""suggest"":[""/agents/people/2046589"",""au::19127"",""au::19127:1"",""ark:/83110/x0/df74ffe5-8246-5c73-827b-0f2d8ab722d1"",""Anton van de Velde"",""ark:/83110/x0/83e60030-d0dc-55cd-b037-ef18a1640505""],""name"":""Anton van de Velde"",""ark"":""ark:/83110/x0/83e60030-d0dc-55cd-b037-ef18a1640505"",""uri"":""/agents/people/2046589"",""id"":""au::19127:1"",""resourceArk"":""ark:/83110/x0/df74ffe5-8246-5c73-827b-0f2d8ab722d1"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/df74ffe5-8246-5c73-827b-0f2d8ab722d1,au_code
3fdd3fdd-1139-5122-9a3a-749efde482be,tg:lhdc:4396,lh,lhdc,Tekstdrager,e73_Titles,92bc7fc6-c47e-5eb3-81a5-1ba96d9862de,kw,keywords,au::19056,au::19056:1,au::19056g:1,,"dlod={""suggest"":[""/agents/people/2038992"",""au::19056"",""au::19056:1"",""ark:/83110/x0/92bc7fc6-c47e-5eb3-81a5-1ba96d9862de"",""Dirk Vansina"",""ark:/83110/x0/da0eff58-4d21-5e6f-929b-69e17a2d7670""],""name"":""Dirk Vansina"",""ark"":""ark:/83110/x0/da0eff58-4d21-5e6f-929b-69e17a2d7670"",""uri"":""/agents/people/2038992"",""id"":""au::19056:1"",""resourceArk"":""ark:/83110/x0/92bc7fc6-c47e-5eb3-81a5-1ba96d9862de"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/92bc7fc6-c47e-5eb3-81a5-1ba96d9862de,au_code
