ResourceID,brocade.id,card,order,source_field,source_code,Genre Type
87756c75-3d24-56a8-87c3-1a7e0ba8888c,tg:lhhs:14757,e73_GenreTypes,1,kenmerken.lhgenrehs,dr,drama (literary genre)
989a84ee-4331-5c51-a27c-fcbec1cea451,tg:lhhs:4716,e73_GenreTypes,1,kenmerken.lhgenrehs,pz,poetry
5756095f-db21-55bf-af7b-578a0d4ec98a,tg:lhhs:20300,e73_GenreTypes,1,kenmerken.lhgenrehs,vp,verhalend proza
b41ef192-f050-52ce-a030-2644e76aa391,tg:lhhs:11171,e73_GenreTypes,1,kenmerken.lhgenrehs,pz,poetry
1c07d4c8-f1ec-53b2-9a27-503f425b739b,tg:lhhs:1130,e73_GenreTypes,1,kenmerken.lhgenrehs,vp,verhalend proza
e6a6328b-4f2e-5d93-8c52-beec1b544f57,tg:lhhs:9285,e73_GenreTypes,1,kenmerken.lhgenrehs,pz,poetry
eb8adf4a-e684-5a07-bade-8253dc231856,tg:lhhs:3750,e73_GenreTypes,1,kenmerken.lhgenrehs,vp,verhalend proza
d7b9bfc2-84d1-5736-8a4f-b51e1ccabe8a,tg:lhhs:13711,e73_GenreTypes,1,kenmerken.lhgenrehs,pz,poetry
74974cd2-3927-55de-8181-608327fb59b6,tg:lhhs:6176,e73_GenreTypes,1,kenmerken.lhgenrehs,pz,poetry
e3020193-c3b6-53d4-b6e0-7cc0031ad455,tg:lhhs:16137,e73_GenreTypes,1,kenmerken.lhgenrehs,dr,drama (literary genre)
556e0d67-b030-5dfb-81cc-6794f0e76528,tg:lhhs:10503,e73_GenreTypes,1,kenmerken.lhgenrehs,vp,verhalend proza
9db5aecd-fda7-5238-9fe5-11d67ff8d3ee,tg:lhhs:20278,e73_GenreTypes,1,kenmerken.lhgenrehs,vp,verhalend proza
d456427e-5a05-589a-a271-7a304b06fbb4,tg:lhhs:15325,e73_GenreTypes,1,kenmerken.lhgenrehs,pz,poetry
c5d728fe-3478-5518-bd03-2e43d8f88c3a,tg:lhhs:598,e73_GenreTypes,1,kenmerken.lhgenrehs,bp,beschouwend proza
702222dc-91b7-565d-a811-43b9c383e76b,tg:lhhs:1048,e73_GenreTypes,1,kenmerken.lhgenrehs,pz,poetry
2119fdaf-6a7a-5b9a-8773-36baf82a6c5f,tg:lhhs:5364,e73_GenreTypes,1,kenmerken.lhgenrehs,vp,verhalend proza
4e227b3a-6240-55a5-a4e3-4bd19cda796b,tg:lhhs:6997,e73_GenreTypes,1,kenmerken.lhgenrehs,pz,poetry
eefaa762-2a8a-59bb-a826-d162463f522a,tg:lhhs:7504,e73_GenreTypes,1,kenmerken.lhgenrehs,bp,beschouwend proza
d8bcf3e4-4bda-5ffe-87f7-cbcdaede3e14,tg:lhhs:3628,e73_GenreTypes,1,kenmerken.lhgenrehs,pz,poetry
0b2bbc05-7bc3-5149-b303-a03d8787efbe,tg:lhhs:2322,e73_GenreTypes,1,kenmerken.lhgenrehs,bp,beschouwend proza
c26d6d11-0476-5bc9-8f54-9da2d765db03,tg:lhhs:12363,e73_GenreTypes,1,kenmerken.lhgenrehs,bp,beschouwend proza
e15fb9a8-bde5-5418-8278-7f5f0c7ce9ff,tg:lhhs:31,e73_GenreTypes,1,kenmerken.lhgenrehs,bp,beschouwend proza
4c6929b8-d0f2-5ea6-915c-9ca31f017480,tg:lhhs:11990,e73_GenreTypes,1,kenmerken.lhgenrehs,vp,verhalend proza
