ResourceID,brocade.id,card,order,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Note,Production Actor Widget,Production Actor Identifier
fced93b4-f3f4-5440-9dc4-49449a530804,tg:lhdc:4235_#1,e22_ProductionActors,1,34ec6c01-5c25-5f39-8e7d-c09d91111453,au::1458,ui,publishers,,,
834dcdff-3177-5b32-99ee-27028c083359,tg:lhdc:3595_#1,e22_ProductionActors,1,34ec6c01-5c25-5f39-8e7d-c09d91111453,au::1458,ui,publishers,,,
70192ab4-2fb3-5305-8f0a-9c1f4fd557e4,tg:lhdc:4386_#1,e22_ProductionActors,1,34ec6c01-5c25-5f39-8e7d-c09d91111453,au::1458,ui,publishers,,,
d0ce1088-c016-5005-b00d-1e0f1748f16a,tg:lhdc:4396_#1,e22_ProductionActors,1,34ec6c01-5c25-5f39-8e7d-c09d91111453,au::1458,ui,publishers,,,
2895a21f-5ede-5262-bdfe-b4de51fb9c61,tg:lhdc:4257_#1,e22_ProductionActors,1,34ec6c01-5c25-5f39-8e7d-c09d91111453,au::1458,ui,publishers,,,
57740f30-e2b8-538b-a1a5-3cea2d6367dc,tg:lhdc:3986_#1,e22_ProductionActors,1,34ec6c01-5c25-5f39-8e7d-c09d91111453,au::1458,ui,publishers,,,
0e42843a-143b-58a2-aaf4-a7168b3062b3,tg:lhdc:1947_#1,e22_ProductionActors,1,34ec6c01-5c25-5f39-8e7d-c09d91111453,au::1458,ui,publishers,,,
ca696ed0-3774-526b-9dd2-fe04817ac6f5,tg:lhdc:3561_#1,e22_ProductionActors,1,34ec6c01-5c25-5f39-8e7d-c09d91111453,au::1458,ui,publishers,,,
ec9cd090-40d9-5f2b-af48-50f55d0102de,tg:lhdc:3617_#1,e22_ProductionActors,1,34ec6c01-5c25-5f39-8e7d-c09d91111453,au::1458,ui,publishers,,,
6e0afbee-0e43-5f4c-9efb-3d3218f155a6,tg:lhdc:3607_#1,e22_ProductionActors,1,34ec6c01-5c25-5f39-8e7d-c09d91111453,au::1458,ui,publishers,,,
96ff9496-01d9-5fbc-8ca1-9027b80540e7,tg:lhdc:3513_#1,e22_ProductionActors,1,34ec6c01-5c25-5f39-8e7d-c09d91111453,au::1458,ui,publishers,,,
4d36b60d-fc6d-5186-a411-6662fd1583ce,tg:lhdc:4278_#1,e22_ProductionActors,1,34ec6c01-5c25-5f39-8e7d-c09d91111453,au::1458,ui,publishers,,,
d77772bf-719a-5352-a5bf-e793c4f140a4,tg:lhdc:3535_#1,e22_ProductionActors,1,34ec6c01-5c25-5f39-8e7d-c09d91111453,au::1458,ui,publishers,,,
07459cad-e06b-5653-8901-ed31d3743c4c,tg:lhdc:4573_#1,e22_ProductionActors,1,34ec6c01-5c25-5f39-8e7d-c09d91111453,au::1458,ui,publishers,,,
5ce74b9d-3189-567a-9960-a14179b39c95,tg:lhdc:4326_#1,e22_ProductionActors,1,34ec6c01-5c25-5f39-8e7d-c09d91111453,au::1458,ui,publishers,,,
d5abe4f5-f15d-5492-a3c0-af884a7d5253,tg:lhdc:4040_#1,e22_ProductionActors,1,34ec6c01-5c25-5f39-8e7d-c09d91111453,au::1458,ui,publishers,,,
