ResourceID,ResourceID_mat,mmb_id,mmb_id_mat,card,order,Material Records,source_field,source_date,Copyright Type,Copyright Revision Date,Object Identifier,Object Number Type,Object Number,Other Identifier Type,Other Identifier,Title Type,Title,Record Type,Description Type,Description Language,Description,Annotation Type,Annotation Language,Annotation,au_code,au_name,Creation Actor Role,Creation Actor Widget,Start Date,End Date
0c7ad28a-f03b-5752-ba46-17ec212ed0f8,,tg:mmbtk:12,,AA,0,,,,,,https://data.museummayervandenbergh.be/ark:/59511/0c7ad28a-f03b-5752-ba46-17ec212ed0f8,object identifier,tg:mmbtk:12,record identifiers,MMB.A.2511,constructed titles,Tekeningen van bloemen en planten,Tekeningen,descriptive note,Nederlands,Dicodyledones - Monopétales. Hypocorollie (Planche XI),remarks,Nederlands,Getekend links onder Henriette Vandenbergh. Tekeningen MMB.A.2501-MMB.A.2518 oorspronkelijk opgeborgen in een blauwe omslag met opschrift Melle Henriette Van den Berg de la part de Melle [...] Lacroix (MMB.A.2519),,,,,,
0c7ad28a-f03b-5752-ba46-17ec212ed0f8,,tg:mmbtk:12,,e73_Copyrights,,,begindatum,1850,No Copyright - Public Domain Mark 1.0,1965,,,,,,,,,,,,,,,,,,,,
0c7ad28a-f03b-5752-ba46-17ec212ed0f8,,tg:mmbtk:12,,e73_CreationActors,1,,,,,,,,,,,,,,,,,,,,au::115207:1,"Mayer van den Bergh, Henriëtte",artists (visual artists),"dlod={""suggest"":[""/agents/people/12220362"",""au::115207"",""au::115207:1"",""ark:/83110/x0/40bc60cd-eeb9-5d4a-88b2-e164ea534a59"",""Henriëtte Mayer van den Bergh"",""ark:/83110/x0/17d7bada-dd9b-5869-b181-c1ce6de4eee1""],""name"":""Henriëtte Mayer van den Bergh"",""ark"":""ark:/83110/x0/17d7bada-dd9b-5869-b181-c1ce6de4eee1"",""uri"":""/agents/people/12220362"",""id"":""au::115207:1"",""resourceArk"":""ark:/83110/x0/40bc60cd-eeb9-5d4a-88b2-e164ea534a59"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",,
0c7ad28a-f03b-5752-ba46-17ec212ed0f8,,tg:mmbtk:12,,e73_CreationTimeSpans,1,,,,,,,,,,,,,,,,,,,,,,,,1850,1858
0c7ad28a-f03b-5752-ba46-17ec212ed0f8,287ab2f1-1e3e-523c-8ce2-6eb4dfc46c9b,tg:mmbtk:12,tg:mmbtk:12_#1,e73_MaterialRecords,1,"[{""resourceId"": ""287ab2f1-1e3e-523c-8ce2-6eb4dfc46c9b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""ebb58c01-0a9d-4dff-be6f-fd048ae5b565"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,,,,,,
0e6625ef-48ba-56ad-9380-98181c7cbf25,,tg:mmbtk:16,,AA,0,,,,,,https://data.museummayervandenbergh.be/ark:/59511/0e6625ef-48ba-56ad-9380-98181c7cbf25,object identifier,tg:mmbtk:16,record identifiers,MMB.A.2515,constructed titles,Tekeningen van bloemen en planten,Tekeningen,descriptive note,Nederlands,Dicodyledones - Polypétales. Hypopétalie (Planche XV),remarks,Nederlands,Getekend links onder Henriette Vandenbergh. Tekeningen MMB.A.2501-MMB.A.2518 oorspronkelijk opgeborgen in een blauwe omslag met opschrift Melle Henriette Van den Berg de la part de Melle [...] Lacroix (MMB.A.2519),,,,,,
0e6625ef-48ba-56ad-9380-98181c7cbf25,,tg:mmbtk:16,,e73_Copyrights,,,begindatum,1850,No Copyright - Public Domain Mark 1.0,1965,,,,,,,,,,,,,,,,,,,,
0e6625ef-48ba-56ad-9380-98181c7cbf25,,tg:mmbtk:16,,e73_CreationActors,1,,,,,,,,,,,,,,,,,,,,au::115207:1,"Mayer van den Bergh, Henriëtte",artists (visual artists),"dlod={""suggest"":[""/agents/people/12220362"",""au::115207"",""au::115207:1"",""ark:/83110/x0/40bc60cd-eeb9-5d4a-88b2-e164ea534a59"",""Henriëtte Mayer van den Bergh"",""ark:/83110/x0/17d7bada-dd9b-5869-b181-c1ce6de4eee1""],""name"":""Henriëtte Mayer van den Bergh"",""ark"":""ark:/83110/x0/17d7bada-dd9b-5869-b181-c1ce6de4eee1"",""uri"":""/agents/people/12220362"",""id"":""au::115207:1"",""resourceArk"":""ark:/83110/x0/40bc60cd-eeb9-5d4a-88b2-e164ea534a59"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",,
0e6625ef-48ba-56ad-9380-98181c7cbf25,,tg:mmbtk:16,,e73_CreationTimeSpans,1,,,,,,,,,,,,,,,,,,,,,,,,1850,1858
0e6625ef-48ba-56ad-9380-98181c7cbf25,292606a5-1be4-5872-bb12-380aca0a3397,tg:mmbtk:16,tg:mmbtk:16_#1,e73_MaterialRecords,1,"[{""resourceId"": ""292606a5-1be4-5872-bb12-380aca0a3397"", ""ontologyProperty"": """", ""resourceXresourceId"": ""b818b9e9-71a3-4a05-8b13-f72d48b21251"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,,,,,,
1d2b7bbf-1b65-5d19-8cff-321195d587de,,tg:mmbtk:7,,AA,0,,,,,,https://data.museummayervandenbergh.be/ark:/59511/1d2b7bbf-1b65-5d19-8cff-321195d587de,object identifier,tg:mmbtk:7,record identifiers,MMB.A.2506,constructed titles,Tekeningen van bloemen en planten,Tekeningen,descriptive note,Nederlands,Acotyledones - Amphigames et Gryptogames  (Planche VI),remarks,Nederlands,Getekend links onder Henriette Vandenbergh. Tekeningen MMB.A.2501-MMB.A.2518 oorspronkelijk opgeborgen in een blauwe omslag met opschrift Melle Henriette Van den Berg de la part de Melle [...] Lacroix (MMB.A.2519),,,,,,
1d2b7bbf-1b65-5d19-8cff-321195d587de,,tg:mmbtk:7,,e73_Copyrights,,,begindatum,1850,No Copyright - Public Domain Mark 1.0,1965,,,,,,,,,,,,,,,,,,,,
1d2b7bbf-1b65-5d19-8cff-321195d587de,,tg:mmbtk:7,,e73_CreationActors,1,,,,,,,,,,,,,,,,,,,,au::115207:1,"Mayer van den Bergh, Henriëtte",artists (visual artists),"dlod={""suggest"":[""/agents/people/12220362"",""au::115207"",""au::115207:1"",""ark:/83110/x0/40bc60cd-eeb9-5d4a-88b2-e164ea534a59"",""Henriëtte Mayer van den Bergh"",""ark:/83110/x0/17d7bada-dd9b-5869-b181-c1ce6de4eee1""],""name"":""Henriëtte Mayer van den Bergh"",""ark"":""ark:/83110/x0/17d7bada-dd9b-5869-b181-c1ce6de4eee1"",""uri"":""/agents/people/12220362"",""id"":""au::115207:1"",""resourceArk"":""ark:/83110/x0/40bc60cd-eeb9-5d4a-88b2-e164ea534a59"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",,
1d2b7bbf-1b65-5d19-8cff-321195d587de,,tg:mmbtk:7,,e73_CreationTimeSpans,1,,,,,,,,,,,,,,,,,,,,,,,,1850,1858
1d2b7bbf-1b65-5d19-8cff-321195d587de,35b55d11-ef04-56ae-aadb-ba1cc68d2d17,tg:mmbtk:7,tg:mmbtk:7_#1,e73_MaterialRecords,1,"[{""resourceId"": ""35b55d11-ef04-56ae-aadb-ba1cc68d2d17"", ""ontologyProperty"": """", ""resourceXresourceId"": ""5aa973f3-1287-4075-a33b-3ad391255716"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,,,,,,
231cd7d5-7048-5452-b4ec-77986a0e1a9a,,tg:mmbtk:18,,AA,0,,,,,,https://data.museummayervandenbergh.be/ark:/59511/231cd7d5-7048-5452-b4ec-77986a0e1a9a,object identifier,tg:mmbtk:18,record identifiers,MMB.A.2517,constructed titles,Tekeningen van bloemen en planten,Tekeningen,descriptive note,Nederlands,Dicodyledones - Polypétales. Peripétalie (Planche XVII),remarks,Nederlands,Getekend links onder Henriette Vandenbergh. Tekeningen MMB.A.2501-MMB.A.2518 oorspronkelijk opgeborgen in een blauwe omslag met opschrift Melle Henriette Van den Berg de la part de Melle [...] Lacroix (MMB.A.2519),,,,,,
231cd7d5-7048-5452-b4ec-77986a0e1a9a,,tg:mmbtk:18,,e73_Copyrights,,,begindatum,1850,No Copyright - Public Domain Mark 1.0,1965,,,,,,,,,,,,,,,,,,,,
231cd7d5-7048-5452-b4ec-77986a0e1a9a,,tg:mmbtk:18,,e73_CreationActors,1,,,,,,,,,,,,,,,,,,,,au::115207:1,"Mayer van den Bergh, Henriëtte",artists (visual artists),"dlod={""suggest"":[""/agents/people/12220362"",""au::115207"",""au::115207:1"",""ark:/83110/x0/40bc60cd-eeb9-5d4a-88b2-e164ea534a59"",""Henriëtte Mayer van den Bergh"",""ark:/83110/x0/17d7bada-dd9b-5869-b181-c1ce6de4eee1""],""name"":""Henriëtte Mayer van den Bergh"",""ark"":""ark:/83110/x0/17d7bada-dd9b-5869-b181-c1ce6de4eee1"",""uri"":""/agents/people/12220362"",""id"":""au::115207:1"",""resourceArk"":""ark:/83110/x0/40bc60cd-eeb9-5d4a-88b2-e164ea534a59"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",,
231cd7d5-7048-5452-b4ec-77986a0e1a9a,,tg:mmbtk:18,,e73_CreationTimeSpans,1,,,,,,,,,,,,,,,,,,,,,,,,1850,1858
231cd7d5-7048-5452-b4ec-77986a0e1a9a,44b787db-6025-590f-a670-526337c10576,tg:mmbtk:18,tg:mmbtk:18_#1,e73_MaterialRecords,1,"[{""resourceId"": ""44b787db-6025-590f-a670-526337c10576"", ""ontologyProperty"": """", ""resourceXresourceId"": ""de4b15e9-4aa9-4c29-86f2-8880d2890eb7"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,,,,,,
2498657f-a53d-5a72-b2fe-c8b6b918a6d1,,tg:mmbtk:9,,AA,0,,,,,,https://data.museummayervandenbergh.be/ark:/59511/2498657f-a53d-5a72-b2fe-c8b6b918a6d1,object identifier,tg:mmbtk:9,record identifiers,MMB.A.2508,constructed titles,Tekeningen van bloemen en planten,Tekeningen,descriptive note,Nederlands,Monocotyledones - Monoperigynie (Planche VIII),remarks,Nederlands,Getekend links onder Henriette Vandenbergh. Tekeningen MMB.A.2501-MMB.A.2518 oorspronkelijk opgeborgen in een blauwe omslag met opschrift Melle Henriette Van den Berg de la part de Melle [...] Lacroix (MMB.A.2519),,,,,,
2498657f-a53d-5a72-b2fe-c8b6b918a6d1,,tg:mmbtk:9,,e73_Copyrights,,,begindatum,1850,No Copyright - Public Domain Mark 1.0,1965,,,,,,,,,,,,,,,,,,,,
2498657f-a53d-5a72-b2fe-c8b6b918a6d1,,tg:mmbtk:9,,e73_CreationActors,1,,,,,,,,,,,,,,,,,,,,au::115207:1,"Mayer van den Bergh, Henriëtte",artists (visual artists),"dlod={""suggest"":[""/agents/people/12220362"",""au::115207"",""au::115207:1"",""ark:/83110/x0/40bc60cd-eeb9-5d4a-88b2-e164ea534a59"",""Henriëtte Mayer van den Bergh"",""ark:/83110/x0/17d7bada-dd9b-5869-b181-c1ce6de4eee1""],""name"":""Henriëtte Mayer van den Bergh"",""ark"":""ark:/83110/x0/17d7bada-dd9b-5869-b181-c1ce6de4eee1"",""uri"":""/agents/people/12220362"",""id"":""au::115207:1"",""resourceArk"":""ark:/83110/x0/40bc60cd-eeb9-5d4a-88b2-e164ea534a59"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",,
2498657f-a53d-5a72-b2fe-c8b6b918a6d1,,tg:mmbtk:9,,e73_CreationTimeSpans,1,,,,,,,,,,,,,,,,,,,,,,,,1850,1858
2498657f-a53d-5a72-b2fe-c8b6b918a6d1,021df5ca-73c7-53b1-be94-f706e7de97ed,tg:mmbtk:9,tg:mmbtk:9_#1,e73_MaterialRecords,1,"[{""resourceId"": ""021df5ca-73c7-53b1-be94-f706e7de97ed"", ""ontologyProperty"": """", ""resourceXresourceId"": ""d327ae1a-1cf4-426a-8522-805985c1d9f9"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,,,,,,
