ResourceID,mmb_id_mat,card,order,Acquisition Widget,Archive Widget,Image URL,Image Manifest,Image Manifest Type,Image URL Type,source_field,source_date,Restriction Type,Keeper,Object Number,Object Number Type,Object Identifier,Warehouse Location (begin),Warehouse Location (end),Material,Production Technique Type,Object Type,Document status
0015ee19-f806-5f76-943c-473274f4fed4,,AA,0,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbbr:2058_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/0015ee19-f806-5f76-943c-473274f4fed4,Doos A.XV,,ink,handwriting,letters (correspondence),
0015ee19-f806-5f76-943c-473274f4fed4,tg:mmbbr:2058_#1,e22_Archives,1,,"dlod={""name"":""Correspondence II"",""ark"":""ark:/59511/x0/6371a7db-4bff-547d-accb-6e38f703fb3c"",""uri"":""/repositories/15/archival_objects/20385181"",""id"":""isad:mmb:18"",""capacity"":""Correspondence II"",""isCapacity"":true,""orgID"":""mmb"",""suggestType"":""archiveobject""}",,,,,,,,,,,,,,,,,
0015ee19-f806-5f76-943c-473274f4fed4,tg:mmbbr:2058_#1,e22_Images,1,,,https://dams.antwerpen.be/asset/YgWJZDifOSXLPuD7OdwbQQtw,https://dams.antwerpen.be/iiif/YgWJZDifOSXLPuD7OdwbQQtw/manifest,DAMS Manifest,DAMS Image,,,,,,,,,,,,,
0015ee19-f806-5f76-943c-473274f4fed4,tg:mmbbr:2058_#1,e22_UsageRestrictions,,,,,,,,begindatum,1904,permission required,,,,,,,,,,
00a02dd3-bd76-557e-a439-9dc8ff064000,,AA,0,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbbr:72_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/00a02dd3-bd76-557e-a439-9dc8ff064000,Doos A.I,,ink,handwriting,letters (correspondence),
00a02dd3-bd76-557e-a439-9dc8ff064000,tg:mmbbr:72_#1,e22_Archives,1,,"dlod={""name"":""Stukken betreffende de collectievorming"",""ark"":""ark:/59511/x0/31f31562-e656-581b-8848-203f12243a57"",""uri"":""/repositories/15/archival_objects/20385167"",""id"":""isad:mmb:4"",""capacity"":""Stukken betreffende de collectievorming"",""isCapacity"":true,""orgID"":""mmb"",""suggestType"":""archiveobject""}",,,,,,,,,,,,,,,,,
00a02dd3-bd76-557e-a439-9dc8ff064000,tg:mmbbr:72_#1,e22_Images,1,,,https://dams.antwerpen.be/asset/xLAgOGdmDUIXBhFseFsQtIHD#id,https://dams.antwerpen.be/iiif/xLAgOGdmDUIXBhFseFsQtIHD#id/manifest,DAMS Manifest,DAMS Image,,,,,,,,,,,,,
00a02dd3-bd76-557e-a439-9dc8ff064000,tg:mmbbr:72_#1,e22_UsageRestrictions,,,,,,,,begindatum,1888,open,,,,,,,,,,
00cee83e-f132-5103-a6e9-f186cab54431,,AA,0,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbbr:1754_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/00cee83e-f132-5103-a6e9-f186cab54431,Doos A.XIII,,ink,handwriting,letters (correspondence),
00cee83e-f132-5103-a6e9-f186cab54431,tg:mmbbr:1754_#1,e22_Archives,1,,"dlod={""name"":""Correspondence I"",""ark"":""ark:/59511/x0/47cc74ba-4ebd-5edf-9b51-2fb0c51e8ba1"",""uri"":""/repositories/15/archival_objects/20385180"",""id"":""isad:mmb:17"",""capacity"":""Correspondence I"",""isCapacity"":true,""orgID"":""mmb"",""suggestType"":""archiveobject""}",,,,,,,,,,,,,,,,,
