ResourceID,card,mmb_id,order,source_field,External Relation URL Prefix,External Relation URL,External Relation,External Relation URL Type,Language,ResourceID_mat,mmb_id_mat,Material Records,source_date,Copyright Type,Copyright Revision Date,Object Identifier,Object Number Type,Object Number,Other Identifier Type,Other Identifier,Title Type,Title,Title Language,Record Type,Annotation Type,Annotation Language,Annotation,Description Type,Description Language,Description,au_code,au_name,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Start Date,End Date,Connected Subject Role,Connected Subject Widget
0026923d-dfd2-5f6d-a4e2-b8f73b29ca20,AA,tg:mmbdc:5,0,,,,,,,,,,,,,https://data.museummayervandenbergh.be/ark:/59511/0026923d-dfd2-5f6d-a4e2-b8f73b29ca20,object identifier,tg:mmbdc:5,record identifiers,MMB.A.1193,constructed titles,Uitnodiging: Huwelijk Ghislaine Mayer van den Bergh met Robert de Roest d'Alkemade,Dutch (language),Documenten,,,,,,,,,,,,,,,
0026923d-dfd2-5f6d-a4e2-b8f73b29ca20,e73_ConnectedSubjects,tg:mmbdc:5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,au::115214:1,"Mayer van den Bergh, Ghislaine",,,,,,subjects (content of works),"dlod={""suggest"":[""/agents/people/12220359"",""au::115214"",""au::115214:1"",""ark:/83110/x0/623d6b47-9b97-5aad-ae38-98948f49f47b"",""Ghislaine Mayer van den Bergh"",""ark:/83110/x0/3897d69c-3a53-5aec-9f39-6e3eb7103be4""],""name"":""Ghislaine Mayer van den Bergh"",""ark"":""ark:/83110/x0/3897d69c-3a53-5aec-9f39-6e3eb7103be4"",""uri"":""/agents/people/12220359"",""id"":""au::115214:1"",""resourceArk"":""ark:/83110/x0/623d6b47-9b97-5aad-ae38-98948f49f47b"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}"
0026923d-dfd2-5f6d-a4e2-b8f73b29ca20,e73_ConnectedSubjects,tg:mmbdc:5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,au::115215:1,"Roest d'Alkemade, Robert de",,,,,,subjects (content of works),"dlod={""suggest"":[""/agents/people/12220360"",""au::115215"",""au::115215:1"",""ark:/83110/x0/9f911181-eea0-5c58-81da-9dd61f170d2b"",""Robert de Roest d'Alkemade"",""ark:/83110/x0/e4142327-0d32-50b3-9741-90c55e23bc2e""],""name"":""Robert de Roest d'Alkemade"",""ark"":""ark:/83110/x0/e4142327-0d32-50b3-9741-90c55e23bc2e"",""uri"":""/agents/people/12220360"",""id"":""au::115215:1"",""resourceArk"":""ark:/83110/x0/9f911181-eea0-5c58-81da-9dd61f170d2b"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}"
0026923d-dfd2-5f6d-a4e2-b8f73b29ca20,e73_Copyrights,tg:mmbdc:5,,begindatum,,,,,,,,,,Copyright Undetermined,,,,,,,,,,,,,,,,,,,,,,,,,
0026923d-dfd2-5f6d-a4e2-b8f73b29ca20,e73_CreationPlaces,,,taal 1,,,,,French (language),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0026923d-dfd2-5f6d-a4e2-b8f73b29ca20,e73_MaterialRecords,tg:mmbdc:5,1,,,,,,,03e4637b-85a7-56bb-a14e-79f36c830407,tg:mmbdc:5_#1,"[{""resourceId"": ""03e4637b-85a7-56bb-a14e-79f36c830407"", ""ontologyProperty"": """", ""resourceXresourceId"": ""78dd77a0-f0ce-4087-bb52-c040e9101a37"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,,,,,,,,,
00b061e8-c12f-5b32-85a0-8ee6d4a9e56b,AA,tg:mmbdc:44,0,,,,,,,,,,,,,https://data.museummayervandenbergh.be/ark:/59511/00b061e8-c12f-5b32-85a0-8ee6d4a9e56b,object identifier,tg:mmbdc:44,record identifiers,MMB.A.1284,constructed titles,Uitnodiging voor een diner en menu,Dutch (language),Documenten,,,,descriptive note,Nederlands,Diner die plaatsvond in de 'Taveerne geheeten den Aenghenaemen Hoff in tsoo-geseydt Oudt Antwerpen',,,,,,,,,
00b061e8-c12f-5b32-85a0-8ee6d4a9e56b,e73_Copyrights,tg:mmbdc:44,,begindatum,,,,,,,,,1894,No Known Copyright,2009,,,,,,,,,,,,,,,,,,,,,,,,
00b061e8-c12f-5b32-85a0-8ee6d4a9e56b,e73_CreationPlaces,,,taal 1,,,,,Dutch (language),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00b061e8-c12f-5b32-85a0-8ee6d4a9e56b,e73_CreationTimeSpans,tg:mmbdc:44,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1894-08-14,,,
00b061e8-c12f-5b32-85a0-8ee6d4a9e56b,e73_MaterialRecords,tg:mmbdc:44,1,,,,,,,6a5231b7-ae21-565f-9c19-f9f5624a6ddd,tg:mmbdc:44_#1,"[{""resourceId"": ""6a5231b7-ae21-565f-9c19-f9f5624a6ddd"", ""ontologyProperty"": """", ""resourceXresourceId"": ""c303754d-f981-45a0-a062-14203a114583"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,,,,,,,,,
01387253-bbda-50a3-8790-18c69b47734d,AA,tg:mmbdc:1,0,,,,,,,,,,,,,https://data.museummayervandenbergh.be/ark:/59511/01387253-bbda-50a3-8790-18c69b47734d,object identifier,tg:mmbdc:1,record identifiers,MMB.A.1189,constructed titles,Communiekaartje,Dutch (language),Documenten,,,,,,,,,,,,,,,
01387253-bbda-50a3-8790-18c69b47734d,e73_ConnectedSubjects,tg:mmbdc:1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,au::115214:1,"Mayer van den Bergh, Ghislaine",,,,,,subjects (content of works),"dlod={""suggest"":[""/agents/people/12220359"",""au::115214"",""au::115214:1"",""ark:/83110/x0/623d6b47-9b97-5aad-ae38-98948f49f47b"",""Ghislaine Mayer van den Bergh"",""ark:/83110/x0/3897d69c-3a53-5aec-9f39-6e3eb7103be4""],""name"":""Ghislaine Mayer van den Bergh"",""ark"":""ark:/83110/x0/3897d69c-3a53-5aec-9f39-6e3eb7103be4"",""uri"":""/agents/people/12220359"",""id"":""au::115214:1"",""resourceArk"":""ark:/83110/x0/623d6b47-9b97-5aad-ae38-98948f49f47b"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}"
01387253-bbda-50a3-8790-18c69b47734d,e73_Copyrights,tg:mmbdc:1,,begindatum,,,,,,,,,1902,No Known Copyright,2017,,,,,,,,,,,,,,,,,,,,,,,,
