ResourceID,mmb_id_mat,card,order,Acquisition Widget,Archive Widget,source_value,Dimension Value,Dimension Type,Dimension Measurement Unit,source_field,source_date,Restriction Type,Image URL,Image Manifest,Image Manifest Type,Image URL Type,Keeper,Object Number,Object Number Type,Object Identifier,Warehouse Location (begin),Warehouse Location (end),Object Type
02762407-114b-52cb-b815-50e59376f1e2,,AA,0,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbdc:19_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/02762407-114b-52cb-b815-50e59376f1e2,Doos A.IX,,obituaries
02762407-114b-52cb-b815-50e59376f1e2,tg:mmbdc:19_#1,e22_Archives,1,,"dlod={""name"":""Familieberichten"",""ark"":""ark:/59511/x0/5967b833-75f7-50ed-b538-ee77f6d4d6f1"",""uri"":""/repositories/15/archival_objects/20385204"",""id"":""isad:mmb:41"",""capacity"":""Familieberichten"",""isCapacity"":true,""orgID"":""mmb"",""suggestType"":""archiveobject""}",,,,,,,,,,,,,,,,,,
02762407-114b-52cb-b815-50e59376f1e2,,e22_Dimensions,,,,110 x 66 mm,110,hoogte,millimeters,,,,,,,,,,,,,,
02762407-114b-52cb-b815-50e59376f1e2,,e22_Dimensions,,,,110 x 66 mm,66,breedte,millimeters,,,,,,,,,,,,,,
02762407-114b-52cb-b815-50e59376f1e2,tg:mmbdc:19_#1,e22_Images,1,,,,,,,,,,https://dams.antwerpen.be/asset/ARdEAhZtnSerYdbIZQUJDqQM,https://dams.antwerpen.be/iiif/ARdEAhZtnSerYdbIZQUJDqQM/manifest,DAMS Manifest,DAMS Image,,,,,,,
02762407-114b-52cb-b815-50e59376f1e2,tg:mmbdc:19_#1,e22_UsageRestrictions,,,,,,,,begindatum,1879,open,,,,,,,,,,,
03e4637b-85a7-56bb-a14e-79f36c830407,,AA,0,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbdc:5_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/03e4637b-85a7-56bb-a14e-79f36c830407,Doos A.IX,,files (document groupings)
03e4637b-85a7-56bb-a14e-79f36c830407,tg:mmbdc:5_#1,e22_Acquisitions,1,"dlod={""name"":""schenking door baron de Meester de Ravesteyn, 1981"",""ark"":""ark:/59511/x0/5a7a6648-1f85-5972-b3b4-98abb8c7106c"",""uri"":""/repositories/15/accessions/15048503"",""id"":""tr:mmb:5"",""date"":""1981-01-01"",""isCapacity"":false,""orgID"":""mmb"",""suggestType"":""accessions""}",,,,,,,,,,,,,,,,,,,
03e4637b-85a7-56bb-a14e-79f36c830407,tg:mmbdc:5_#1,e22_Archives,1,,"dlod={""name"":""Familieberichten"",""ark"":""ark:/59511/x0/5967b833-75f7-50ed-b538-ee77f6d4d6f1"",""uri"":""/repositories/15/archival_objects/20385204"",""id"":""isad:mmb:41"",""capacity"":""Familieberichten"",""isCapacity"":true,""orgID"":""mmb"",""suggestType"":""archiveobject""}",,,,,,,,,,,,,,,,,,
03e4637b-85a7-56bb-a14e-79f36c830407,,e22_Dimensions,,,,225 x 174 mm,225,hoogte,millimeters,,,,,,,,,,,,,,
03e4637b-85a7-56bb-a14e-79f36c830407,,e22_Dimensions,,,,225 x 174 mm,174,breedte,millimeters,,,,,,,,,,,,,,
03e4637b-85a7-56bb-a14e-79f36c830407,tg:mmbdc:5_#1,e22_Images,1,,,,,,,,,,https://dams.antwerpen.be/asset/U1nlQXD3UQxHOa4rcL3I80NM,https://dams.antwerpen.be/iiif/U1nlQXD3UQxHOa4rcL3I80NM/manifest,DAMS Manifest,DAMS Image,,,,,,,
03e4637b-85a7-56bb-a14e-79f36c830407,tg:mmbdc:5_#1,e22_UsageRestrictions,,,,,,,,begindatum,,permission required,,,,,,,,,,,
09052def-26e6-5d99-b79e-b030d0d496d1,,AA,0,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbdc:124_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/09052def-26e6-5d99-b79e-b030d0d496d1,Doos A.XII,,files (document groupings)
09052def-26e6-5d99-b79e-b030d0d496d1,tg:mmbdc:124_#1,e22_Archives,1,,"dlod={""name"":""Losse notities"",""ark"":""ark:/59511/x0/118ad384-8a4c-51fb-9a9c-5d85ec0cd339"",""uri"":""/repositories/15/archival_objects/20385175"",""id"":""isad:mmb:12"",""capacity"":""Losse notities"",""isCapacity"":true,""orgID"":""mmb"",""suggestType"":""archiveobject""}",,,,,,,,,,,,,,,,,,
09052def-26e6-5d99-b79e-b030d0d496d1,,e22_Dimensions,,,,212 x 135 mm,212,hoogte,millimeters,,,,,,,,,,,,,,
09052def-26e6-5d99-b79e-b030d0d496d1,,e22_Dimensions,,,,212 x 135 mm,135,breedte,millimeters,,,,,,,,,,,,,,
09052def-26e6-5d99-b79e-b030d0d496d1,tg:mmbdc:124_#1,e22_Images,1,,,,,,,,,,https://dams.antwerpen.be/asset/g2Zjg8Vyr7bPatwmZLY1DZOD,https://dams.antwerpen.be/iiif/g2Zjg8Vyr7bPatwmZLY1DZOD/manifest,DAMS Manifest,DAMS Image,,,,,,,
09052def-26e6-5d99-b79e-b030d0d496d1,tg:mmbdc:124_#1,e22_UsageRestrictions,,,,,,,,begindatum,1893,permission required,,,,,,,,,,,
