ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_colour_source_field,Carrier Colour,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,mpm_place_holder,Warehouse Location (begin),adm.isadPartOf,Volgnummer,Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,Material,mat_source_field,col_source_field,Material Colour,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Note,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
02189262-b087-538f-93ef-c348651adadf,tg:lhsc:1121_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhsc:1121_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/02189262-b087-538f-93ef-c348651adadf,object identifier,,,,,,,,,,,
02189262-b087-538f-93ef-c348651adadf,tg:lhsc:1121_#1,e22_AcquisitionNumbers,1,,,,234662,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02189262-b087-538f-93ef-c348651adadf,tg:lhsc:1121_#1,e22_Acquisitions,1,tr:lh:6342,"dlod={""name"":""Oningeschreven gevonden in 1986"",""ark"":""ark:/24970/x0/bc87decf-7f9a-53e4-b98f-379c8f095f5a"",""uri"":""/repositories/11/accessions/678597"",""id"":""tr:lh:6342"",""date"":""1986-11-12"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/bc87decf-7f9a-53e4-b98f-379c8f095f5a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02189262-b087-538f-93ef-c348651adadf,tg:lhsc:1121_#1,e22_Conditions,3,,,,,,note.lhconditie,"<ul>
<li>
<p>opp.vuil</p>
</li>
<li>
<p>vlekken: kleine, witte</p>
</li>
<li>
<p>lacunes: rechteroor, achteraan onder</p>
</li>
<li>
<p>krassen</p>
</li>
</ul>
<p>Conditie van de sokkel</p>
<ul>
<li>
<p>slecht aan het beeld bevestigd: kan gedraaid worden</p>
</li>
<li>
<p>opp.vuil</p>
</li>
</ul>
<p>(04/09/2001)</p>
",,,,,,,,,"<ul>
<li>
<p>opp.vuil</p>
</li>
<li>
<p>vlekken: kleine, witte</p>
</li>
<li>
<p>lacunes: rechteroor, achteraan onder</p>
</li>
<li>
<p>krassen</p>
</li>
</ul>
<p>Conditie van de sokkel</p>
<ul>
<li>
<p>slecht aan het beeld bevestigd: kan gedraaid worden</p>
</li>
<li>
<p>opp.vuil</p>
</li>
</ul>
<p>(04/09/2001)</p>
",Nederlands,condition/examination description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02189262-b087-538f-93ef-c348651adadf,tg:lhsc:1121_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatsc.lhformatvoetsc,"h 20,5 b 15 d 18",,,,,,,,,,,,,,,"h 20,5 b 15 d 18 - height, width, depth, kenmerken/lhformatsc.lhformatvoetsc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02189262-b087-538f-93ef-c348651adadf,tg:lhsc:1121_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatsc.lhformatwerksc,h 33 b 22 d 25,,,,,,,,,,,,,,,"h 33 b 22 d 25 - height, width, depth, kenmerken/lhformatsc.lhformatwerksc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02189262-b087-538f-93ef-c348651adadf,tg:lhsc:1121_#1,e22_Dimensions,,,,,,,kenmerken/lhformatsc.lhformatvoetsc,,,,,,,,,,,,,205,hoogte van voetstuk,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02189262-b087-538f-93ef-c348651adadf,tg:lhsc:1121_#1,e22_Dimensions,,,,,,,kenmerken/lhformatsc.lhformatvoetsc,,,,,,,,,,,,,150,breedte van voetstuk,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02189262-b087-538f-93ef-c348651adadf,tg:lhsc:1121_#1,e22_Dimensions,,,,,,,kenmerken/lhformatsc.lhformatvoetsc,,,,,,,,,,,,,180,diepte van voetstuk,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02189262-b087-538f-93ef-c348651adadf,tg:lhsc:1121_#1,e22_Dimensions,,,,,,,kenmerken/lhformatsc.lhformatwerksc,,,,,,,,,,,,,330,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02189262-b087-538f-93ef-c348651adadf,tg:lhsc:1121_#1,e22_Dimensions,,,,,,,kenmerken/lhformatsc.lhformatwerksc,,,,,,,,,,,,,220,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02189262-b087-538f-93ef-c348651adadf,tg:lhsc:1121_#1,e22_Dimensions,,,,,,,kenmerken/lhformatsc.lhformatwerksc,,,,,,,,,,,,,250,diepte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02189262-b087-538f-93ef-c348651adadf,tg:lhsc:1121_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,lhsc,tg:lhsc:1121_#1,K2 B 58 B,02189262-b087-538f-93ef-c348651adadf,tr:lh:6342,234662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02189262-b087-538f-93ef-c348651adadf,tg:lhsc:1121_#1,e22_Marks,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Achteraan : <em>BOSCHMANS R</em></p>
",inscriptions,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02189262-b087-538f-93ef-c348651adadf,tg:lhsc:1121_#1,e22_MaterialColour,,,,,,,,,,,,,,,,,,,,,,,,lhsc,,,,,,,,,,,,,,,stone (worked rock),kenmerken/lhtechbasissc.lhtechsc,kenmerken/lhtechbasissc.lhkleur,white (color),,,,,,,,,,,,,,,,,,,,,,,,
02189262-b087-538f-93ef-c348651adadf,tg:lhsc:1121_#1,e22_ObjectTypes,1,,,,,,kenmerken.lhgenresc,gkp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,heads (representations),,,,,,,,,,
02189262-b087-538f-93ef-c348651adadf,tg:lhsc:1121_#1,e22_UsageRestrictions,,,,,,,default_restriction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,permission required,,,,,,,,
02189262-b087-538f-93ef-c348651adadf,tg:lhsc:1121_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C1VLzdjIOCTN5VdeYVDfelsI,lhsc,https://dams.antwerpen.be/iiif/C1VLzdjIOCTN5VdeYVDfelsI/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/C1VLzdjIOCTN5VdeYVDfelsI,DAMS Image,lh,Object
