ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_colour_source_field,Carrier Colour,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,mpm_place_holder,Warehouse Location (begin),adm.isadPartOf,Volgnummer,Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,Material,mat_source_field,col_source_field,Material Colour,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Note,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
08371283-2997-53b0-add8-a66fc8d9c99f,tg:lhsc:693_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhsc:693_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/08371283-2997-53b0-add8-a66fc8d9c99f,object identifier,,,,,,,,,,,
08371283-2997-53b0-add8-a66fc8d9c99f,tg:lhsc:693_#1,e22_AcquisitionNumbers,1,,,,43592,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08371283-2997-53b0-add8-a66fc8d9c99f,tg:lhsc:693_#1,e22_Acquisitions,1,tr:lh:2301,"dlod={""name"":""Archief van Michel Looymans"",""ark"":""ark:/24970/x0/1ca01d8d-839b-547a-ad5f-8aaa428dc028"",""uri"":""/repositories/11/accessions/246210"",""id"":""tr:lh:2301"",""date"":""1951-11-21"",""granter"":""Anna Looymans"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/1ca01d8d-839b-547a-ad5f-8aaa428dc028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08371283-2997-53b0-add8-a66fc8d9c99f,tg:lhsc:693_#1,e22_Archives,1,,,,,,,,,,,isad:lh:96719,"dlod={""name"":""Beeldhouwwerken"",""ark"":""ark:/24970/x0/86896f9c-e23e-58a9-93d1-9246b4c6f19e"",""uri"":""/repositories/11/archival_objects/10348936"",""id"":""isad:lh:96719"",""nameWithContext"":[""Verzamelingen"",""Kunstwerken""],""resourceName"":""Archief van Michel Looymans"",""resourceArk"":""ark:/24970/x0/962e3d4a-e517-5122-8266-88f56aaa6701"",""resourceURI"":""/repositories/11/resources/21189"",""resourceID"":""isad:lh:198"",""capacity"":""Beeldhouwwerken"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/86896f9c-e23e-58a9-93d1-9246b4c6f19e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08371283-2997-53b0-add8-a66fc8d9c99f,tg:lhsc:693_#1,e22_Conditions,2,,,,,,note.lhconditie,"<ul>
<li>
<p>opp.vuil</p>
</li>
<li>
<p>afschilfering van de afwerkingslaag: vooraan links</p>
</li>
<li>
<p>twee kleine lacunes in de afwerkingslaag langs voor, vier langs achter</p>
</li>
</ul>
<p>(03/09/2001)</p>
",,,,,,,,,"<ul>
<li>
<p>opp.vuil</p>
</li>
<li>
<p>afschilfering van de afwerkingslaag: vooraan links</p>
</li>
<li>
<p>twee kleine lacunes in de afwerkingslaag langs voor, vier langs achter</p>
</li>
</ul>
<p>(03/09/2001)</p>
",Nederlands,condition/examination description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08371283-2997-53b0-add8-a66fc8d9c99f,tg:lhsc:693_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatsc.lhformatwerksc,h 79 b 64 d 43,,,,,,,,,,,,,,,"h 79 b 64 d 43 - height, width, depth, kenmerken/lhformatsc.lhformatwerksc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08371283-2997-53b0-add8-a66fc8d9c99f,tg:lhsc:693_#1,e22_Dimensions,,,,,,,kenmerken/lhformatsc.lhformatwerksc,,,,,,,,,,,,,790,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08371283-2997-53b0-add8-a66fc8d9c99f,tg:lhsc:693_#1,e22_Dimensions,,,,,,,kenmerken/lhformatsc.lhformatwerksc,,,,,,,,,,,,,640,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08371283-2997-53b0-add8-a66fc8d9c99f,tg:lhsc:693_#1,e22_Dimensions,,,,,,,kenmerken/lhformatsc.lhformatwerksc,,,,,,,,,,,,,430,diepte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08371283-2997-53b0-add8-a66fc8d9c99f,tg:lhsc:693_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,lhsc,tg:lhsc:693_#1,K2 B 13 A,08371283-2997-53b0-add8-a66fc8d9c99f,tr:lh:2301,43592,,isad:lh:96719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
