ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_colour_source_field,Carrier Colour,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,mpm_place_holder,Warehouse Location (begin),adm.isadPartOf,Volgnummer,Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,Material,mat_source_field,col_source_field,Material Colour,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Note,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
6271b352-6da6-56b2-bea2-3d473afb243c,tg:lhob:714_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhob:714_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/6271b352-6da6-56b2-bea2-3d473afb243c,object identifier,,,,,,,,,,,
6271b352-6da6-56b2-bea2-3d473afb243c,tg:lhob:714_#1,e22_AnnotationsMaterial,1,,,,,,adm.note,In verwerking,In verwerking,Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6271b352-6da6-56b2-bea2-3d473afb243c,tg:lhob:714_#1,e22_Archives,1,,,,,,,,,,,isad:lh:146483,"dlod={""name"":""Boekenpauw en Boekenleeuw"",""ark"":""ark:/24970/x0/bf263bd3-4d4e-5f17-a731-4e78d74ef188"",""uri"":""/repositories/11/archival_objects/15673684"",""id"":""isad:lh:146483"",""nameWithContext"":[""Stukken rond het schrijverschap"",""Prijzen en onderscheidingen""],""resourceName"":""Archief van Diane Broeckhoven"",""resourceArk"":""ark:/24970/x0/1d8ca3f8-c721-5bd1-834d-d4980d81d97e"",""resourceURI"":""/repositories/11/resources/15621361"",""resourceID"":""isad:lh:145994"",""capacity"":""Boekenpauw en Boekenleeuw"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/bf263bd3-4d4e-5f17-a731-4e78d74ef188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6271b352-6da6-56b2-bea2-3d473afb243c,tg:lhob:714_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatob.lhformatbrob,20,,,,,,,,,,,,,,,"20 - dimension, kenmerken/lhformatob.lhformatbrob",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6271b352-6da6-56b2-bea2-3d473afb243c,tg:lhob:714_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatob.lhformathoob,37,,,,,,,,,,,,,,,"37 - dimension, kenmerken/lhformatob.lhformathoob",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6271b352-6da6-56b2-bea2-3d473afb243c,tg:lhob:714_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatob.lhformatdiob,30,,,,,,,,,,,,,,,"30 - dimension, kenmerken/lhformatob.lhformatdiob",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6271b352-6da6-56b2-bea2-3d473afb243c,tg:lhob:714_#1,e22_Dimensions,,,,,,,kenmerken/lhformatob.lhformatbrob,,,,,,,,,,,,,200,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6271b352-6da6-56b2-bea2-3d473afb243c,tg:lhob:714_#1,e22_Dimensions,,,,,,,kenmerken/lhformatob.lhformathoob,,,,,,,,,,,,,370,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6271b352-6da6-56b2-bea2-3d473afb243c,tg:lhob:714_#1,e22_Dimensions,,,,,,,kenmerken/lhformatob.lhformatdiob,,,,,,,,,,,,,300,diepte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6271b352-6da6-56b2-bea2-3d473afb243c,tg:lhob:714_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,lhob,tg:lhob:714_#1,BB 210 / V,6271b352-6da6-56b2-bea2-3d473afb243c,,,V3 D 1 A,isad:lh:146483,,,remarks,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
