ResourceID,brocade.id,card,order,source_field,source_code,Condition Status
a94df583-32a0-5c22-8fb3-51a5a378001a,tg:rubgr:4742_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
d38678fa-4cb9-52df-bca4-9bd1fd33732b,tg:rubgr:4819_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
05747773-3576-5317-b0e6-ecdd12a0a272,tg:rubgr:1107_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
d59a76c0-38dc-5510-9d02-e1a2f9201b3b,tg:rubgr:1310_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
0ce48427-6ca2-53c7-8f50-5a90f858c468,tg:rubgr:1909_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
132ab1a5-e17a-5e91-8b7b-acaf5e6a5e87,tg:rubgr:1919_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
03d1e87e-ca57-595f-9736-220a14f2167f,tg:rubgr:22_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
947efa7d-c543-5452-9d7d-6a4e04eede65,tg:rubgr:4394_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
5f10f2ce-faf5-514d-afc1-d4fee79b5784,tg:rubgr:1335_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
43b70252-b4e6-5eec-bfa3-ab720bb5b422,tg:rubgr:4409_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
1313b410-d492-5d71-927e-adccd2463048,tg:rubgr:4448_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
210b651c-0f0f-503b-a358-80f94ab2c63d,tg:rubgr:554_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
29fffbd2-8c1d-5363-8346-f2971a86a918,tg:rubgr:4449_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
4990146e-573b-5953-90ad-c0387ace1adb,tg:rubgr:4420_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
3a0871f8-ed8c-5a88-afa5-e9a81019fb5d,tg:rubgr:524_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
294e7415-1488-5497-a984-54cdb85039af,tg:rubgr:3852_#1,e22_Conditions,1,kenmerken.rubfyformgr,dcfvbe,Beschadigd
