ResourceID,brocade.id,card,order,source_field,External Relation URL Prefix,External Relation URL,External Relation,External Relation URL Type
b42cd663-167d-5140-868c-2572c228a6a7,tg:rubgr:4706,e73_ExternalRelationsExtras,a::rub.17,ow.link,https://rkd.nl/nl/explore/images/,64155,online catalogs,RKDimages
4a0d8182-d89d-571a-bfc5-e731ae14c82e,tg:rubgr:647,e73_ExternalRelationsExtras,a::rub.19,ow.link,https://rkd.nl/nl/explore/images/,259911,online catalogs,RKDimages
85d72987-20fa-5961-9a3f-0a645ef016b7,tg:rubgr:521,e73_ExternalRelationsExtras,a::rub.14,ow.link,https://rkd.nl/nl/explore/images/,54556,online catalogs,RKDimages
f09d1fb6-af76-596a-b722-0c1f52f567b0,tg:rubgr:553,e73_ExternalRelationsExtras,a::rub.15,ow.link,https://rkd.nl/nl/explore/images/,261160  ,online catalogs,RKDimages
59674641-00a1-515f-9cec-26a121fc9497,tg:rubgr:4764,e73_ExternalRelationsExtras,a::rub.28,ow.link,https://rkd.nl/nl/explore/images/,54306,online catalogs,RKDimages
654dfac6-3a96-5058-92c8-b5e3ca9470ee,tg:rubgr:1142,e73_ExternalRelationsExtras,a::rub.26,ow.link,https://rkd.nl/nl/explore/images/,261005,online catalogs,RKDimages
20de6331-c490-5ac8-9e8a-42003b696b62,tg:rubgr:4790,e73_ExternalRelationsExtras,a::rub.19,ow.link,https://rkd.nl/nl/explore/images/,259911,online catalogs,RKDimages
a35e6a50-8b0a-5dff-afe7-f92f9227b80c,tg:rubgr:223,e73_ExternalRelationsExtras,a::rub.31,ow.link,https://rkd.nl/nl/explore/images/,221184,online catalogs,RKDimages
a35e6a50-8b0a-5dff-afe7-f92f9227b80c,tg:rubgr:223,e73_ExternalRelationsExtras,a::rub.32,ow.link,https://rkd.nl/nl/explore/images/,261049,online catalogs,RKDimages
a35e6a50-8b0a-5dff-afe7-f92f9227b80c,tg:rubgr:223,e73_ExternalRelationsExtras,a::rub.38,ow.link,https://rkd.nl/nl/explore/images/,54753,online catalogs,RKDimages
a35e6a50-8b0a-5dff-afe7-f92f9227b80c,tg:rubgr:223,e73_ExternalRelationsExtras,a::rub.41,ow.link,https://rkd.nl/nl/explore/images/,221181,online catalogs,RKDimages
a35e6a50-8b0a-5dff-afe7-f92f9227b80c,tg:rubgr:223,e73_ExternalRelationsExtras,a::rub.8,ow.link,https://rkd.nl/nl/explore/images/,262343,online catalogs,RKDimages
224c1d54-ae3a-5cd3-b492-a2ff8fbddddc,tg:rubgr:1485,e73_ExternalRelationsExtras,a::rub.39,ow.link,https://rkd.nl/nl/explore/images/,56605,online catalogs,RKDimages
ca0ad15b-61a0-52ce-abc7-77a238497947,tg:rubgr:155,e73_ExternalRelationsExtras,a::rub.7,ow.link,https://rkd.nl/nl/explore/images/,262344,online catalogs,RKDimages
7a5976a7-13bb-59cf-a24d-629569733795,tg:rubgr:145,e73_ExternalRelationsExtras,a::rub.7,ow.link,https://rkd.nl/nl/explore/images/,262344,online catalogs,RKDimages
e29bbe75-99ad-5111-9bee-6d46cfea9d60,tg:rubgr:5084,e73_ExternalRelationsExtras,a::rub.9,ow.link,https://rkd.nl/nl/explore/images/,260960,online catalogs,RKDimages
49ed39af-90ed-5210-be41-fa2c298e088e,tg:rubgr:5094,e73_ExternalRelationsExtras,a::rub.9,ow.link,https://rkd.nl/nl/explore/images/,260960,online catalogs,RKDimages
b66dee50-91d9-590f-904d-92c28c3d4dee,tg:rubgr:1311,e73_ExternalRelationsExtras,a::rub.35,ow.link,https://rkd.nl/nl/explore/images/,219317,online catalogs,RKDimages
66214610-7b0e-55ba-8f81-c21a9a456856,tg:rubgr:1622,e73_ExternalRelationsExtras,a::rub.44,ow.link,https://rkd.nl/nl/explore/images/,261057,online catalogs,RKDimages
2915b4b9-93b6-511e-9754-0347f1024022,tg:rubgr:1640,e73_ExternalRelationsExtras,a::rub.44,ow.link,https://rkd.nl/nl/explore/images/,261057,online catalogs,RKDimages
2e1fa378-60b0-5b7e-a525-cf8149cde094,tg:rubgr:1526,e73_ExternalRelationsExtras,a::rub.40,ow.link,https://rkd.nl/nl/explore/images/,260965,online catalogs,RKDimages
6dcb3947-1b3e-5bb2-9b92-b906c4a39ce1,tg:rubgr:137,e73_ExternalRelationsExtras,a::rub.7,ow.link,https://rkd.nl/nl/explore/images/,262344,online catalogs,RKDimages
4408f47c-0982-5920-8895-398bac985ada,tg:rubgr:127,e73_ExternalRelationsExtras,a::rub.7,ow.link,https://rkd.nl/nl/explore/images/,262344,online catalogs,RKDimages
9938cc06-4e12-5cf8-bf64-85a1d4c4392e,tg:rubgr:5101,e73_ExternalRelationsExtras,a::rub.37,ow.link,https://rkd.nl/nl/explore/images/,261051,online catalogs,RKDimages
c49d6a7d-fc72-521f-bf10-2ff72eb9a540,tg:rubgr:1345,e73_ExternalRelationsExtras,a::rub.35,ow.link,https://rkd.nl/nl/explore/images/,219317,online catalogs,RKDimages
d05169d8-0e11-5a6c-8d7c-c204b4325fd2,tg:rubgr:959,e73_ExternalRelationsExtras,a::rub.25,ow.link,https://rkd.nl/nl/explore/images/,60114,online catalogs,RKDimages
bee40e2d-bb87-5d06-acb0-2d6e64afc3bb,tg:rubgr:1139,e73_ExternalRelationsExtras,a::rub.26,ow.link,https://rkd.nl/nl/explore/images/,261005,online catalogs,RKDimages
