ResourceID,brocade.id,card,order,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type
34001c94-f9ac-5c75-b596-3c243d80b113,tg:rubgr:4716,AA,0,Rubenianum,tg:rubgr:4716,record identifiers,https://data.rubenianum.be//ark:/86530/34001c94-f9ac-5c75-b596-3c243d80b113,object identifier,Brieven
7b9bb1a9-2b96-5fc8-8551-77f34c7b2474,tg:rubgr:31,AA,0,Rubenianum,tg:rubgr:31,record identifiers,https://data.rubenianum.be//ark:/86530/7b9bb1a9-2b96-5fc8-8551-77f34c7b2474,object identifier,Brieven
b42cd663-167d-5140-868c-2572c228a6a7,tg:rubgr:4706,AA,0,Rubenianum,tg:rubgr:4706,record identifiers,https://data.rubenianum.be//ark:/86530/b42cd663-167d-5140-868c-2572c228a6a7,object identifier,Brieven
3b48c57a-a39b-5f73-aab5-4eb6fa8008b7,tg:rubgr:21,AA,0,Rubenianum,tg:rubgr:21,record identifiers,https://data.rubenianum.be//ark:/86530/3b48c57a-a39b-5f73-aab5-4eb6fa8008b7,object identifier,Brieven
7d5dfc56-8f38-59e6-80cc-3c470e6451f2,tg:rubgr:3105,AA,0,Rubenianum,tg:rubgr:3105,record identifiers,https://data.rubenianum.be//ark:/86530/7d5dfc56-8f38-59e6-80cc-3c470e6451f2,object identifier,Brieven
23496b16-007d-56ce-9304-1446bf1047d4,tg:rubgr:2567,AA,0,Rubenianum,tg:rubgr:2567,record identifiers,https://data.rubenianum.be//ark:/86530/23496b16-007d-56ce-9304-1446bf1047d4,object identifier,Brieven
de517faf-df9f-5aa9-aba6-627c9d41f6f6,tg:rubgr:4225,AA,0,Rubenianum,tg:rubgr:4225,record identifiers,https://data.rubenianum.be//ark:/86530/de517faf-df9f-5aa9-aba6-627c9d41f6f6,object identifier,Brieven
b7ccf48e-e231-5424-96a4-74ec7c83ea41,tg:rubgr:2611,AA,0,Rubenianum,tg:rubgr:2611,record identifiers,https://data.rubenianum.be//ark:/86530/b7ccf48e-e231-5424-96a4-74ec7c83ea41,object identifier,Brieven
2b1ec1c7-fa70-51b3-a3c4-d9613c25f4ad,tg:rubgr:4235,AA,0,Rubenianum,tg:rubgr:4235,record identifiers,https://data.rubenianum.be//ark:/86530/2b1ec1c7-fa70-51b3-a3c4-d9613c25f4ad,object identifier,Brieven
4f92d10b-f073-5b60-98a6-91f92cc89a5e,tg:rubgr:1256,AA,0,Rubenianum,tg:rubgr:1256,record identifiers,https://data.rubenianum.be//ark:/86530/4f92d10b-f073-5b60-98a6-91f92cc89a5e,object identifier,Brieven
08c2cbbe-507f-5f15-90a0-4cce69bb241b,tg:rubgr:4470,AA,0,Rubenianum,tg:rubgr:4470,record identifiers,https://data.rubenianum.be//ark:/86530/08c2cbbe-507f-5f15-90a0-4cce69bb241b,object identifier,Brieven
47ab30ee-f536-5f9a-b307-06147fb3dc82,tg:rubgr:2044,AA,0,Rubenianum,tg:rubgr:2044,record identifiers,https://data.rubenianum.be//ark:/86530/47ab30ee-f536-5f9a-b307-06147fb3dc82,object identifier,Brieven
d54e7a14-4562-5179-bdab-cefe181578f7,tg:rubgr:4518,AA,0,Rubenianum,tg:rubgr:4518,record identifiers,https://data.rubenianum.be//ark:/86530/d54e7a14-4562-5179-bdab-cefe181578f7,object identifier,Brieven
89f41fb9-cc5b-558e-ac1e-077a76fd4b53,tg:rubgr:2054,AA,0,Rubenianum,tg:rubgr:2054,record identifiers,https://data.rubenianum.be//ark:/86530/89f41fb9-cc5b-558e-ac1e-077a76fd4b53,object identifier,Brieven
4a0d8182-d89d-571a-bfc5-e731ae14c82e,tg:rubgr:647,AA,0,Rubenianum,tg:rubgr:647,record identifiers,https://data.rubenianum.be//ark:/86530/4a0d8182-d89d-571a-bfc5-e731ae14c82e,object identifier,Brieven
adf5c5a6-6310-533a-a529-5fad91262bfc,tg:rubgr:2195,AA,0,Rubenianum,tg:rubgr:2195,record identifiers,https://data.rubenianum.be//ark:/86530/adf5c5a6-6310-533a-a529-5fad91262bfc,object identifier,Brieven
59d3f872-98db-55ea-bf44-c5da5c3bc709,tg:rubgr:2974,AA,0,Rubenianum,tg:rubgr:2974,record identifiers,https://data.rubenianum.be//ark:/86530/59d3f872-98db-55ea-bf44-c5da5c3bc709,object identifier,Brieven
1f230dc6-5143-574f-907f-7281c86cbbab,tg:rubgr:1968,AA,0,Rubenianum,tg:rubgr:1968,record identifiers,https://data.rubenianum.be//ark:/86530/1f230dc6-5143-574f-907f-7281c86cbbab,object identifier,Brieven
b56df989-4db2-5d88-b521-2ef343406929,tg:rubgr:3691,AA,0,Rubenianum,tg:rubgr:3691,record identifiers,https://data.rubenianum.be//ark:/86530/b56df989-4db2-5d88-b521-2ef343406929,object identifier,Brieven
85d72987-20fa-5961-9a3f-0a645ef016b7,tg:rubgr:521,AA,0,Rubenianum,tg:rubgr:521,record identifiers,https://data.rubenianum.be//ark:/86530/85d72987-20fa-5961-9a3f-0a645ef016b7,object identifier,Brieven
9d88467a-8caf-56fe-8cac-3de0f75a27e1,tg:rubgr:1800,AA,0,Rubenianum,tg:rubgr:1800,record identifiers,https://data.rubenianum.be//ark:/86530/9d88467a-8caf-56fe-8cac-3de0f75a27e1,object identifier,Brieven
2005f433-9a11-5e7c-b558-417bc2c8ea4b,tg:rubgr:4863,AA,0,Rubenianum,tg:rubgr:4863,record identifiers,https://data.rubenianum.be//ark:/86530/2005f433-9a11-5e7c-b558-417bc2c8ea4b,object identifier,Brieven
dc24ef14-4ba3-5775-b587-a23e651750b4,tg:rubgr:3835,AA,0,Rubenianum,tg:rubgr:3835,record identifiers,https://data.rubenianum.be//ark:/86530/dc24ef14-4ba3-5775-b587-a23e651750b4,object identifier,Brieven
18106fe1-670a-56bd-abc9-a38d67c4f153,tg:rubgr:3857,AA,0,Rubenianum,tg:rubgr:3857,record identifiers,https://data.rubenianum.be//ark:/86530/18106fe1-670a-56bd-abc9-a38d67c4f153,object identifier,Brieven
0d8429b4-43e6-56e6-bcfd-9f098b094b2c,tg:rubgr:4188,AA,0,Rubenianum,tg:rubgr:4188,record identifiers,https://data.rubenianum.be//ark:/86530/0d8429b4-43e6-56e6-bcfd-9f098b094b2c,object identifier,Brieven
f09d1fb6-af76-596a-b722-0c1f52f567b0,tg:rubgr:553,AA,0,Rubenianum,tg:rubgr:553,record identifiers,https://data.rubenianum.be//ark:/86530/f09d1fb6-af76-596a-b722-0c1f52f567b0,object identifier,Brieven
d0d3e059-208d-5213-abdd-2d43e22997c5,tg:rubgr:4396,AA,0,Rubenianum,tg:rubgr:4396,record identifiers,https://data.rubenianum.be//ark:/86530/d0d3e059-208d-5213-abdd-2d43e22997c5,object identifier,Brieven
2eadc579-7eea-52a6-8539-c4abc080cca2,tg:rubgr:1234,AA,0,Rubenianum,tg:rubgr:1234,record identifiers,https://data.rubenianum.be//ark:/86530/2eadc579-7eea-52a6-8539-c4abc080cca2,object identifier,Brieven
7fc97921-b74d-5676-8388-23bccb847ebf,tg:rubgr:1224,AA,0,Rubenianum,tg:rubgr:1224,record identifiers,https://data.rubenianum.be//ark:/86530/7fc97921-b74d-5676-8388-23bccb847ebf,object identifier,Brieven
bcbc03d7-a823-5421-81cd-1194f472bafa,tg:rubgr:5108,AA,0,Rubenianum,tg:rubgr:5108,record identifiers,https://data.rubenianum.be//ark:/86530/bcbc03d7-a823-5421-81cd-1194f472bafa,object identifier,Brieven
8743b939-e766-50ca-bf4d-82db28e6f4d9,tg:rubgr:4402,AA,0,Rubenianum,tg:rubgr:4402,record identifiers,https://data.rubenianum.be//ark:/86530/8743b939-e766-50ca-bf4d-82db28e6f4d9,object identifier,Brieven
4a40c545-9f8c-5349-9718-82107aa8cf2b,tg:rubgr:2663,AA,0,Rubenianum,tg:rubgr:2663,record identifiers,https://data.rubenianum.be//ark:/86530/4a40c545-9f8c-5349-9718-82107aa8cf2b,object identifier,Brieven
e813cc8b-a3f8-5e88-a04e-f7183d7d2088,tg:rubgr:1707,AA,0,Rubenianum,tg:rubgr:1707,record identifiers,https://data.rubenianum.be//ark:/86530/e813cc8b-a3f8-5e88-a04e-f7183d7d2088,object identifier,Brieven
fbd86a01-0d09-5224-9f33-b399f4a586e6,tg:rubgr:3732,AA,0,Rubenianum,tg:rubgr:3732,record identifiers,https://data.rubenianum.be//ark:/86530/fbd86a01-0d09-5224-9f33-b399f4a586e6,object identifier,Brieven
8097cb4b-d0e1-53c6-b0f3-5cc5fcbb9f35,tg:rubgr:2238,AA,0,Rubenianum,tg:rubgr:2238,record identifiers,https://data.rubenianum.be//ark:/86530/8097cb4b-d0e1-53c6-b0f3-5cc5fcbb9f35,object identifier,Brieven
59674641-00a1-515f-9cec-26a121fc9497,tg:rubgr:4764,AA,0,Rubenianum,tg:rubgr:4764,record identifiers,https://data.rubenianum.be//ark:/86530/59674641-00a1-515f-9cec-26a121fc9497,object identifier,Brieven
