ResourceID,brocade.id,card,Other Identifier,Other Identifier Type
34001c94-f9ac-5c75-b596-3c243d80b113,tg:rubgr:4716,e73_OtherIdentifiers,AFG_128_016,repository numbers
7b9bb1a9-2b96-5fc8-8551-77f34c7b2474,tg:rubgr:31,e73_OtherIdentifiers,AFG_001_031,repository numbers
b42cd663-167d-5140-868c-2572c228a6a7,tg:rubgr:4706,e73_OtherIdentifiers,AFG_128_006,repository numbers
3b48c57a-a39b-5f73-aab5-4eb6fa8008b7,tg:rubgr:21,e73_OtherIdentifiers,AFG_001_021,repository numbers
7d5dfc56-8f38-59e6-80cc-3c470e6451f2,tg:rubgr:3105,e73_OtherIdentifiers,AFG_090_025,repository numbers
23496b16-007d-56ce-9304-1446bf1047d4,tg:rubgr:2567,e73_OtherIdentifiers,AFG_083_117,repository numbers
de517faf-df9f-5aa9-aba6-627c9d41f6f6,tg:rubgr:4225,e73_OtherIdentifiers,AFG_111_020,repository numbers
b7ccf48e-e231-5424-96a4-74ec7c83ea41,tg:rubgr:2611,e73_OtherIdentifiers,AFG_084_025,repository numbers
2b1ec1c7-fa70-51b3-a3c4-d9613c25f4ad,tg:rubgr:4235,e73_OtherIdentifiers,AFG_111_030,repository numbers
4f92d10b-f073-5b60-98a6-91f92cc89a5e,tg:rubgr:1256,e73_OtherIdentifiers,AFG_032_006,repository numbers
08c2cbbe-507f-5f15-90a0-4cce69bb241b,tg:rubgr:4470,e73_OtherIdentifiers,AFG_114_004,repository numbers
47ab30ee-f536-5f9a-b307-06147fb3dc82,tg:rubgr:2044,e73_OtherIdentifiers,AFG_055_075,repository numbers
d54e7a14-4562-5179-bdab-cefe181578f7,tg:rubgr:4518,e73_OtherIdentifiers,AFG_116_005,repository numbers
89f41fb9-cc5b-558e-ac1e-077a76fd4b53,tg:rubgr:2054,e73_OtherIdentifiers,AFG_055_085,repository numbers
4a0d8182-d89d-571a-bfc5-e731ae14c82e,tg:rubgr:647,e73_OtherIdentifiers,AFG_015_004,repository numbers
