ResourceID,brocade.id,card,order,source_field,Description,Description Type,Description Language
34001c94-f9ac-5c75-b596-3c243d80b113,tg:rubgr:4716,e73_Descriptions,,id.desc,[Briefhoofd Phaidon Press] Korte inhoud: Zendt foto's.,descriptive note,Nederlands
7b9bb1a9-2b96-5fc8-8551-77f34c7b2474,tg:rubgr:31,e73_Descriptions,,id.desc,"Korte inhoud: [Taal, Engels] [recto] Gaat akkoord met de publicatie. Vraagt om zijn artikel in The Burlington Magazine te vermelden.",descriptive note,Nederlands
b42cd663-167d-5140-868c-2572c228a6a7,tg:rubgr:4706,e73_Descriptions,,id.desc,Korte inhoud: Dankt voor ontvangen foto van Tobias Verhaecht tekening. Verwijst naar hun gesprek (Louvre) hierover en het verband met het verloren werk van Bruegel 'Temptation of Christ'. De tekening in het Louvre van 'Death of the Virgin' is gebasseerd op het schilderij en niet zoals gewoonlijk op de prent. Vraagt foto van 'Visit to the Farm'.,descriptive note,Nederlands
3b48c57a-a39b-5f73-aab5-4eb6fa8008b7,tg:rubgr:21,e73_Descriptions,,id.desc,"[Briefhoofd, The Burlington Magazine] Korte inhoud: Afzender las het manuscript van F.G. en vraagt nu om wederdienst: nalezen van het artikel van deTolnay.",descriptive note,Nederlands
7d5dfc56-8f38-59e6-80cc-3c470e6451f2,tg:rubgr:3105,e73_Descriptions,,id.desc,"[Briefhoofd Campo de Mar, Mallorca] Korte inhoud: Handelt over een werk dat vroeger in zijn bezit was. De foto's van werken uit zijn collectie zijn verloren gegaan in WO II. Weet alleen nog dat het een landschap was van ca. 30 inches.",descriptive note,Nederlands
23496b16-007d-56ce-9304-1446bf1047d4,tg:rubgr:2567,e73_Descriptions,,id.desc,"Korte inhoud: [Taal, Duits] Zendt foto van De Overval, inv.nr. 6479, paneel, 90 x112 cm. Verwijst naar Glück 1951, p. 106. Deelt mee dat Sten Karling hem ervan op de hoogte bracht dat hij het werk in 1972 onderzocht. Het werk is gesigneert en gedateerd. Karling beschouwt het als een originele Pieter Bruegel I. Demus verwijst naar Marlier 1969, p. 277f. en Faggin 1964, p. 94 vn 14 en collectiecatalogus Stockholm 1912, nr. 17.
Het Weense werk werd nog niet onderzocht. Maar zeker is dat het overschilderd werd en hij dateert het ca. 1600. Het landschap werd er dan vermoedelijk aan toegevoegd. Hij brengt het in verband met een werk op de veiling in Moskou. Het werk komt in ieder geval uit het Belvedere-depot. Mogelijk is het in oude inventarissen onopgemerkt gebleven. Marlier's vermoeden dat de compositie van M. van Cleve is moet nu na de ontdekking in Stockholm ongegrond verklaard worden vermits de oorspronkelijke signatuur en datering ongegrond blijken te zijn. Signaleert dat Karling datering en signatuur heeft ontdekt. Omdat Karling het waarschijnlijk nog niet gepubliceerd heeft moet dit nog even geheimgehouden worden. Deelt in p.s. het onderzoek van Simone Bergmans  in het KIK mee over 'Pélerinage des Epileptiques à Molenbeek-Saint Jean de Pierre Bruegel', nu in Brussel en dat ze nu toeschrijft aan Pieter Bruegel I.",descriptive note,Nederlands
de517faf-df9f-5aa9-aba6-627c9d41f6f6,tg:rubgr:4225,e73_Descriptions,,id.desc,Korte inhoud: Zal FG contacteren.,descriptive note,Nederlands
b7ccf48e-e231-5424-96a4-74ec7c83ea41,tg:rubgr:2611,e73_Descriptions,,id.desc,"[Briefhoofd Fogg Art Museum, Harvard University Cambridge, Massachusetts] Korte inhoud: Deelt mee dat [Smith College] Northampton [Hamish] Miles aanstelde voor de periode van één jaar. Zal FG blijvend aanbevelen. Naar zijn oordeel zijn de opmerkingen m.b.t. de T. 87 tekening kunnen slechts gedeeltelijk aanvaard worden. Het gaat hier in de eerste plaats om een kostuumstudie en houding, niet van de beweging. De kleurnotities duiden erop dat Bruegel belang hechtte aan de kleding.De notities in zwart krijt maakte Bruegel waarschijnlijk terwijl het model nog voor hem stond.[scan]",descriptive note,Nederlands
2b1ec1c7-fa70-51b3-a3c4-d9613c25f4ad,tg:rubgr:4235,e73_Descriptions,,id.desc,Korte inhoud: Praktische afspraken m.b.t. het bezoek.,descriptive note,Nederlands
4f92d10b-f073-5b60-98a6-91f92cc89a5e,tg:rubgr:1256,e73_Descriptions,,id.desc,Korte inhoud: Dankbetuiging. Nodigt FG uit om foto's te nemen van het schilderij.,descriptive note,Nederlands
