ResourceID,brocade.id,card,order,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type
07636a66-8ecb-5b44-aaa6-5d555046244f,tg:rubgr:4716_#1,AA,0,Rubenianum,tg:rubgr:4716_#1,record identifiers,https://data.rubenianum.be//ark:/86530/07636a66-8ecb-5b44-aaa6-5d555046244f,object identifier
65c44a58-4de7-5180-b6d2-72eea7ef5b26,tg:rubgr:31_#1,AA,0,Rubenianum,tg:rubgr:31_#1,record identifiers,https://data.rubenianum.be//ark:/86530/65c44a58-4de7-5180-b6d2-72eea7ef5b26,object identifier
97aa4a91-3147-5d00-9a6d-d8c2d173fcb3,tg:rubgr:4706_#1,AA,0,Rubenianum,tg:rubgr:4706_#1,record identifiers,https://data.rubenianum.be//ark:/86530/97aa4a91-3147-5d00-9a6d-d8c2d173fcb3,object identifier
c8d8bb85-a6b3-5d91-b25a-405d4f5e1012,tg:rubgr:21_#1,AA,0,Rubenianum,tg:rubgr:21_#1,record identifiers,https://data.rubenianum.be//ark:/86530/c8d8bb85-a6b3-5d91-b25a-405d4f5e1012,object identifier
5dea70f7-28fe-5827-9824-dfa2c57397f3,tg:rubgr:3105_#1,AA,0,Rubenianum,tg:rubgr:3105_#1,record identifiers,https://data.rubenianum.be//ark:/86530/5dea70f7-28fe-5827-9824-dfa2c57397f3,object identifier
81a13658-8065-5b1f-b351-7f656030ea39,tg:rubgr:2567_#1,AA,0,Rubenianum,tg:rubgr:2567_#1,record identifiers,https://data.rubenianum.be//ark:/86530/81a13658-8065-5b1f-b351-7f656030ea39,object identifier
756f4fab-d0a3-5c6f-b3cd-3b164790eba5,tg:rubgr:4225_#1,AA,0,Rubenianum,tg:rubgr:4225_#1,record identifiers,https://data.rubenianum.be//ark:/86530/756f4fab-d0a3-5c6f-b3cd-3b164790eba5,object identifier
ac89d475-9392-547a-93a7-e2bef3f8eb24,tg:rubgr:2611_#1,AA,0,Rubenianum,tg:rubgr:2611_#1,record identifiers,https://data.rubenianum.be//ark:/86530/ac89d475-9392-547a-93a7-e2bef3f8eb24,object identifier
8310d378-0837-5e56-b3e9-2f2f0724d16a,tg:rubgr:4235_#1,AA,0,Rubenianum,tg:rubgr:4235_#1,record identifiers,https://data.rubenianum.be//ark:/86530/8310d378-0837-5e56-b3e9-2f2f0724d16a,object identifier
0b2c6c4f-dbea-5501-8441-4cf1ebdebb0b,tg:rubgr:1256_#1,AA,0,Rubenianum,tg:rubgr:1256_#1,record identifiers,https://data.rubenianum.be//ark:/86530/0b2c6c4f-dbea-5501-8441-4cf1ebdebb0b,object identifier
