ResourceID,brocade.id,card,order,source_field,source_code,Document status
a68adb8a-3f25-5c8a-b394-5faa3b55b5c0,tg:rubgr:1311_#1,e22_DocumentStatus,2,kenmerken.rubedformgr,dtrvfk,photocopies
00db22c3-8ce3-545a-9117-7ddef24ba790,tg:rubgr:2481_#1,e22_DocumentStatus,1,kenmerken.rubedformgr,dtrvfk,photocopies
6c489f6a-4e78-55d5-9381-b750a981ede7,tg:rubgr:1962_#1,e22_DocumentStatus,1,kenmerken.rubedformgr,dtrvfk,photocopies
0299a5fa-2fc6-510e-a17a-be38777a8c80,tg:rubgr:4227_#1,e22_DocumentStatus,2,kenmerken.rubedformgr,dtrvfk,photocopies
052bb6e2-2c59-550b-96dd-2e29c64cc9f6,tg:rubgr:2482_#1,e22_DocumentStatus,1,kenmerken.rubedformgr,dtrvfk,photocopies
0f720f59-0a54-523b-bda6-3867217586eb,tg:rubgr:1959_#1,e22_DocumentStatus,1,kenmerken.rubedformgr,dtrvfk,photocopies
31177e3b-fa8c-565e-a186-e2cad2c9fd3d,tg:rubgr:961_#1,e22_DocumentStatus,2,kenmerken.rubedformgr,dtrvfk,photocopies
f5957f54-7916-54ce-a381-a3ebbbb73e9a,tg:rubgr:4905_#1,e22_DocumentStatus,2,kenmerken.rubedformgr,dtrvfk,photocopies
4d06e212-1287-521b-969f-9f37b0ec47a5,tg:rubgr:1773_#1,e22_DocumentStatus,1,kenmerken.rubedformgr,dtrvfk,photocopies
ef00aa69-d3ff-5608-9dd8-ebcbcc5e9707,tg:rubgr:960_#1,e22_DocumentStatus,2,kenmerken.rubedformgr,dtrvfk,photocopies
5fb5c947-73ee-5cee-a782-43773ea2eeb2,tg:rubgr:1252_#1,e22_DocumentStatus,3,kenmerken.rubedformgr,dtrvfk,photocopies
b3e20a4d-31ab-5389-8e10-d7dd6a0c43b0,tg:rubgr:962_#1,e22_DocumentStatus,2,kenmerken.rubedformgr,dtrvfk,photocopies
876d00a4-2c59-543e-bc44-77eab963f60f,tg:rubgr:869_#1,e22_DocumentStatus,1,kenmerken.rubedformgr,dtrvfk,photocopies
