ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,Document status,Format Number,Format Unit Type,Format Number Type,dataset,adm.id_mat,adm.isadPartOf,adm.uuid_mat,Volgnummer,mpm_place_holder,Plaatsingsnummer,adm.acquiredVia,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,Material,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Note,Production Actor Widget,Production Actor Identifier,Product stadium,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
deadc002-2c48-5367-bffd-e2212222fc7d,tg:lhhs:1024_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhhs:1024_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/deadc002-2c48-5367-bffd-e2212222fc7d,object identifier,,,,,,,,,,,
deadc002-2c48-5367-bffd-e2212222fc7d,tg:lhhs:1024_#1,e22_AcquisitionNumbers,1,,,,132853/1-5,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deadc002-2c48-5367-bffd-e2212222fc7d,tg:lhhs:1024_#1,e22_Acquisitions,1,tr:lh:6013,"dlod={""name"":""Archief van Johan Daisne"",""ark"":""ark:/24970/x0/2288145d-ada5-529b-a785-bb46819e074a"",""uri"":""/repositories/11/accessions/643394"",""id"":""tr:lh:6013"",""date"":""1984-02-27"",""granter"":""Raymond Herreman"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/2288145d-ada5-529b-a785-bb46819e074a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deadc002-2c48-5367-bffd-e2212222fc7d,tg:lhhs:1024_#1,e22_Archives,1,,,,,,,,,,,isad:lh:86261,"dlod={""name"":""1965 - Charaban"",""ark"":""ark:/24970/x0/194dff13-503d-5736-aaab-0fa5f451e5a6"",""uri"":""/repositories/11/archival_objects/9229930"",""id"":""isad:lh:86261"",""nameWithContext"":[""Werkstukken"",""Handschriften van Johan Daisne"",""Verhalend proza / Fictie""],""resourceName"":""Archief van Johan Daisne"",""resourceArk"":""ark:/24970/x0/8f90638d-2a16-59ec-b4c4-2ed47829a0b3"",""resourceURI"":""/repositories/11/resources/32638"",""resourceID"":""isad:lh:305"",""capacity"":""1965 - Charaban"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/194dff13-503d-5736-aaab-0fa5f451e5a6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deadc002-2c48-5367-bffd-e2212222fc7d,tg:lhhs:1024_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformaths.lhformathsafm,"27,8 x 22",,,,,,,,,,,,,"27,8 x 22 - height, width, kenmerken/lhformaths.lhformathsafm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deadc002-2c48-5367-bffd-e2212222fc7d,tg:lhhs:1024_#1,e22_Dimensions,,,,,,,kenmerken/lhformaths.lhformathsafm,,,,,,,,,,,278,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deadc002-2c48-5367-bffd-e2212222fc7d,tg:lhhs:1024_#1,e22_Dimensions,,,,,,,kenmerken/lhformaths.lhformathsafm,,,,,,,,,,,220,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deadc002-2c48-5367-bffd-e2212222fc7d,tg:lhhs:1024_#1,e22_Formats,1,,,,,,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,,,,,,,,,,,,,,,,5,pages (components),aantal beschreven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deadc002-2c48-5367-bffd-e2212222fc7d,tg:lhhs:1024_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,,,lhhs,tg:lhhs:1024_#1,isad:lh:86261,deadc002-2c48-5367-bffd-e2212222fc7d,,132853/1-5,D 125 / H (32),tr:lh:6013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deadc002-2c48-5367-bffd-e2212222fc7d,tg:lhhs:1024_#1,e22_ObjectTypes,1,,,,,,kenmerken.lhgenrehs,vp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manuscripts (documents),,,,,,,,,,
deadc002-2c48-5367-bffd-e2212222fc7d,tg:lhhs:1024_#1,e22_ProductStadiums,1,,,,,,kenmerken.lhstadiumhs,vt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,verbeterd typoscript,,,,,,,,,,,,,,,,,
deadc002-2c48-5367-bffd-e2212222fc7d,tg:lhhs:1024_#1,e22_ProductionActors,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f6dec820-4a18-5d84-b392-cb5f993a4b7a,au::8726,op,dedicatees,,,,,,,,,,,,,,,,,,,,,
deadc002-2c48-5367-bffd-e2212222fc7d,tg:lhhs:1024_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1958.0,permission required,,,,,,,,
