ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,Document status,Format Number,Format Unit Type,Format Number Type,dataset,adm.id_mat,adm.isadPartOf,adm.uuid_mat,Volgnummer,mpm_place_holder,Plaatsingsnummer,adm.acquiredVia,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,Material,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Note,Production Actor Widget,Production Actor Identifier,Product stadium,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
f9a7ab6c-5e6c-505c-917e-299f0cbbad1d,tg:lhhs:12004_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhhs:12004_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/f9a7ab6c-5e6c-505c-917e-299f0cbbad1d,object identifier,,,,,,,,,,,
f9a7ab6c-5e6c-505c-917e-299f0cbbad1d,tg:lhhs:12004_#1,e22_AcquisitionNumbers,1,,,,71431/1-210,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f9a7ab6c-5e6c-505c-917e-299f0cbbad1d,tg:lhhs:12004_#1,e22_Acquisitions,1,tr:lh:3622,"dlod={""name"":""Archiefstukken van Hubert Lampo"",""ark"":""ark:/24970/x0/fcf0de20-a3c9-51fc-873b-8db05f24d704"",""uri"":""/repositories/11/accessions/387557"",""id"":""tr:lh:3622"",""date"":""1964-02-28"",""granter"":""Hubert Lampo"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/fcf0de20-a3c9-51fc-873b-8db05f24d704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f9a7ab6c-5e6c-505c-917e-299f0cbbad1d,tg:lhhs:12004_#1,e22_Archives,1,,,,,,,,,,,isad:lh:90669,"dlod={""name"":""Handschriften"",""ark"":""ark:/24970/x0/0252107b-5862-5b2f-b0d3-1aaf8edc2141"",""uri"":""/repositories/11/archival_objects/9701586"",""id"":""isad:lh:90669"",""nameWithContext"":[""Werkstukken"",""Handschriften van Hubert Lampo"",""Verhalend Proza"",""Novellen"",""1947-1964 - Dochters van Lemurië""],""resourceName"":""Archief van Hubert Lampo"",""resourceArk"":""ark:/24970/x0/e429ee16-915e-59bf-841d-39f81faa404e"",""resourceURI"":""/repositories/11/resources/940640"",""resourceID"":""isad:lh:8791"",""capacity"":""Handschriften"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/0252107b-5862-5b2f-b0d3-1aaf8edc2141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f9a7ab6c-5e6c-505c-917e-299f0cbbad1d,tg:lhhs:12004_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformaths.lhformathsafm,"20,7 x 29,3",,,,,,,,,,,,,"20,7 x 29,3 - height, width, kenmerken/lhformaths.lhformathsafm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f9a7ab6c-5e6c-505c-917e-299f0cbbad1d,tg:lhhs:12004_#1,e22_Dimensions,,,,,,,kenmerken/lhformaths.lhformathsafm,,,,,,,,,,,207,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f9a7ab6c-5e6c-505c-917e-299f0cbbad1d,tg:lhhs:12004_#1,e22_Dimensions,,,,,,,kenmerken/lhformaths.lhformathsafm,,,,,,,,,,,293,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f9a7ab6c-5e6c-505c-917e-299f0cbbad1d,tg:lhhs:12004_#1,e22_Formats,1,,,,,,kenmerken/lhpageshs.lhpageshsnumber,,,,,,,,,,,,,,,,210,folios (leaves),aantal totaal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f9a7ab6c-5e6c-505c-917e-299f0cbbad1d,tg:lhhs:12004_#1,e22_Formats,1,,,,,,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,,,,,,,,,,,,,,,,210,pages (components),aantal beschreven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f9a7ab6c-5e6c-505c-917e-299f0cbbad1d,tg:lhhs:12004_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,,,lhhs,tg:lhhs:12004_#1,isad:lh:90669,f9a7ab6c-5e6c-505c-917e-299f0cbbad1d,L 179 / 166,71431/1-210,,tr:lh:3622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
