ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,Document status,Format Number,Format Unit Type,Format Number Type,dataset,adm.id_mat,adm.isadPartOf,adm.uuid_mat,Volgnummer,mpm_place_holder,Plaatsingsnummer,adm.acquiredVia,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,Material,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Note,Production Actor Widget,Production Actor Identifier,Product stadium,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
f0ad8bf9-fa5f-5ac1-8afd-3952552b38a3,tg:lhhs:4915_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhhs:4915_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/f0ad8bf9-fa5f-5ac1-8afd-3952552b38a3,object identifier,,,,,,,,,,,
f0ad8bf9-fa5f-5ac1-8afd-3952552b38a3,tg:lhhs:4915_#1,e22_AcquisitionNumbers,1,,,,122001,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f0ad8bf9-fa5f-5ac1-8afd-3952552b38a3,tg:lhhs:4915_#1,e22_Acquisitions,1,tr:lh:5816,"dlod={""name"":""Schenking van Angèle Manteau"",""ark"":""ark:/24970/x0/7caf7507-cfd5-5765-9cdf-86d6017b365a"",""uri"":""/repositories/11/accessions/622315"",""id"":""tr:lh:5816"",""date"":""1981-10-26"",""granter"":""Angèle Manteau"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/7caf7507-cfd5-5765-9cdf-86d6017b365a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f0ad8bf9-fa5f-5ac1-8afd-3952552b38a3,tg:lhhs:4915_#1,e22_Archives,1,,,,,,,,,,,isad:lh:88028,"dlod={""name"":""Handschriften van Loekie Zvonik"",""ark"":""ark:/24970/x0/b61adcf1-570e-5849-838b-71cb7c8099e0"",""uri"":""/repositories/11/archival_objects/9418999"",""id"":""isad:lh:88028"",""nameWithContext"":[""Verzamelingen"",""Handschriften verzameld door Angèle Manteau""],""resourceName"":""Archief van Angèle Manteau"",""resourceArk"":""ark:/24970/x0/ce137e8b-f28c-52b1-8102-f883780046ab"",""resourceURI"":""/repositories/11/resources/2019628"",""resourceID"":""isad:lh:18875"",""capacity"":""Handschriften van Loekie Zvonik"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/b61adcf1-570e-5849-838b-71cb7c8099e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f0ad8bf9-fa5f-5ac1-8afd-3952552b38a3,tg:lhhs:4915_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformaths.lhformathsafm,"27,5 x 21,0",,,,,,,,,,,,,"27,5 x 21,0 - height, width, kenmerken/lhformaths.lhformathsafm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f0ad8bf9-fa5f-5ac1-8afd-3952552b38a3,tg:lhhs:4915_#1,e22_Dimensions,,,,,,,kenmerken/lhformaths.lhformathsafm,,,,,,,,,,,275,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f0ad8bf9-fa5f-5ac1-8afd-3952552b38a3,tg:lhhs:4915_#1,e22_Dimensions,,,,,,,kenmerken/lhformaths.lhformathsafm,,,,,,,,,,,210,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f0ad8bf9-fa5f-5ac1-8afd-3952552b38a3,tg:lhhs:4915_#1,e22_DocumentStatus,1,,,,,,kenmerken.lhorighs,fc,,,,,,,,,,,,,,photocopies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f0ad8bf9-fa5f-5ac1-8afd-3952552b38a3,tg:lhhs:4915_#1,e22_Formats,1,,,,,,kenmerken/lhpageshs.lhpageshsnumber,,,,,,,,,,,,,,,,73,folios (leaves),aantal totaal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f0ad8bf9-fa5f-5ac1-8afd-3952552b38a3,tg:lhhs:4915_#1,e22_Formats,1,,,,,,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,,,,,,,,,,,,,,,,73,pages (components),aantal beschreven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
