ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,Document status,Format Number,Format Unit Type,Format Number Type,dataset,adm.id_mat,adm.isadPartOf,adm.uuid_mat,Volgnummer,mpm_place_holder,Plaatsingsnummer,adm.acquiredVia,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,Material,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Note,Production Actor Widget,Production Actor Identifier,Product stadium,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
c55137e7-9704-5abd-aa0f-3faf22511696,tg:lhhs:12577_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhhs:12577_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/c55137e7-9704-5abd-aa0f-3faf22511696,object identifier,,,,,,,,,,,
c55137e7-9704-5abd-aa0f-3faf22511696,tg:lhhs:12577_#1,e22_AcquisitionNumbers,1,,,,15273,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c55137e7-9704-5abd-aa0f-3faf22511696,tg:lhhs:12577_#1,e22_Acquisitions,1,tr:lh:825,"dlod={""name"":""Archiefstukken van Frans Verschoren"",""ark"":""ark:/24970/x0/36836836-724a-5530-b81b-6fa5031360b7"",""uri"":""/repositories/11/accessions/88278"",""id"":""tr:lh:825"",""date"":""1939-01-31"",""granter"":""Frans Verschoren"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/36836836-724a-5530-b81b-6fa5031360b7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c55137e7-9704-5abd-aa0f-3faf22511696,tg:lhhs:12577_#1,e22_Archives,1,,,,,,,,,,,isad:lh:91053,"dlod={""name"":""1"",""ark"":""ark:/24970/x0/809b1f7e-f526-5f3a-b57c-602ff6fdc554"",""uri"":""/repositories/11/archival_objects/9742674"",""id"":""isad:lh:91053"",""nameWithContext"":[""Werkstukken"",""Handschriften van Frans Verschoren"",""Verhalend proza / Fictie""],""resourceName"":""Archief van Frans Verschoren"",""resourceArk"":""ark:/24970/x0/e8dabf29-d837-5d7d-878a-ff570cce6ab4"",""resourceURI"":""/repositories/11/resources/892918"",""resourceID"":""isad:lh:8345"",""capacity"":""1"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/809b1f7e-f526-5f3a-b57c-602ff6fdc554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c55137e7-9704-5abd-aa0f-3faf22511696,tg:lhhs:12577_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformaths.lhformathsafm,210x170,,,,,,,,,,,,,"210x170 - height, width, kenmerken/lhformaths.lhformathsafm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c55137e7-9704-5abd-aa0f-3faf22511696,tg:lhhs:12577_#1,e22_Dimensions,,,,,,,kenmerken/lhformaths.lhformathsafm,,,,,,,,,,,2100,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c55137e7-9704-5abd-aa0f-3faf22511696,tg:lhhs:12577_#1,e22_Dimensions,,,,,,,kenmerken/lhformaths.lhformathsafm,,,,,,,,,,,1700,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c55137e7-9704-5abd-aa0f-3faf22511696,tg:lhhs:12577_#1,e22_Formats,1,,,,,,kenmerken/lhpageshs.lhpageshsnumber,,,,,,,,,,,,,,,,5,folios (leaves),aantal totaal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c55137e7-9704-5abd-aa0f-3faf22511696,tg:lhhs:12577_#1,e22_Formats,1,,,,,,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,,,,,,,,,,,,,,,,14,pages (components),aantal beschreven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c55137e7-9704-5abd-aa0f-3faf22511696,tg:lhhs:12577_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,,,lhhs,tg:lhhs:12577_#1,isad:lh:91053,c55137e7-9704-5abd-aa0f-3faf22511696,,15273,V 489 / H (1),tr:lh:825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c55137e7-9704-5abd-aa0f-3faf22511696,tg:lhhs:12577_#1,e22_ObjectTypes,1,,,,,,kenmerken.lhgenrehs,vp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manuscripts (documents),,,,,,,,,,
c55137e7-9704-5abd-aa0f-3faf22511696,tg:lhhs:12577_#1,e22_ProductionTechniques,1,,,,,,kenmerken.lhstadiumhs,hs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,handwriting,,,,,,,,,,,,,,,,
c55137e7-9704-5abd-aa0f-3faf22511696,tg:lhhs:12577_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1907.0,permission required,,,,,,,,
