ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,Document status,Format Number,Format Unit Type,Format Number Type,dataset,adm.id_mat,adm.isadPartOf,adm.uuid_mat,Volgnummer,mpm_place_holder,Plaatsingsnummer,adm.acquiredVia,Warehouse Location (begin),Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,Material,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Note,Production Actor Widget,Production Actor Identifier,Product stadium,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
e373fe86-d7a3-585a-980f-d736ed3ecb4a,tg:lhhs:3678_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhhs:3678_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/e373fe86-d7a3-585a-980f-d736ed3ecb4a,object identifier,,,,,,,,,,,
e373fe86-d7a3-585a-980f-d736ed3ecb4a,tg:lhhs:3678_#1,e22_AcquisitionNumbers,1,,,,198401,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e373fe86-d7a3-585a-980f-d736ed3ecb4a,tg:lhhs:3678_#1,e22_Acquisitions,1,tr:lh:7578,"dlod={""name"":""Archief van Herwig Hensen"",""ark"":""ark:/24970/x0/588df173-1bca-5a1b-80bc-cae977e01a8c"",""uri"":""/repositories/11/accessions/810849"",""id"":""tr:lh:7578"",""date"":""1999-06-24"",""granter"":""Denise Mielants-Pittoors"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/588df173-1bca-5a1b-80bc-cae977e01a8c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e373fe86-d7a3-585a-980f-d736ed3ecb4a,tg:lhhs:3678_#1,e22_Archives,1,,,,,,,,,,,isad:lh:98299,"dlod={""name"":""\""Don Juan\"""",""ark"":""ark:/24970/x0/8298cf21-e3d7-5844-88ce-a6fa0cc0649f"",""uri"":""/repositories/11/archival_objects/10517996"",""id"":""isad:lh:98299"",""nameWithContext"":[""Werkstukken"",""Handschriften van Herwig Hensen"",""Drama""],""resourceName"":""Archief van Herwig Hensen"",""resourceArk"":""ark:/24970/x0/2485eea1-706c-524d-84bb-6580e49bdb4b"",""resourceURI"":""/repositories/11/resources/155260"",""resourceID"":""isad:lh:1451"",""capacity"":""\""Don Juan\"""",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/8298cf21-e3d7-5844-88ce-a6fa0cc0649f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e373fe86-d7a3-585a-980f-d736ed3ecb4a,tg:lhhs:3678_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformaths.lhformathsafm,"20,7 x 15,0",,,,,,,,,,,,,"20,7 x 15,0 - height, width, kenmerken/lhformaths.lhformathsafm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e373fe86-d7a3-585a-980f-d736ed3ecb4a,tg:lhhs:3678_#1,e22_Dimensions,,,,,,,kenmerken/lhformaths.lhformathsafm,,,,,,,,,,,207,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e373fe86-d7a3-585a-980f-d736ed3ecb4a,tg:lhhs:3678_#1,e22_Dimensions,,,,,,,kenmerken/lhformaths.lhformathsafm,,,,,,,,,,,150,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e373fe86-d7a3-585a-980f-d736ed3ecb4a,tg:lhhs:3678_#1,e22_Formats,1,,,,,,kenmerken/lhpageshs.lhpageshsnumber,,,,,,,,,,,,,,,,76,folios (leaves),aantal totaal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e373fe86-d7a3-585a-980f-d736ed3ecb4a,tg:lhhs:3678_#1,e22_Formats,1,,,,,,kenmerken/lhpageswrittenhs.lhpageswrittenhsnumber,,,,,,,,,,,,,,,,151,pages (components),aantal beschreven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e373fe86-d7a3-585a-980f-d736ed3ecb4a,tg:lhhs:3678_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,,,lhhs,tg:lhhs:3678_#1,isad:lh:98299,e373fe86-d7a3-585a-980f-d736ed3ecb4a,,198401,H 518 / H (15),tr:lh:7578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
