ResourceID,brocade.id,card,order,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier
e710b288-7e4c-5aee-a6ff-c05dd1864849,tg:lhaq:6621_#1,e22_ProductionActors,2,6326b41f-fe7f-58a7-a4e7-da7b542045ed,au::3880,op,dedicatees,,
080098f6-5787-5ba4-84b4-26a10acd0d82,tg:lhaq:8071_#1,e22_ProductionActors,2,f14c49fb-d46b-5a2c-b791-d78ab2d3b545,au::9215,op,dedicatees,,
f9827045-bc4a-57e6-8867-0930424a85d4,tg:lhaq:9279_#1,e22_ProductionActors,2,81ac4db9-1e25-55a3-9b28-97c03f96b4ab,au::100141,ui,publishers,,
d46d1e5c-3e5f-5589-8d9e-2b18204d5b2d,tg:lhaq:9408_#1,e22_ProductionActors,2,da076e15-be8c-5fb7-94ee-09fad056bcce,au::13805,op,dedicatees,,
5e42150d-e15b-5949-9133-24bce31a0d85,tg:lhaq:9418_#1,e22_ProductionActors,1,1cc6e4ba-004c-519e-8a1d-bfc8aae5aa31,au::57769,op,dedicatees,,
26c05342-0e27-57b4-a400-33d96414b7f4,tg:lhaq:9409_#1,e22_ProductionActors,2,933b8831-6dbb-5b19-adb3-d9f9aa7d99dd,au::11046,op,dedicatees,,
a1a1d23e-09af-5c76-942b-57e198ec400e,tg:lhaq:6819_#1,e22_ProductionActors,3,d4af17b4-c11e-5670-be7f-56a7b138e592,au::17676,ui,publishers,,
028bc8bf-7c80-5217-962f-4007b2fe01b2,tg:lhaq:6815_#1,e22_ProductionActors,2,d4af17b4-c11e-5670-be7f-56a7b138e592,au::17676,ui,publishers,,
219a6fbb-8b9c-5b89-8bd1-a80c1f56e8b2,tg:lhaq:2834_#1,e22_ProductionActors,1,f45c8b1f-3dcf-5486-9d35-c57ab61e1d3d,au::23765,op,dedicatees,,
82411485-5dbc-5226-8c8d-cc6f5fb1f631,tg:lhaq:9399_#1,e22_ProductionActors,2,9db23628-b2ea-5982-aebe-0b7e1f9b2541,au::9752,op,dedicatees,,
dd5f001c-e9c9-52c4-a86f-a9bf8bc0b8f4,tg:lhaq:6822_#1,e22_ProductionActors,2,d4af17b4-c11e-5670-be7f-56a7b138e592,au::17676,ui,publishers,,
0f076167-61ba-5bdb-9acd-131a3030ebe9,tg:lhaq:6816_#1,e22_ProductionActors,2,d4af17b4-c11e-5670-be7f-56a7b138e592,au::17676,ui,publishers,,
832515a2-f281-5954-8058-d7dbf05d467b,tg:lhaq:9416_#1,e22_ProductionActors,2,644aeb61-2f93-5fbc-9530-61fb95fa01ef,au::12828,op,dedicatees,,
