ResourceID,brocade.id,museum,card,ire.isaar.uuid,source_ire_type,Original Entity Type,source_code,ire.isaar.id,place_au_code,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type
db0d2c87-ede5-539b-a4b8-41e318f197a5,tg:lhaq:8853,lh,e73_OriginalBrocade,ac92ef70-ff90-5587-bcf9-9d972c08469a,vb,keywords,au::21564,au::21564:1,au::21564g:1,,"dlod={""suggest"":[""/agents/people/2307348"",""au::21564"",""au::21564:1"",""ark:/83110/x0/ac92ef70-ff90-5587-bcf9-9d972c08469a"",""Eugène A. Winters""],""name"":""Eugène A. Winters"",""ark"":""ark:/83110/x0/ac92ef70-ff90-5587-bcf9-9d972c08469a"",""uri"":""/agents/people/2307348"",""id"":""au::21564:1"",""isCapacity"":false}",ark:/83110/x0/ac92ef70-ff90-5587-bcf9-9d972c08469a,agent
db0d2c87-ede5-539b-a4b8-41e318f197a5,tg:lhaq:8853,lh,e73_OriginalBrocade,0b939d98-855a-5295-87fa-14c29c88361b,vb,keywords,au::22381,au::22381:1,au::22381g:1,,"dlod={""suggest"":[""/agents/corporate_entities/2394767"",""au::22381"",""au::22381:1"",""ark:/83110/x0/0b939d98-855a-5295-87fa-14c29c88361b"",""Koninklijke Nederlandse Schouwburg""],""name"":""Koninklijke Nederlandse Schouwburg"",""ark"":""ark:/83110/x0/0b939d98-855a-5295-87fa-14c29c88361b"",""uri"":""/agents/corporate_entities/2394767"",""id"":""au::22381:1"",""isCapacity"":false}",ark:/83110/x0/0b939d98-855a-5295-87fa-14c29c88361b,agent
db0d2c87-ede5-539b-a4b8-41e318f197a5,tg:lhaq:8853,lh,e73_OriginalBrocade,8b568984-c24e-5080-8dbb-aa4b88afe5fc,vb,keywords,au::45662,au::45662:1,au::45662g:1,,"dlod={""suggest"":[""/agents/people/4885834"",""au::45662"",""au::45662:1"",""ark:/83110/x0/8b568984-c24e-5080-8dbb-aa4b88afe5fc"",""Bernard Verheyden""],""name"":""Bernard Verheyden"",""ark"":""ark:/83110/x0/8b568984-c24e-5080-8dbb-aa4b88afe5fc"",""uri"":""/agents/people/4885834"",""id"":""au::45662:1"",""isCapacity"":false}",ark:/83110/x0/8b568984-c24e-5080-8dbb-aa4b88afe5fc,agent
db0d2c87-ede5-539b-a4b8-41e318f197a5,tg:lhaq:8853,lh,e73_OriginalBrocade,027beecc-1314-59ee-ba8f-552ffa834f10,vb,keywords,au::8854,au::8854:1,au::8854g:1,,"dlod={""suggest"":[""/agents/people/947378"",""au::8854"",""au::8854:1"",""ark:/83110/x0/027beecc-1314-59ee-ba8f-552ffa834f10"",""Patrick Hiketick""],""name"":""Patrick Hiketick"",""ark"":""ark:/83110/x0/027beecc-1314-59ee-ba8f-552ffa834f10"",""uri"":""/agents/people/947378"",""id"":""au::8854:1"",""isCapacity"":false}",ark:/83110/x0/027beecc-1314-59ee-ba8f-552ffa834f10,agent
f1fa8331-c4aa-51eb-b63d-28fc05816a0c,tg:lhaq:9022,lh,e73_OriginalBrocade,81ac4db9-1e25-55a3-9b28-97c03f96b4ab,vb,keywords,au::100141,au::100141:1,au::100141g:1,,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/10715087"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab,place
441fd62b-f45d-589b-b967-e6058f13c382,tg:lhaq:9032,lh,e73_OriginalBrocade,81ac4db9-1e25-55a3-9b28-97c03f96b4ab,vb,keywords,au::100141,au::100141:1,au::100141g:1,,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/10715087"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab,place
6bead15e-dd1f-5a41-ab64-2fbe3d534e87,tg:lhaq:8538,lh,e73_OriginalBrocade,eab0ad7e-c8a7-5500-9f4f-4db256c36a92,vb,keywords,au::6345,au::6345:1,au::6345g:1,,"dlod={""suggest"":[""/agents/people/678915"",""au::6345"",""au::6345:1"",""ark:/83110/x0/eab0ad7e-c8a7-5500-9f4f-4db256c36a92"",""Fred Engelen""],""name"":""Fred Engelen"",""ark"":""ark:/83110/x0/eab0ad7e-c8a7-5500-9f4f-4db256c36a92"",""uri"":""/agents/people/678915"",""id"":""au::6345:1"",""isCapacity"":false}",ark:/83110/x0/eab0ad7e-c8a7-5500-9f4f-4db256c36a92,agent
735a394a-dd03-5cd0-b1e8-50b90936b68c,tg:lhaq:6846,lh,e73_OriginalBrocade,daa5e356-0db3-5ce5-bad9-bae8b21093d2,vb,keywords,au::15486,au::15486:1,au::15486g:1,,"dlod={""suggest"":[""/agents/people/1657002"",""au::15486"",""au::15486:1"",""ark:/83110/x0/daa5e356-0db3-5ce5-bad9-bae8b21093d2"",""Ward de Ravet""],""name"":""Ward de Ravet"",""ark"":""ark:/83110/x0/daa5e356-0db3-5ce5-bad9-bae8b21093d2"",""uri"":""/agents/people/1657002"",""id"":""au::15486:1"",""isCapacity"":false}",ark:/83110/x0/daa5e356-0db3-5ce5-bad9-bae8b21093d2,agent
735a394a-dd03-5cd0-b1e8-50b90936b68c,tg:lhaq:6846,lh,e73_OriginalBrocade,6cf2cf04-5452-50f4-8b52-c4289f885a09,vb,keywords,au::1697,au::1697:1,au::1697g:1,,"dlod={""suggest"":[""/agents/people/181579"",""au::1697"",""au::1697:1"",""ark:/83110/x0/6cf2cf04-5452-50f4-8b52-c4289f885a09"",""René Bertal""],""name"":""René Bertal"",""ark"":""ark:/83110/x0/6cf2cf04-5452-50f4-8b52-c4289f885a09"",""uri"":""/agents/people/181579"",""id"":""au::1697:1"",""isCapacity"":false}",ark:/83110/x0/6cf2cf04-5452-50f4-8b52-c4289f885a09,agent
735a394a-dd03-5cd0-b1e8-50b90936b68c,tg:lhaq:6846,lh,e73_OriginalBrocade,b3499807-ff2d-585a-bc02-efc0d02167b7,vb,keywords,au::20938,au::20938:1,au::20938g:1,,"dlod={""suggest"":[""/agents/people/2240366"",""au::20938"",""au::20938:1"",""ark:/83110/x0/b3499807-ff2d-585a-bc02-efc0d02167b7"",""Free Waeles""],""name"":""Free Waeles"",""ark"":""ark:/83110/x0/b3499807-ff2d-585a-bc02-efc0d02167b7"",""uri"":""/agents/people/2240366"",""id"":""au::20938:1"",""isCapacity"":false}",ark:/83110/x0/b3499807-ff2d-585a-bc02-efc0d02167b7,agent
