ResourceID,brocade.id,museum,card,ire.isaar.uuid,source_ire_type,Depicted Item Role,source_code,ire.isaar.id,place_au_code,Depicted Item Note,Depicted Item Widget,Depicted Item Identifier,Depicted Item Type
31441cf2-3f1a-5983-a02a-06ea12c49ca7,tg:lhaq:21,lh,e73_DepictedItems,6fa972fa-b963-5b2c-a60e-16f1dbbfbe79,kw,keywords,au::9347,au::9347:1,au::9347g:1,,"dlod={""suggest"":[""/agents/people/1000129"",""au::9347"",""au::9347:1"",""ark:/83110/x0/6fa972fa-b963-5b2c-a60e-16f1dbbfbe79"",""Frans van Immerseel""],""name"":""Frans van Immerseel"",""ark"":""ark:/83110/x0/6fa972fa-b963-5b2c-a60e-16f1dbbfbe79"",""uri"":""/agents/people/1000129"",""id"":""au::9347:1"",""isCapacity"":false}",ark:/83110/x0/6fa972fa-b963-5b2c-a60e-16f1dbbfbe79,agent
0ea6dab1-abcd-5a8a-a26e-4e3c724c772c,tg:lhaq:8695,lh,e73_DepictedItems,161fb583-dd23-51d2-b950-bc7aa79c1db1,kw,keywords,au::21677,au::21677:1,au::21677g:1,,"dlod={""suggest"":[""/agents/people/2319439"",""au::21677"",""au::21677:1"",""ark:/83110/x0/161fb583-dd23-51d2-b950-bc7aa79c1db1"",""Pip Wouters""],""name"":""Pip Wouters"",""ark"":""ark:/83110/x0/161fb583-dd23-51d2-b950-bc7aa79c1db1"",""uri"":""/agents/people/2319439"",""id"":""au::21677:1"",""isCapacity"":false}",ark:/83110/x0/161fb583-dd23-51d2-b950-bc7aa79c1db1,agent
ee6ac1c6-3dec-569c-8cad-c20ee9b4beef,tg:lhaq:4372,lh,e73_DepictedItems,e207da12-299b-5160-b16a-e37a1f07cfb4,kw,keywords,au::3495,au::3495:1,au::3495g:1,,"dlod={""suggest"":[""/agents/people/373965"",""au::3495"",""au::3495:1"",""ark:/83110/x0/e207da12-299b-5160-b16a-e37a1f07cfb4"",""Marina Candael""],""name"":""Marina Candael"",""ark"":""ark:/83110/x0/e207da12-299b-5160-b16a-e37a1f07cfb4"",""uri"":""/agents/people/373965"",""id"":""au::3495:1"",""isCapacity"":false}",ark:/83110/x0/e207da12-299b-5160-b16a-e37a1f07cfb4,agent
3427e823-4487-5f09-a8b8-0a62308a7afa,tg:lhaq:4066,lh,e73_DepictedItems,74967e79-e61b-5a6c-a5e4-8970b0900af4,kw,keywords,au::50076,au::50076:1,au::50076g:1,,"dlod={""suggest"":[""/agents/corporate_entities/5358132"",""au::50076"",""au::50076:1"",""ark:/83110/x0/74967e79-e61b-5a6c-a5e4-8970b0900af4"",""Red Star Line""],""name"":""Red Star Line"",""ark"":""ark:/83110/x0/74967e79-e61b-5a6c-a5e4-8970b0900af4"",""uri"":""/agents/corporate_entities/5358132"",""id"":""au::50076:1"",""isCapacity"":false}",ark:/83110/x0/74967e79-e61b-5a6c-a5e4-8970b0900af4,agent
428c3cc4-7bf9-5135-ba24-0c06e59d90ed,tg:lhaq:9424,lh,e73_DepictedItems,3d3e77f0-db59-5f07-b341-307cc1e3a875,kw,keywords,au::15680,au::15680:1,au::15680g:1,,"dlod={""suggest"":[""/agents/people/1677760"",""au::15680"",""au::15680:1"",""ark:/83110/x0/3d3e77f0-db59-5f07-b341-307cc1e3a875"",""André de Ridder""],""name"":""André de Ridder"",""ark"":""ark:/83110/x0/3d3e77f0-db59-5f07-b341-307cc1e3a875"",""uri"":""/agents/people/1677760"",""id"":""au::15680:1"",""isCapacity"":false}",ark:/83110/x0/3d3e77f0-db59-5f07-b341-307cc1e3a875,agent
01582bee-3c39-5ada-b2be-121bcba0b779,tg:lhaq:2583,lh,e73_DepictedItems,b13d2966-2e8a-5595-94c8-54e3806d23ae,kw,keywords,au::3006,au::3006:1,au::3006g:1,,"dlod={""suggest"":[""/agents/people/321642"",""au::3006"",""au::3006:1"",""ark:/83110/x0/b13d2966-2e8a-5595-94c8-54e3806d23ae"",""Jeroen Brouwers""],""name"":""Jeroen Brouwers"",""ark"":""ark:/83110/x0/b13d2966-2e8a-5595-94c8-54e3806d23ae"",""uri"":""/agents/people/321642"",""id"":""au::3006:1"",""isCapacity"":false}",ark:/83110/x0/b13d2966-2e8a-5595-94c8-54e3806d23ae,agent
ba70d35e-b0fb-5efd-b67d-20486f4c27c0,tg:lhaq:9412,lh,e73_DepictedItems,0fff0733-3dd4-5271-a910-7a62604292ff,kw,keywords,au::112091,au::112091:1,au::112091g:1,,"dlod={""suggest"":[""/agents/people/11993737"",""au::112091"",""au::112091:1"",""ark:/83110/x0/0fff0733-3dd4-5271-a910-7a62604292ff"",""John Maxwell Coetzee""],""name"":""John Maxwell Coetzee"",""ark"":""ark:/83110/x0/0fff0733-3dd4-5271-a910-7a62604292ff"",""uri"":""/agents/people/11993737"",""id"":""au::112091:1"",""isCapacity"":false}",ark:/83110/x0/0fff0733-3dd4-5271-a910-7a62604292ff,agent
ba70d35e-b0fb-5efd-b67d-20486f4c27c0,tg:lhaq:9412,lh,e73_DepictedItems,4d7f6498-d277-5ada-ac50-4e50dbf52630,kw,keywords,au::8591,au::8591:1,au::8591g:1,,"dlod={""suggest"":[""/agents/people/919237"",""au::8591"",""au::8591:1"",""ark:/83110/x0/4d7f6498-d277-5ada-ac50-4e50dbf52630"",""Kristien Hemmerechts""],""name"":""Kristien Hemmerechts"",""ark"":""ark:/83110/x0/4d7f6498-d277-5ada-ac50-4e50dbf52630"",""uri"":""/agents/people/919237"",""id"":""au::8591:1"",""isCapacity"":false}",ark:/83110/x0/4d7f6498-d277-5ada-ac50-4e50dbf52630,agent
94f80fce-a837-5506-8e8e-0eb92fe2340f,tg:lhaq:8070,lh,e73_DepictedItems,2e1e2f61-4778-5ee1-a2ff-86eec00fc32f,kw,keywords,au::6350,au::6350:1,au::6350g:1,,"dlod={""suggest"":[""/agents/people/679450"",""au::6350"",""au::6350:1"",""ark:/83110/x0/2e1e2f61-4778-5ee1-a2ff-86eec00fc32f"",""René Engelen""],""name"":""René Engelen"",""ark"":""ark:/83110/x0/2e1e2f61-4778-5ee1-a2ff-86eec00fc32f"",""uri"":""/agents/people/679450"",""id"":""au::6350:1"",""isCapacity"":false}",ark:/83110/x0/2e1e2f61-4778-5ee1-a2ff-86eec00fc32f,agent
38a00c02-f0d7-5265-8a98-002a2d3fc11d,tg:lhaq:9121,lh,e73_DepictedItems,c526cbe4-717b-5c2c-9bfe-491f98d553c0,kw,keywords,au::7555,au::7555:1,au::7555g:1,,"dlod={""suggest"":[""/agents/people/808385"",""au::7555"",""au::7555:1"",""ark:/83110/x0/c526cbe4-717b-5c2c-9bfe-491f98d553c0"",""Maurice Gilliams""],""name"":""Maurice Gilliams"",""ark"":""ark:/83110/x0/c526cbe4-717b-5c2c-9bfe-491f98d553c0"",""uri"":""/agents/people/808385"",""id"":""au::7555:1"",""isCapacity"":false}",ark:/83110/x0/c526cbe4-717b-5c2c-9bfe-491f98d553c0,agent
