ResourceID,brocade.id,card,order,Mark Note,Mark Type,Mark Language
2e6f3398-d238-54c5-9ba6-a3683fbdf689,tg:lhaq:21_#1,e22_Marks,1,"<p><strong>Recto:</strong> Rechts onder in de tekening met balpen: <em>Cornet / Fernand</em>;</p>
<p><strong>Verso:</strong> Links onder met balpen: <em>CORNET FERNAND / 72 / Frans Van Immerseel<br />
/ Kunstschilder / Glazenier / Architect Stoet .. enz ...</em></p>
",inscriptions,Nederlands
af8e72bc-abcf-5d4d-8eb0-983dc5958ccd,tg:lhaq:8853_#1,e22_Marks,1,"<p>Rechtsboven met potlood: <em><em>Havenarbeider</em> / Bernard Verheyden</em></p>
",inscriptions,Nederlands
fff6765a-0157-5677-98a7-736c82f8ddc5,tg:lhaq:8538_#1,e22_Marks,2,"<p>Boven de afbeelding met balpen: <em>Val Doneld</em></p>
",inscriptions,Nederlands
5c4d7254-5ec1-5ef4-9c76-bb49eab66039,tg:lhaq:6846_#1,e22_Marks,1,"<p>Onder de 1ste figuur met potlood: <em>MEFISTO / Mr. Van den Brande</em>;</p>
<p>onder de 2de figuur met potlood: <em>BEDELAAR / Mr. Goossens</em>;</p>
<p>onder de 3de figuur met potlood: <em>OUDE BOER / Mr. F. Waeles</em>;</p>
<p>onder de 4de figuur met potlood: <em>JONGE BOER / Mr. R. Bertal / De Ravet</em>;</p>
<p>onder de 5de figuur met potlood: <em>BOERIN</em>;</p>
<p>rechts onder de tekening met waterverf: <em><em>IVO</em> / 7-'50</em></p>
",inscriptions,Nederlands
cf1c21d3-10b9-576c-9324-43829367a984,tg:lhaq:8982_#1,e22_Marks,2,"<p>Boven met potlood: <em><em>3</em> muzikanten opera dansers</em></p>
<p>rechtsonder naast de eerste afbeelding: <em>L. Sebregts</em></p>
<p>rechtsonder naast de tweede afbeelding: <em>L. Sebregts</em></p>
",inscriptions,Nederlands
644c36d3-ee56-5acc-a3c3-d466fbf97895,tg:lhaq:8992_#1,e22_Marks,1,"<p>Boven met potlood: <em>moderne menschen</em></p>
",inscriptions,Nederlands
16673786-e4a5-5da6-a6f1-119ac19a27c6,tg:lhaq:8888_#1,e22_Marks,1,"<p>Rechtsboven met potlood: <em><em>Francesco</em> / Leo Madder</em></p>
",inscriptions,Nederlands
bb0fdf8b-9b06-5263-90c0-a5836ee4cadd,tg:lhaq:8754_#1,e22_Marks,1,"<p>Rechtsonder met potlood: <strong>2 Soldiers</strong> <em>(Wachter)</em></p>
",inscriptions,Nederlands
b26f81af-220c-57e9-89ef-938ae705c47f,tg:lhaq:8744_#1,e22_Marks,2,"<p>Rechts naast de afbeelding met balpen: _ Jessica as Christian._</p>
<p>rechtsonder: <em>Jul Debruyn</em></p>
",inscriptions,Nederlands
bf143df1-e612-5a11-aeb9-cea87aa267f2,tg:lhaq:2663_#1,e22_Marks,1,"<p>Midden onder: <em>Paul Snoek, 56</em></p>
",inscriptions,Nederlands
