ResourceID,brocade.id,card,order,Acquisition Number,Acquisition Number Type
2e6f3398-d238-54c5-9ba6-a3683fbdf689,tg:lhaq:21_#1,e22_AcquisitionNumbers,1,196085/1,aanwinst nummer
af8e72bc-abcf-5d4d-8eb0-983dc5958ccd,tg:lhaq:8853_#1,e22_AcquisitionNumbers,1,197408/64,aanwinst nummer
080156ad-154c-5599-903c-10c1869ca364,tg:lhaq:9022_#1,e22_AcquisitionNumbers,1,197415/12,aanwinst nummer
67b7df23-fea1-5e0f-b8da-aa7f8b8f918a,tg:lhaq:9032_#1,e22_AcquisitionNumbers,1,197415/34,aanwinst nummer
fff6765a-0157-5677-98a7-736c82f8ddc5,tg:lhaq:8538_#1,e22_AcquisitionNumbers,1,215880/8,aanwinst nummer
5c4d7254-5ec1-5ef4-9c76-bb49eab66039,tg:lhaq:6846_#1,e22_AcquisitionNumbers,1,212577/2,aanwinst nummer
cf1c21d3-10b9-576c-9324-43829367a984,tg:lhaq:8982_#1,e22_AcquisitionNumbers,1,197413/4,aanwinst nummer
644c36d3-ee56-5acc-a3c3-d466fbf97895,tg:lhaq:8992_#1,e22_AcquisitionNumbers,1,197413/15,aanwinst nummer
16673786-e4a5-5da6-a6f1-119ac19a27c6,tg:lhaq:8888_#1,e22_AcquisitionNumbers,1,197408/96,aanwinst nummer
bb0fdf8b-9b06-5263-90c0-a5836ee4cadd,tg:lhaq:8754_#1,e22_AcquisitionNumbers,1,174222/10,aanwinst nummer
b26f81af-220c-57e9-89ef-938ae705c47f,tg:lhaq:8744_#1,e22_AcquisitionNumbers,1,174222/1,aanwinst nummer
91eede34-4c9d-5e8a-bea0-15aee4bbb226,tg:lhaq:9138_#1,e22_AcquisitionNumbers,1,218018/6,aanwinst nummer
9fa1d996-569c-56b9-8122-fb63df1190e4,tg:lhaq:9040_#1,e22_AcquisitionNumbers,1,197416/21,aanwinst nummer
0c093063-91f8-5ed9-a931-4e276fb9452f,tg:lhaq:9050_#1,e22_AcquisitionNumbers,1,197417/7,aanwinst nummer
bf143df1-e612-5a11-aeb9-cea87aa267f2,tg:lhaq:2663_#1,e22_AcquisitionNumbers,1,88592/1,aanwinst nummer
a7a84139-d634-5b46-bae0-53b6b3bad13b,tg:lhaq:8959_#1,e22_AcquisitionNumbers,1,197412/35,aanwinst nummer
e9ed828c-ece2-50c0-9536-967c421991b9,tg:lhaq:8695_#1,e22_AcquisitionNumbers,1,99068/2,aanwinst nummer
91c83edb-d84e-5846-a48e-3c51d838f6b0,tg:lhaq:8685_#1,e22_AcquisitionNumbers,1,97790/3,aanwinst nummer
7b322276-4ee9-57e0-bbf1-812124d58809,tg:lhaq:8671_#1,e22_AcquisitionNumbers,1,44074/8,aanwinst nummer
299deada-5550-57b9-8e0e-7869e5d7b979,tg:lhaq:6879_#1,e22_AcquisitionNumbers,1,122913/7,aanwinst nummer
8f96af39-3058-5eec-9adf-06dd5af49a5a,tg:lhaq:8352_#1,e22_AcquisitionNumbers,1,215082/3,aanwinst nummer
71e84cfc-fa0f-5930-bf8d-3dbe60d4be41,tg:lhaq:4372_#1,e22_AcquisitionNumbers,1,200722/1,aanwinst nummer
60f28807-dd32-51ea-b955-c7746c2ffb2c,tg:lhaq:8904_#1,e22_AcquisitionNumbers,1,197410/1,aanwinst nummer
f1995002-0f95-557e-8f2c-0820ea970b13,tg:lhaq:5466_#1,e22_AcquisitionNumbers,1,99191/9,aanwinst nummer
db694226-f7da-5297-895a-dc05dca1bf69,tg:lhaq:8914_#1,e22_AcquisitionNumbers,1,197411/1,aanwinst nummer
b532712e-7c54-56f2-a8c9-90538af76471,tg:lhaq:4066_#1,e22_AcquisitionNumbers,1,203500/2,aanwinst nummer
3bf5b458-e437-5d97-bcbf-4c737e6021f7,tg:lhaq:8966_#1,e22_AcquisitionNumbers,1,197412/41,aanwinst nummer
2fc52e85-d37a-5785-a170-cde5e7f2a310,tg:lhaq:7264_#1,e22_AcquisitionNumbers,1,104373/6,aanwinst nummer
ba7b3f9b-0876-5fbb-bb53-b538cdee3443,tg:lhaq:8976_#1,e22_AcquisitionNumbers,1,197412/48,aanwinst nummer
8e981c31-2b5e-5ce2-8399-93a586f91d71,tg:lhaq:6418_#1,e22_AcquisitionNumbers,1,37028/7,aanwinst nummer
