ResourceID,brocade.id,card,Start Date,End Date,Start Date Type,End Date Type
31441cf2-3f1a-5983-a02a-06ea12c49ca7,tg:lhaq:21,e73_CreationTimeSpans,1972,nan,nan,nan
db0d2c87-ede5-539b-a4b8-41e318f197a5,tg:lhaq:8853,e73_CreationTimeSpans,1974,1975,nan,nan
f1fa8331-c4aa-51eb-b63d-28fc05816a0c,tg:lhaq:9022,e73_CreationTimeSpans,1949,nan,circa,nan
441fd62b-f45d-589b-b967-e6058f13c382,tg:lhaq:9032,e73_CreationTimeSpans,1949,nan,circa,nan
735a394a-dd03-5cd0-b1e8-50b90936b68c,tg:lhaq:6846,e73_CreationTimeSpans,1950-07,nan,nan,nan
c543149c-c60d-5b26-82ea-bbb50f923bfc,tg:lhaq:8888,e73_CreationTimeSpans,1974,1975,nan,nan
19b37ec2-df19-5bca-897c-20a08d2c43c4,tg:lhaq:9138,e73_CreationTimeSpans,1942,nan,nan,nan
e7948073-ce91-5b9b-a9ac-8ecf3448d4e2,tg:lhaq:2663,e73_CreationTimeSpans,1956,nan,nan,nan
c4e0f8cb-5530-59b7-9d96-c189b5844ba2,tg:lhaq:8959,e73_CreationTimeSpans,1959-10-23,nan,datum vóór,nan
0ea6dab1-abcd-5a8a-a26e-4e3c724c772c,tg:lhaq:8695,e73_CreationTimeSpans,1959,nan,nan,nan
334956c1-a4ae-5bdf-ad74-55271b46deb8,tg:lhaq:8685,e73_CreationTimeSpans,1960,nan,nan,nan
30105cee-8edd-5130-98f6-31fab7e2c6c5,tg:lhaq:8671,e73_CreationTimeSpans,1952,nan,nan,nan
70535b83-3cf8-5e83-a42d-551a93e15466,tg:lhaq:6879,e73_CreationTimeSpans,1942,nan,reconstructie,nan
ee6ac1c6-3dec-569c-8cad-c20ee9b4beef,tg:lhaq:4372,e73_CreationTimeSpans,1984-05,nan,nan,nan
a91f2588-51b9-5a52-bbac-19b8e75dff8a,tg:lhaq:8904,e73_CreationTimeSpans,1964,nan,circa,nan
2ade8736-f14f-5c80-b19f-111bfcd41e28,tg:lhaq:8914,e73_CreationTimeSpans,1951,nan,nan,nan
fce4d66d-6bb7-50d2-8291-4efb3f5e20d6,tg:lhaq:8966,e73_CreationTimeSpans,1959-10-23,nan,datum vóór,nan
293c9e23-50df-5b9c-9eba-465d5d7b460f,tg:lhaq:8976,e73_CreationTimeSpans,1959-10-23,nan,datum vóór,nan
76bc0f43-51bc-569f-bdc9-f677c20b31e5,tg:lhaq:6418,e73_CreationTimeSpans,1924,nan,nan,nan
b8ea5fbc-ef22-518d-b0f1-49279177881f,tg:lhaq:8399,e73_CreationTimeSpans,1951,nan,reconstructie,nan
16fc8ef7-35f1-5903-89bc-a09b5c692c40,tg:lhaq:8389,e73_CreationTimeSpans,1950,nan,nan,nan
94e4a2d5-834c-5458-a4ce-7b0d1d71fb0d,tg:lhaq:8320,e73_CreationTimeSpans,1924,nan,reconstructie,nan
428c3cc4-7bf9-5135-ba24-0c06e59d90ed,tg:lhaq:9424,e73_CreationTimeSpans,1962,nan,nan,nan
01582bee-3c39-5ada-b2be-121bcba0b779,tg:lhaq:2583,e73_CreationTimeSpans,1972,nan,nan,nan
a000cc9e-3f28-5e94-8a6a-454323f37c62,tg:lhaq:9271,e73_CreationTimeSpans,1956,nan,nan,nan
ba70d35e-b0fb-5efd-b67d-20486f4c27c0,tg:lhaq:9412,e73_CreationTimeSpans,2015,nan,nan,nan
62450c5b-0a35-5d36-b684-1e7c66e4a1c9,tg:lhaq:8881,e73_CreationTimeSpans,1974,1975,nan,nan
fa23d7ea-6f8b-576e-a0fd-0630229aa7f1,tg:lhaq:8891,e73_CreationTimeSpans,1974,1975,nan,nan
b2bbf28f-a732-5f52-be4c-4e3a67ca9678,tg:lhaq:9402,e73_CreationTimeSpans,1943,nan,nan,nan
94f80fce-a837-5506-8e8e-0eb92fe2340f,tg:lhaq:8070,e73_CreationTimeSpans,1954,nan,reconstructie,nan
dbca1a4c-bf14-578b-a1b9-bf72bf8a0ff9,tg:lhaq:8316,e73_CreationTimeSpans,1924,nan,reconstructie,nan
b252b5ec-0205-5419-8a05-b651f2d37afa,tg:lhaq:7619,e73_CreationTimeSpans,1891-03-28,nan,nan,nan
dfd56045-a266-54ba-b21e-a0aebb3d2756,tg:lhaq:6894,e73_CreationTimeSpans,1943,nan,nan,nan
d76313d7-2822-551e-bd3b-bd2eb52d8f91,tg:lhaq:9386,e73_CreationTimeSpans,1952-07-11,1952-07-15,nan,nan
501b238f-d4fd-540b-871e-58aa7f3ab6d9,tg:lhaq:6884,e73_CreationTimeSpans,1942,nan,reconstructie,nan
b8bba92d-e005-5aff-bad5-3909b32e7746,tg:lhaq:4605,e73_CreationTimeSpans,1929-05-28,1931-12-30,datum na,datum vóór
d72a6e09-2d1a-58c2-9479-957afbdeca74,tg:lhaq:8922,e73_CreationTimeSpans,1951,nan,nan,nan
38f03624-8998-5ed8-a409-70a7ab783ae2,tg:lhaq:8932,e73_CreationTimeSpans,1951,nan,nan,nan
4f18596e-2178-5428-8675-359a1a58ed81,tg:lhaq:8364,e73_CreationTimeSpans,1950,nan,nan,nan
36648aba-a910-5383-9e45-3e8dfa4e80cc,tg:lhaq:8374,e73_CreationTimeSpans,1951-12-04,nan,nan,nan
bc3ac891-213b-5b59-b033-c43721e7753f,tg:lhaq:7636,e73_CreationTimeSpans,1891,nan,circa,nan
2ecdfa6f-00a0-5da0-ae27-146936fbb422,tg:lhaq:8380,e73_CreationTimeSpans,1950,nan,nan,nan
c7a7e20b-320c-533e-bce5-356f51720cb0,tg:lhaq:8390,e73_CreationTimeSpans,1950,nan,nan,nan
53feff83-9ce8-5d25-bbad-6f1d07ce8043,tg:lhaq:9278,e73_CreationTimeSpans,1981,nan,nan,nan
a01bb625-5d65-5d91-9a94-eaff6a415144,tg:lhaq:8668,e73_CreationTimeSpans,1952,nan,nan,nan
a0f47c4f-c2fd-5cce-b326-bef6526b4600,tg:lhaq:8700,e73_CreationTimeSpans,1962,nan,nan,nan
501c7580-ebf8-5adf-b5cb-97b4e075e7e3,tg:lhaq:8678,e73_CreationTimeSpans,1952,nan,nan,nan
62203452-aa3c-5aee-a59e-48f7a28a56a0,tg:lhaq:9014,e73_CreationTimeSpans,1973-04-14,nan,datum vóór,nan
552fce96-e84e-5342-9f69-fb83b06fbbeb,tg:lhaq:8865,e73_CreationTimeSpans,1974,1975,nan,nan
51532399-b17e-5939-bba1-110993f357a4,tg:lhaq:1753,e73_CreationTimeSpans,1879,nan,nan,nan
e815e902-eae4-56f8-96c8-75581a34e074,tg:lhaq:8875,e73_CreationTimeSpans,1974,1975,nan,nan
013710cb-d49e-5a5f-80fe-abf6d2d5027c,tg:lhaq:7618,e73_CreationTimeSpans,1891-03-28,nan,nan,nan
04134b2c-3694-543d-b16e-d817dee45565,tg:lhaq:4572,e73_CreationTimeSpans,1945,nan,nan,nan
db4270d3-e516-5797-a0bc-22f018caa61f,tg:lhaq:6895,e73_CreationTimeSpans,1943,nan,nan,nan
265c7583-0ab7-548f-b0f3-d8d6c2dcaa84,tg:lhaq:6944,e73_CreationTimeSpans,1930-08,nan,reconstructie,nan
e8715f8e-49b4-5b10-b814-f99d31b7b461,tg:lhaq:8634,e73_CreationTimeSpans,1973,nan,nan,nan
983c56db-45da-57a4-abbf-4459bb7d5804,tg:lhaq:8071,e73_CreationTimeSpans,1902-08-16,nan,nan,nan
e818fd99-d2e1-5d23-ab8f-f5ae64424df3,tg:lhaq:8890,e73_CreationTimeSpans,1974,1975,nan,nan
d559c57b-662d-5363-a0fa-dc9b2f0d0619,tg:lhaq:9403,e73_CreationTimeSpans,1944,nan,nan,nan
473c6aab-df61-5f40-bbb3-628e05adfba3,tg:lhaq:8317,e73_CreationTimeSpans,1925,nan,reconstructie,nan
