ResourceID,brocade.id,card,order,source_field,Creation Time Span Source Note
31441cf2-3f1a-5983-a02a-06ea12c49ca7,tg:lhaq:21,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,19720000
db0d2c87-ede5-539b-a4b8-41e318f197a5,tg:lhaq:8853,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,19740000
db0d2c87-ede5-539b-a4b8-41e318f197a5,tg:lhaq:8853,e73_CreationTimeSpanSourceNotes,1,id/date.creationdate/so,19750000
f1fa8331-c4aa-51eb-b63d-28fc05816a0c,tg:lhaq:9022,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,19490000
441fd62b-f45d-589b-b967-e6058f13c382,tg:lhaq:9032,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,19490000
735a394a-dd03-5cd0-b1e8-50b90936b68c,tg:lhaq:6846,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,19500700
c543149c-c60d-5b26-82ea-bbb50f923bfc,tg:lhaq:8888,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,19740000
c543149c-c60d-5b26-82ea-bbb50f923bfc,tg:lhaq:8888,e73_CreationTimeSpanSourceNotes,1,id/date.creationdate/so,19750000
19b37ec2-df19-5bca-897c-20a08d2c43c4,tg:lhaq:9138,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,19420000
e7948073-ce91-5b9b-a9ac-8ecf3448d4e2,tg:lhaq:2663,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,19560000
c4e0f8cb-5530-59b7-9d96-c189b5844ba2,tg:lhaq:8959,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,19591023
0ea6dab1-abcd-5a8a-a26e-4e3c724c772c,tg:lhaq:8695,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,19590000
334956c1-a4ae-5bdf-ad74-55271b46deb8,tg:lhaq:8685,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,19600000
30105cee-8edd-5130-98f6-31fab7e2c6c5,tg:lhaq:8671,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,19520000
70535b83-3cf8-5e83-a42d-551a93e15466,tg:lhaq:6879,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,19420000
ee6ac1c6-3dec-569c-8cad-c20ee9b4beef,tg:lhaq:4372,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,19840500
a91f2588-51b9-5a52-bbac-19b8e75dff8a,tg:lhaq:8904,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,19640000
