ResourceID,brocade.id,card,order,source_field,source_code,Production Technique Note
fff6765a-0157-5677-98a7-736c82f8ddc5,tg:lhaq:8538_#1,e22_ProductionTechniqueNote,1,kenmerken.lhtechvrijic,"aquarel,Oost-Indische inkt, krijt en potlood op papier","aquarel,Oost-Indische inkt, krijt en potlood op papier"
cf4709e1-0612-5671-a167-0ab37b5a70e4,tg:lhaq:8575_#1,e22_ProductionTechniqueNote,1,kenmerken.lhtechvrijic,"gouache, aquarel, oost-indische inkt en balpen op papier","gouache, aquarel, oost-indische inkt en balpen op papier"
d63e8dfc-71c4-5bdb-af92-669e65d719fb,tg:lhaq:8565_#1,e22_ProductionTechniqueNote,1,kenmerken.lhtechvrijic,"gouache, aquarel, oost-indische inkt en potlood op papier","gouache, aquarel, oost-indische inkt en potlood op papier"
5ef0a0ef-0982-5482-9c1c-4f56135c1737,tg:lhaq:8553_#1,e22_ProductionTechniqueNote,1,kenmerken.lhtechvrijic,"gouache, aquarel, oost-indische inkt en potlood op papier","gouache, aquarel, oost-indische inkt en potlood op papier"
034241d5-817c-5c77-8514-584030397b9b,tg:lhaq:8542_#1,e22_ProductionTechniqueNote,1,kenmerken.lhtechvrijic,"aquarel,Oost-Indische inkt, krijt en potlood op papier","aquarel,Oost-Indische inkt, krijt en potlood op papier"
9130b288-c574-578f-a6f3-543ce686e897,tg:lhaq:8552_#1,e22_ProductionTechniqueNote,1,kenmerken.lhtechvrijic,"gouache, aquarel, oost-indische inkt en potlood op papier","gouache, aquarel, oost-indische inkt en potlood op papier"
3ab328d0-2310-5adc-a3d9-f558a6ecf9d1,tg:lhaq:8539_#1,e22_ProductionTechniqueNote,1,kenmerken.lhtechvrijic,"aquarel,Oost-Indische inkt, krijt en potlood op papier","aquarel,Oost-Indische inkt, krijt en potlood op papier"
4d071d05-62ab-55e9-8216-65194f82d322,tg:lhaq:8564_#1,e22_ProductionTechniqueNote,1,kenmerken.lhtechvrijic,"gouache, aquarel, oost-indische inkt en potlood op papier","gouache, aquarel, oost-indische inkt en potlood op papier"
341f3a77-6e92-5bdf-b694-77a84144b46d,tg:lhaq:8574_#1,e22_ProductionTechniqueNote,1,kenmerken.lhtechvrijic,"gouache, aquarel, oost-indische inkt en potlood op papier","gouache, aquarel, oost-indische inkt en potlood op papier"
d5d42cac-752e-597b-9d53-951936e452ee,tg:lhaq:8550_#1,e22_ProductionTechniqueNote,1,kenmerken.lhtechvrijic,"gouache, aquarel, oost-indische inkt en potlood op papier","gouache, aquarel, oost-indische inkt en potlood op papier"
9e1d849a-5a86-5f02-beb1-a646a54fcf90,tg:lhaq:8540_#1,e22_ProductionTechniqueNote,1,kenmerken.lhtechvrijic,"aquarel,Oost-Indische inkt, krijt en potlood op papier","aquarel,Oost-Indische inkt, krijt en potlood op papier"
ef652a5f-2504-5b4f-9355-297322b844fa,tg:lhaq:8549_#1,e22_ProductionTechniqueNote,1,kenmerken.lhtechvrijic,"gouache, aquarel, oost-indische inkt en potlood op papier","gouache, aquarel, oost-indische inkt en potlood op papier"
