ResourceID,brocade.id,card,order,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,source_field,Dimension Value,Dimension Type,Dimension Measurement Unit,source_code,Dimension Source Note,dataset,adm.id_mat,Plaatsingsnummer,Warehouse Location (begin),adm.uuid_mat,adm.isadPartOf,Volgnummer,Mark Text,Mark Type,Mark Language,col_source_field,mat_source_field,Material Colour,Material,Object Type,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
339485b6-089d-5448-8363-32ed32b78487,tg:mpmtk:35_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmtk:35_#1,record identifiers,https://data.museumplantinmoretus.be/ark:/11975/339485b6-089d-5448-8363-32ed32b78487,object identifier,,,,,,,,,,
339485b6-089d-5448-8363-32ed32b78487,tg:mpmtk:35_#1,e22_Carrier,1,,,,kenmerken.mpmdragertk,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339485b6-089d-5448-8363-32ed32b78487,tg:mpmtk:35_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.mpmformattk,,,,"29 x 18,5","29 x 18,5 - height, width, kenmerken.mpmformattk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339485b6-089d-5448-8363-32ed32b78487,tg:mpmtk:35_#1,e22_Dimensions,,,,,,,kenmerken.mpmformattk,290,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339485b6-089d-5448-8363-32ed32b78487,tg:mpmtk:35_#1,e22_Dimensions,,,,,,,kenmerken.mpmformattk,185,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339485b6-089d-5448-8363-32ed32b78487,tg:mpmtk:35_#1,e22_Items,1,,,,,,,,,,,,mpmtk,tg:mpmtk:35_#1,TK 400,10 K 1 H,339485b6-089d-5448-8363-32ed32b78487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339485b6-089d-5448-8363-32ed32b78487,tg:mpmtk:35_#1,e22_Marks,1,,,,,,,,,,,,,,,,,,,"<p>E. Quellinius inventor</p>
",signatures (names),Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,
339485b6-089d-5448-8363-32ed32b78487,tg:mpmtk:35_#1,e22_MaterialColour,,,,,,,,,,,,,mpmtk,,,,,,,,,,,kenmerken/mpmtechbasistk.mpmtechtk,,ink,,,,,,,,,,,,,,,,,,,,,,,
339485b6-089d-5448-8363-32ed32b78487,tg:mpmtk:35_#1,e22_ObjectTypes,1,,,,,,kenmerken.mpmtypetk,,,,tttek,,,,,,,,,,,,,,,,drawings (visual works),,,,,,,,,,,,,,,,,,,,,,
339485b6-089d-5448-8363-32ed32b78487,tg:mpmtk:35_#1,e22_ProductionTechniques,1,,,,,,kenmerken/mpmtechbasistk.mpmtechtk,,,,tpe,,,,,,,,,,,,,,,,,,,,,,,pens (drawing and writing implements),,,,,,,,,,,,,,,
339485b6-089d-5448-8363-32ed32b78487,tg:mpmtk:35_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1638,open,,,,,,,,
339485b6-089d-5448-8363-32ed32b78487,tg:mpmtk:35_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r2OMhYDXaHSaYIPZENmJV0Bh,mpmtk,https://dams.antwerpen.be/iiif/r2OMhYDXaHSaYIPZENmJV0Bh/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/r2OMhYDXaHSaYIPZENmJV0Bh,DAMS Image,mpm,Iconografie
