ResourceID,brocade.id,card,order,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,source_field,Dimension Value,Dimension Type,Dimension Measurement Unit,source_code,Dimension Source Note,dataset,adm.id_mat,Plaatsingsnummer,Warehouse Location (begin),adm.uuid_mat,adm.isadPartOf,Volgnummer,Mark Text,Mark Type,Mark Language,col_source_field,mat_source_field,Material Colour,Material,Object Type,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
e81669e6-53d4-5085-9633-335775557e15,tg:mpmtk:39_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmtk:39_#1,record identifiers,https://data.museumplantinmoretus.be/ark:/11975/e81669e6-53d4-5085-9633-335775557e15,object identifier,,,,,,,,,,
e81669e6-53d4-5085-9633-335775557e15,tg:mpmtk:39_#1,e22_Carrier,1,,,,kenmerken.mpmdragertk,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e81669e6-53d4-5085-9633-335775557e15,tg:mpmtk:39_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.mpmformattk,,,,18 x 14,"18 x 14 - height, width, kenmerken.mpmformattk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e81669e6-53d4-5085-9633-335775557e15,tg:mpmtk:39_#1,e22_Dimensions,,,,,,,kenmerken.mpmformattk,180,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e81669e6-53d4-5085-9633-335775557e15,tg:mpmtk:39_#1,e22_Dimensions,,,,,,,kenmerken.mpmformattk,140,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e81669e6-53d4-5085-9633-335775557e15,tg:mpmtk:39_#1,e22_Items,1,,,,,,,,,,,,mpmtk,tg:mpmtk:39_#1,TK 388,10 K 1 G,e81669e6-53d4-5085-9633-335775557e15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e81669e6-53d4-5085-9633-335775557e15,tg:mpmtk:39_#1,e22_Marks,1,,,,,,,,,,,,,,,,,,,"<p>Ara, Patera et Simpulum Pietatem / Religionem et Sacra indicent / Lira et Hederacea Corona Poesim</p>
",inscriptions,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,
e81669e6-53d4-5085-9633-335775557e15,tg:mpmtk:39_#1,e22_MaterialColour,,,,,,,,,,,,,mpmtk,,,,,,,,,,kenmerken/mpmtechbasistk.mpmkleur,kenmerken/mpmtechbasistk.mpmtechtk,brown (color),ink,,,,,,,,,,,,,,,,,,,,,,,
e81669e6-53d4-5085-9633-335775557e15,tg:mpmtk:39_#1,e22_ObjectTypes,1,,,,,,kenmerken.mpmtypetk,,,,tttek,,,,,,,,,,,,,,,,drawings (visual works),,,,,,,,,,,,,,,,,,,,,,
e81669e6-53d4-5085-9633-335775557e15,tg:mpmtk:39_#1,e22_ProductionTechniques,1,,,,,,kenmerken/mpmtechbasistk.mpmtechtk,,,,tpe,,,,,,,,,,,,,,,,,,,,,,,pens (drawing and writing implements),,,,,,,,,,,,,,,
e81669e6-53d4-5085-9633-335775557e15,tg:mpmtk:39_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1634,open,,,,,,,,
e81669e6-53d4-5085-9633-335775557e15,tg:mpmtk:39_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W1aKUbPCLD94tX4gMr1XoQ4Z,mpmtk,https://dams.antwerpen.be/iiif/W1aKUbPCLD94tX4gMr1XoQ4Z/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/W1aKUbPCLD94tX4gMr1XoQ4Z,DAMS Image,mpm,Iconografie
