ResourceID,brocade.id,card,order,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,source_field,Dimension Value,Dimension Type,Dimension Measurement Unit,source_code,Dimension Source Note,dataset,adm.id_mat,Plaatsingsnummer,Warehouse Location (begin),adm.uuid_mat,adm.isadPartOf,Volgnummer,Mark Text,Mark Type,Mark Language,col_source_field,mat_source_field,Material Colour,Material,Object Type,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
d1e34e67-207a-52e4-97d1-3dec92f7b7d2,tg:mpmtk:11_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmtk:11_#1,record identifiers,https://data.museumplantinmoretus.be/ark:/11975/d1e34e67-207a-52e4-97d1-3dec92f7b7d2,object identifier,,,,,,,,,,
d1e34e67-207a-52e4-97d1-3dec92f7b7d2,tg:mpmtk:11_#1,e22_Archives,1,isad:mpm:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d1e34e67-207a-52e4-97d1-3dec92f7b7d2,tg:mpmtk:11_#1,e22_Carrier,1,,,,kenmerken.mpmdragertk,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d1e34e67-207a-52e4-97d1-3dec92f7b7d2,tg:mpmtk:11_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.mpmformattk,,,,"19,5 x 29","19,5 x 29 - height, width, kenmerken.mpmformattk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d1e34e67-207a-52e4-97d1-3dec92f7b7d2,tg:mpmtk:11_#1,e22_Dimensions,,,,,,,kenmerken.mpmformattk,195,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d1e34e67-207a-52e4-97d1-3dec92f7b7d2,tg:mpmtk:11_#1,e22_Dimensions,,,,,,,kenmerken.mpmformattk,290,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d1e34e67-207a-52e4-97d1-3dec92f7b7d2,tg:mpmtk:11_#1,e22_Items,1,,,,,,,,,,,,mpmtk,tg:mpmtk:11_#1,Arch. 1150a,15 H 1 F,d1e34e67-207a-52e4-97d1-3dec92f7b7d2,isad:mpm:22,fol. 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d1e34e67-207a-52e4-97d1-3dec92f7b7d2,tg:mpmtk:11_#1,e22_MaterialColour,,,,,,,,,,,,,mpmtk,,,,,,,,,,kenmerken/mpmtechbasistk.mpmkleur,kenmerken/mpmtechbasistk.mpmtechtk,brown (color),ink,,,,,,,,,,,,,,,,,,,,,,,
d1e34e67-207a-52e4-97d1-3dec92f7b7d2,tg:mpmtk:11_#1,e22_ObjectTypes,1,,,,,,kenmerken.mpmtypetk,,,,tttek,,,,,,,,,,,,,,,,drawings (visual works),,,,,,,,,,,,,,,,,,,,,,
d1e34e67-207a-52e4-97d1-3dec92f7b7d2,tg:mpmtk:11_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1606,open,,,,,,,,
