ResourceID,brocade.id,card,order,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,source_field,Dimension Value,Dimension Type,Dimension Measurement Unit,source_code,Dimension Source Note,dataset,adm.id_mat,Plaatsingsnummer,Warehouse Location (begin),adm.uuid_mat,adm.isadPartOf,Volgnummer,Mark Text,Mark Type,Mark Language,col_source_field,mat_source_field,Material Colour,Material,Object Type,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
f7b959e3-1609-5a91-8d2f-57b2f02f87bb,tg:mpmtk:24_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmtk:24_#1,record identifiers,https://data.museumplantinmoretus.be/ark:/11975/f7b959e3-1609-5a91-8d2f-57b2f02f87bb,object identifier,,,,,,,,,,
f7b959e3-1609-5a91-8d2f-57b2f02f87bb,tg:mpmtk:24_#1,e22_Carrier,1,,,,kenmerken.mpmdragertk,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f7b959e3-1609-5a91-8d2f-57b2f02f87bb,tg:mpmtk:24_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.mpmformattk,,,,"12,7 x 7,7","12,7 x 7,7 - height, width, kenmerken.mpmformattk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f7b959e3-1609-5a91-8d2f-57b2f02f87bb,tg:mpmtk:24_#1,e22_Dimensions,,,,,,,kenmerken.mpmformattk,127,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f7b959e3-1609-5a91-8d2f-57b2f02f87bb,tg:mpmtk:24_#1,e22_Dimensions,,,,,,,kenmerken.mpmformattk,77,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f7b959e3-1609-5a91-8d2f-57b2f02f87bb,tg:mpmtk:24_#1,e22_Items,1,,,,,,,,,,,,mpmtk,tg:mpmtk:24_#1,TK 383,10 K 1 H,f7b959e3-1609-5a91-8d2f-57b2f02f87bb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f7b959e3-1609-5a91-8d2f-57b2f02f87bb,tg:mpmtk:24_#1,e22_MaterialColour,,,,,,,,,,,,,mpmtk,,,,,,,,,,kenmerken/mpmtechbasistk.mpmkleur,kenmerken/mpmtechbasistk.mpmtechtk,sepia (color),ink,,,,,,,,,,,,,,,,,,,,,,,
f7b959e3-1609-5a91-8d2f-57b2f02f87bb,tg:mpmtk:24_#1,e22_ObjectTypes,1,,,,,,kenmerken.mpmtypetk,,,,tttek,,,,,,,,,,,,,,,,drawings (visual works),,,,,,,,,,,,,,,,,,,,,,
f7b959e3-1609-5a91-8d2f-57b2f02f87bb,tg:mpmtk:24_#1,e22_ProductionTechniques,1,,,,,,kenmerken/mpmtechbasistk.mpmtechtk,,,,tpe,,,,,,,,,,,,,,,,,,,,,,,pens (drawing and writing implements),,,,,,,,,,,,,,,
f7b959e3-1609-5a91-8d2f-57b2f02f87bb,tg:mpmtk:24_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1605,open,,,,,,,,
